"Data generated on Monday, April 10, 2023 at 3:35:17 PM EST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area/Partners of Origin,,,,,January 2011 - December 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And Consumption Commodities Imported,,,,,Cumulative To Date Quantities/Values in Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,,,
,Partner,,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code
1,Mexico,1,Fresh Fruit - Avocados,2011-2011,MT,"84,143","39,510.70","62,263","27,082.00","91,667","31,454.00","84,044","28,363.00","66,564","22,494.10","61,668","18,566.40","35,833","9,829.90","51,092","16,138.50","49,809","21,187.00","58,510","32,827.60","60,865","34,191.30","63,768","37,292.90","770,226","318,937.60",-26,-31,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2012-2012,MT,"86,326","46,669.40","57,147","31,252.60","77,559","39,741.10","79,386","37,866.60","61,209","28,753.80","50,131","25,172.80","30,744","16,607.50","51,369","27,586.90","48,705","29,639.20","77,551","47,788.90","68,866","47,250.10","73,320","52,990.10","762,311","431,318.90",-34,-33,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2013-2013,MT,"99,379","70,211.40","65,806","47,722.90","101,069","55,859.60","91,332","45,439.60","90,845","44,135.00","71,498","29,951.40","49,083","19,856.00","53,624","20,408.40","78,555","29,225.50","111,777","49,827.60","90,031","47,852.40","88,952","49,281.30","991,952","509,771.20",-34,-32,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2014-2014,MT,"135,882","68,614.70","95,784","48,315.80","122,293","54,360.10","112,514","45,872.40","101,303","41,263.60","88,320","37,397.80","70,569","30,025.50","78,339","35,208.00","138,004","57,766.30","128,206","66,530.10","108,978","58,380.30","113,291","60,920.50","1,293,484","604,655.00",-30,-30,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2015-2015,MT,"167,423","82,796.70","120,380","58,970.20","140,435","65,480.40","127,335","58,629.90","126,152","60,720.20","104,611","51,293.70","130,695","58,794.20","111,042","61,108.60","131,221","76,380.40","126,302","79,282.90","128,334","77,584.30","110,385","73,027.30","1,524,315","804,068.70",-28,-29,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2016-2016,MT,"154,549","99,315.50","107,803","73,684.40","116,957","80,587.80","118,490","80,153.40","142,405","63,388.40","84,940","30,343.90","147,409","46,583.30","146,567","51,027.10","230,696","65,353.30","214,455","58,317.10","140,326","58,419.60","163,744","77,901.70","1,768,341","785,075.60",-30,-26,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2017-2017,MT,"193,867","90,275.60","172,910","66,693.00","215,093","73,229.90","219,972","69,023.20","188,143","56,802.30","157,187","51,053.70","140,819","46,745.60","221,754","48,425.90","279,800","55,755.90","185,146","65,462.30","152,287","69,112.40","207,673","82,046.40","2,334,651","774,626.20",-11,-26,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2018-2018,MT,"203,267","93,732.00","178,032","80,709.80","201,603","89,194.70","220,443","88,208.00","173,385","75,307.50","149,922","67,731.10","134,237","55,331.20","198,680","59,113.70","146,977","59,736.10","155,738","77,771.70","162,551","71,570.10","146,367","85,485.00","2,071,203","903,890.90",-12,-14,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2019-2019,MT,"208,036","117,594.30","159,065","91,107.30","212,409","105,305.00","315,008","90,528.70","243,236","69,755.00","156,251","34,103.60","193,273","50,546.80","193,725","60,913.30","201,925","83,512.70","202,350","94,414.90","173,530","85,872.50","194,183","92,775.00","2,452,992","976,429.20",-24,-23,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2020-2020,MT,"275,266","116,849.70","231,620","80,264.40","238,740","77,382.20","186,986","71,235.50","193,468","79,241.60","166,553","70,529.30","134,121","62,600.30","150,496","68,309.30","161,821","82,041.50","180,412","105,206.40","146,354","94,111.80","151,407","96,833.20","2,217,243","1,004,605.20",-16,-31,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2021-2021,MT,"227,241","131,092.30","184,054","96,623.80","307,435","111,293.80","244,958","90,804.60","211,768","85,793.10","185,125","78,610.20","191,685","71,073.50","194,156","58,337.60","258,760","78,737.00","230,609","91,101.90","250,928","94,475.40","291,652","97,112.90","2,778,372","1,085,056.30",-19,-26,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2022-2022,MT,"355,843","106,373.60","206,324","60,671.10","317,533","86,285.80","347,346","77,328.00","285,531","59,079.40","220,656","39,496.40","200,842","53,654.90","191,064","72,344.20","187,835","87,943.00","200,758","102,728.10","164,937","91,715.70","192,250","108,882.40","2,870,919","946,502.70",-42,-43,US,MX,0158AT
1,Mexico,1,Fresh Fruit - Avocados,2023-2023,MT,"215,386","119,378.00","176,149","95,060.70",,,,,,,,,,,,,,,,,,,,,"391,536","214,438.70",-18,-20,US,MX,0158AT
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data<br>
2. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General.<br>
3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped
 commodities.",,,,,,,,,,,,,,,,,,,,,,,,,"533,750",,,,,,,,,,,
4. Product Group : BICO-HS10,,,,,,,,,,,,,,,,,,,,,,,,,"860,005.48",,,,,,,,,,,
