municipality,harvested_area,production,value,year,state
acatlan de juarez,1.50,5.25,97.13,2011.0,jalisco
amacueca,2.00,9.20,59.80,2011.0,jalisco
ameca,36.00,64.80,842.40,2011.0,jalisco
arandas,0.00,0.00,0.00,2011.0,jalisco
atengo,0.00,0.00,0.00,2011.0,jalisco
atenguillo,0.00,0.00,0.00,2011.0,jalisco
atotonilco el alto,36.00,568.00,"9,235.60",2011.0,jalisco
atoyac,2.00,9.20,69.00,2011.0,jalisco
autlan de navarro,53.50,"1,203.75","17,041.28",2011.0,jalisco
ayotlan,8.00,75.00,"1,140.00",2011.0,jalisco
ayutla,25.00,79.00,"1,580.00",2011.0,jalisco
cabo corrientes,10.00,30.00,309.00,2011.0,jalisco
chiquilistlan,73.60,339.30,"2,035.80",2011.0,jalisco
concepcion de buenos aires,316.00,"2,048.40","22,180.68",2011.0,jalisco
cuautitlan de garcia barragan,25.00,62.50,818.75,2011.0,jalisco
degollado,8.00,67.00,"1,030.50",2011.0,jalisco
el arenal,17.00,68.00,816.00,2011.0,jalisco
el limon,11.00,44.00,748.00,2011.0,jalisco
gomez farias,302.00,"2,742.20","24,432.52",2011.0,jalisco
ixtlahuacan del rio,37.00,256.60,"3,784.50",2011.0,jalisco
jocotepec,0.00,0.00,0.00,2011.0,jalisco
la barca,0.00,0.00,0.00,2011.0,jalisco
la manzanilla de la paz,100.00,530.00,"5,776.25",2011.0,jalisco
magdalena,9.00,34.20,444.60,2011.0,jalisco
mascota,26.00,130.00,"1,912.50",2011.0,jalisco
mazamitla,188.00,"1,315.20","15,069.60",2011.0,jalisco
mixtlan,0.00,0.00,0.00,2011.0,jalisco
pihuamo,0.00,0.00,0.00,2011.0,jalisco
puerto vallarta,16.00,80.00,984.75,2011.0,jalisco
quitupan,247.80,"1,651.02","16,337.04",2011.0,jalisco
san cristobal de la barranca,7.00,42.00,903.00,2011.0,jalisco
san gabriel,252.75,393.40,"3,392.30",2011.0,jalisco
san pedro tlaquepaque,8.00,80.00,"1,480.00",2011.0,jalisco
san sebastian del oeste,5.00,32.50,520.00,2011.0,jalisco
santa maria de los angeles,10.00,50.00,"1,005.00",2011.0,jalisco
sayula,12.00,74.40,721.68,2011.0,jalisco
tala,3.00,4.50,58.50,2011.0,jalisco
talpa de allende,15.00,120.00,"2,160.00",2011.0,jalisco
tamazula de gordiano,408.00,"3,331.20","41,136.90",2011.0,jalisco
tapalpa,403.50,"1,856.10","11,136.60",2011.0,jalisco
tecalitlan,0.00,0.00,0.00,2011.0,jalisco
techaluta de montenegro,3.00,18.60,176.70,2011.0,jalisco
tecolotlan,6.00,30.00,540.00,2011.0,jalisco
teocuitatlan de corona,0.00,0.00,0.00,2011.0,jalisco
tequila,4.00,15.20,197.60,2011.0,jalisco
teuchitlan,3.00,8.03,108.41,2011.0,jalisco
tlajomulco de zuniga,50.00,480.00,"8,880.00",2011.0,jalisco
toliman,27.00,241.58,"2,415.80",2011.0,jalisco
tonila,354.00,"2,378.40","23,745.90",2011.0,jalisco
tototlan,10.00,149.00,"2,335.50",2011.0,jalisco
tuxcueca,4.00,95.00,"1,530.45",2011.0,jalisco
tuxpan,360.50,"3,242.65","27,691.20",2011.0,jalisco
valle de juarez,37.20,212.56,"1,966.18",2011.0,jalisco
villa purificacion,30.00,94.80,"1,354.90",2011.0,jalisco
zacoalco de torres,0.00,0.00,0.00,2011.0,jalisco
zapopan,25.00,162.50,"3,087.50",2011.0,jalisco
zapotiltic,283.00,"2,660.20","31,922.40",2011.0,jalisco
zapotitlan de vadillo,250.00,"1,500.00","15,000.00",2011.0,jalisco
zapotlan el grande,"1,800.00","9,000.00","72,000.00",2011.0,jalisco
almoloya de alquisiras,472.00,"4,720.00","65,128.25",2011.0,mexico
amanalco,5.00,50.00,750.00,2011.0,mexico
amatepec,5.00,48.60,375.60,2011.0,mexico
atlautla,45.00,391.70,"2,952.78",2011.0,mexico
coatepec harinas,635.00,"9,487.50","146,743.77",2011.0,mexico
donato guerra,165.00,"1,275.00","14,895.00",2011.0,mexico
ecatzingo,10.00,79.00,606.30,2011.0,mexico
ixtapan de la sal,20.00,200.00,"3,000.00",2011.0,mexico
ixtapan del oro,52.00,408.00,"5,832.00",2011.0,mexico
luvianos,56.00,392.00,"3,528.00",2011.0,mexico
malinalco,92.00,610.00,"6,172.50",2011.0,mexico
ocuilan,18.00,174.00,"2,491.50",2011.0,mexico
otzoloapan,2.00,24.00,240.00,2011.0,mexico
ozumba,25.00,201.50,"1,567.30",2011.0,mexico
san simon de guerrero,13.00,101.70,991.70,2011.0,mexico
santo tomas,3.50,35.00,385.00,2011.0,mexico
sultepec,20.00,92.00,920.00,2011.0,mexico
tejupilco,30.00,226.00,"1,851.00",2011.0,mexico
temascaltepec,58.00,546.00,"5,213.94",2011.0,mexico
tenancingo,230.00,"2,000.00","29,488.00",2011.0,mexico
tepetlixpa,40.00,447.00,"3,645.60",2011.0,mexico
texcaltitlan,5.00,70.00,672.00,2011.0,mexico
valle de bravo,80.00,675.00,"6,862.50",2011.0,mexico
villa guerrero,196.00,"2,740.00","42,887.99",2011.0,mexico
villa de allende,81.00,941.00,"9,069.00",2011.0,mexico
zacazonapan,0.00,0.00,0.00,2011.0,mexico
zacualpan,4.00,20.00,290.00,2011.0,mexico
acuitzio,802.00,"3,219.00","41,017.50",2011.0,michoacan
aguililla,10.00,70.50,577.45,2011.0,michoacan
apatzingan,418.82,"2,144.36","28,965.69",2011.0,michoacan
ario,"11,230.00","121,260.00","1,852,424.70",2011.0,michoacan
charapan,0.00,0.00,0.00,2011.0,michoacan
charo,5.00,22.50,225.00,2011.0,michoacan
chilchota,107.07,856.56,"14,304.55",2011.0,michoacan
copandaro,2.00,6.00,72.00,2011.0,michoacan
cotija,740.00,"5,020.00","84,395.00",2011.0,michoacan
erongaricuaro,380.00,"4,560.00","62,652.30",2011.0,michoacan
hidalgo,22.00,156.20,"1,327.70",2011.0,michoacan
huiramba,60.00,363.60,"6,017.58",2011.0,michoacan
irimbo,92.00,662.40,"5,564.16",2011.0,michoacan
jiquilpan,47.00,469.06,"7,035.90",2011.0,michoacan
jungapeo,21.00,172.20,"1,607.20",2011.0,michoacan
juarez,21.00,210.00,"2,659.47",2011.0,michoacan
los reyes,"2,780.00","28,760.00","487,303.20",2011.0,michoacan
madero,362.00,"1,614.00","19,755.00",2011.0,michoacan
maravatio,6.00,36.00,439.20,2011.0,michoacan
morelia,60.00,270.00,"2,700.00",2011.0,michoacan
nuevo parangaricutiro,"5,500.00","55,000.00","778,999.79",2011.0,michoacan
ocampo,28.50,255.65,"3,152.27",2011.0,michoacan
periban,"12,378.00","126,975.00","2,142,600.00",2011.0,michoacan
purepero,54.00,432.00,"7,344.00",2011.0,michoacan
patzcuaro,170.00,"1,530.00","24,174.00",2011.0,michoacan
querendaro,3.00,15.00,225.00,2011.0,michoacan
quiroga,55.00,495.00,"8,019.00",2011.0,michoacan
salvador escalante,"12,195.00","134,075.50","2,087,898.95",2011.0,michoacan
susupuato,166.50,"1,665.00","18,880.98",2011.0,michoacan
tacambaro,"13,000.00","156,000.00","2,311,899.30",2011.0,michoacan
tancitaro,"19,254.00","192,540.00","2,766,562.80",2011.0,michoacan
tangamandapio,611.00,"6,110.00","97,900.00",2011.0,michoacan
tangancicuaro,646.85,"3,881.10","66,754.92",2011.0,michoacan
taretan,700.00,"7,000.00","102,250.05",2011.0,michoacan
tarimbaro,15.00,67.50,675.00,2011.0,michoacan
tingambato,"2,200.00","22,000.00","311,949.99",2011.0,michoacan
tinguindin,"2,120.00","26,272.00","437,660.80",2011.0,michoacan
tocumbo,415.00,"4,134.80","70,764.96",2011.0,michoacan
turicato,"1,890.00","22,295.20","323,494.93",2011.0,michoacan
tuxpan,312.00,"2,485.60","23,327.10",2011.0,michoacan
tzintzuntzan,12.00,96.48,"1,595.30",2011.0,michoacan
uruapan,"12,459.00","124,590.00","1,768,350.05",2011.0,michoacan
zinapecuaro,53.00,271.00,"4,065.00",2011.0,michoacan
ziracuaretiro,"2,344.00","23,440.00","340,099.95",2011.0,michoacan
zitacuaro,"1,043.00","10,746.00","134,949.89",2011.0,michoacan
cuernavaca,0.00,0.00,0.00,2011.0,morelos
huitzilac,0.40,3.52,35.59,2011.0,morelos
ocuituco,"1,455.00","12,504.50","136,667.36",2011.0,morelos
tepoztlan,34.00,334.56,"2,896.21",2011.0,morelos
tetela del volcan,753.00,"7,071.60","74,428.87",2011.0,morelos
tlalnepantla,224.00,"2,531.20","25,312.00",2011.0,morelos
tlayacapan,1.00,7.00,55.31,2011.0,morelos
totolapan,70.00,682.30,"6,865.25",2011.0,morelos
yautepec,9.00,75.60,614.02,2011.0,morelos
yecapixtla,481.00,"4,446.95","47,541.46",2011.0,morelos
ahuacatlan,4.50,81.00,904.50,2011.0,nayarit
amatlan de canas,2.00,12.00,24.00,2011.0,nayarit
bahia de banderas,1.00,8.22,29.59,2011.0,nayarit
compostela,13.50,98.01,473.81,2011.0,nayarit
ixtlan del rio,10.75,174.75,"1,983.50",2011.0,nayarit
jala,4.50,35.10,253.20,2011.0,nayarit
ruiz,6.00,36.00,252.00,2011.0,nayarit
san blas,527.00,"5,818.60","16,140.74",2011.0,nayarit
san pedro lagunillas,0.00,0.00,0.00,2011.0,nayarit
santa maria del oro,44.96,620.24,"6,097.40",2011.0,nayarit
tepic,"1,136.00","8,437.30","54,361.67",2011.0,nayarit
xalisco,"1,166.40","10,368.00","71,075.54",2011.0,nayarit
acatic,0.00,0.00,0.00,2012.0,jalisco
acatlan de juarez,1.50,9.00,144.00,2012.0,jalisco
amacueca,2.00,9.40,79.90,2012.0,jalisco
ameca,36.00,180.00,"2,317.50",2012.0,jalisco
arandas,0.00,0.00,0.00,2012.0,jalisco
atengo,0.00,0.00,0.00,2012.0,jalisco
atenguillo,2.00,11.00,154.00,2012.0,jalisco
atotonilco el alto,39.00,723.00,"7,756.25",2012.0,jalisco
atoyac,2.00,9.00,65.70,2012.0,jalisco
autlan de navarro,61.00,"1,436.55","21,612.61",2012.0,jalisco
ayotlan,63.00,486.00,"5,466.50",2012.0,jalisco
ayutla,25.00,136.20,"2,451.60",2012.0,jalisco
cabo corrientes,10.00,33.00,369.60,2012.0,jalisco
chiquilistlan,65.00,299.00,"1,883.70",2012.0,jalisco
concepcion de buenos aires,780.00,"5,284.50","88,210.05",2012.0,jalisco
cuautitlan de garcia barragan,32.00,112.00,"1,512.00",2012.0,jalisco
degollado,38.00,375.00,"4,355.00",2012.0,jalisco
el arenal,24.00,168.00,"2,184.00",2012.0,jalisco
el limon,4.00,24.00,240.00,2012.0,jalisco
