municipality,state,production,value
acatic,jalisco,1281.8775,25110.175
acatlan de juarez,jalisco,296.1825,5261.275
acuitzio,michoacan,14668.4925,274230.70499999996
aguililla,michoacan,705.125,10664.060000000001
ahuacatlan,nayarit,109.19999999999999,1498.2275
ahualulco de mercado,jalisco,656.6625,10649.015
almoloya de alquisiras,mexico,6811.4400000000005,109650.445
amacueca,jalisco,2332.4674999999997,43954.8175
amanalco,mexico,336.625,5685.8525
amatepec,mexico,723.025,12326.5675
amatlan de canas,nayarit,43.175,500.46000000000004
ameca,jalisco,1486.375,29459.315
apatzingan,michoacan,5154.41,83884.8725
arandas,jalisco,1911.25,33242.4025
ario,michoacan,167838.7325,3360054.4775
atengo,jalisco,1103.2133333333334,19016.56
atenguillo,jalisco,358.21500000000003,8127.8825
atlautla,mexico,1557.59,29409.29
atotonilco el alto,jalisco,3716.5125,74431.04000000001
atoyac,jalisco,3994.1425,74374.32250000001
autlan de navarro,jalisco,457.4175,8400.875
ayotlan,jalisco,1540.865,30366.4375
ayutla,jalisco,269.5925,4818.4425
bahia de banderas,nayarit,14.799999999999999,94.47333333333334
cabo corrientes,jalisco,100.3125,1959.8325
charapan,michoacan,11155.5,218998.7675
charo,michoacan,650.185,12053.244999999999
chilchota,michoacan,5556.3175,118110.4
chiquilistlan,jalisco,1586.5775,25416.3375
coalcoman de vazquez pallares,michoacan,8470.1875,141177.58000000002
coatepec harinas,mexico,29642.43,509601.075
compostela,nayarit,82.5475,879.0125
concepcion de buenos aires,jalisco,11988.404999999999,228294.60249999998
copandaro,michoacan,16.0,285.0125
cotija,michoacan,24731.82,541624.795
cuautitlan de garcia barragan,jalisco,859.5525,17355.0675
cuernavaca,morelos,1414.25,14154.47
degollado,jalisco,1011.7,20720.0875
donato guerra,mexico,14659.7,287899.49
ecatzingo,mexico,345.8175,6203.245
el arenal,jalisco,501.525,9353.3125
el limon,jalisco,5.1375,92.2425
erongaricuaro,michoacan,7139.43,141273.1825
etzatlan,jalisco,299.755,4589.715
gomez farias,jalisco,10838.9475,157033.6825
hidalgo,michoacan,381.0325,4863.7875
huiramba,michoacan,1460.35,29347.86
huitzilac,morelos,104.67750000000001,1425.8024999999998
irimbo,michoacan,1107.31,14509.405
ixtapan de la sal,mexico,445.84499999999997,6629.735000000001
ixtapan del oro,mexico,1588.6125,28344.2325
ixtlahuacan del rio,jalisco,524.7425000000001,11491.425
ixtlan del rio,nayarit,108.7625,1422.6325
jala,nayarit,682.225,9460.497500000001
jesus maria,jalisco,1010.875,17744.9175
jiquilpan,michoacan,732.0625,13740.4675
jocotepec,jalisco,458.95,8850.975
joquicingo,mexico,2195.3725,27421.235
juarez,michoacan,417.9,5969.6825
jungapeo,michoacan,207.3175,2706.9875
la barca,jalisco,426.4875,7928.3525
la manzanilla de la paz,jalisco,2414.0725,44351.285
los reyes,michoacan,66342.45,1417062.7425
luvianos,mexico,894.52,16856.0375
madero,michoacan,11741.265,215336.79499999998
magdalena,jalisco,102.455,2101.9425
malinalco,mexico,3068.88,48409.802500000005
maravatio,michoacan,65.1325,882.15
mascota,jalisco,1073.52,22054.645
mazamitla,jalisco,4384.795,91790.4175
mixtlan,jalisco,171.11,3935.7349999999997
morelia,michoacan,11076.35,206586.10499999998
nuevo parangaricutiro,michoacan,72170.55666666666,1416854.9566666668
nuevo parangaricutiro,morelos,82074.0,1805169.92
ocampo,michoacan,632.1899999999999,8452.89
ocampo,morelos,655.75,9552.88
ocotlan,jalisco,14.5175,265.4975
ocuilan,mexico,2116.42,32611.8125
ocuituco,morelos,15192.07,202494.2375
otzoloapan,mexico,69.025,1151.5325
ozumba,mexico,530.76,10433.407500000001
patzcuaro,michoacan,2662.92,52990.386666666665
patzcuaro,morelos,6444.8,141458.72
periban,michoacan,145147.29333333333,2894755.813333333
periban,morelos,137424.9,3546513.37
pihuamo,jalisco,514.17,8467.595
puerto vallarta,jalisco,116.1725,2280.8025
purepero,michoacan,4143.08,80626.64
purepero,morelos,4561.16,86764.24
querendaro,michoacan,157.66666666666666,2946.98
querendaro,morelos,168.75,3027.37
quiroga,michoacan,1168.49,23108.38
quiroga,morelos,2045.8,44545.62
quitupan,jalisco,4934.355,106137.7675
ruiz,nayarit,31.759999999999998,337.8025
salvador escalante,michoacan,171100.94666666666,3375928.526666667
salvador escalante,morelos,188193.06,4099221.52
san blas,nayarit,7755.4974999999995,73630.39749999999
san cristobal de la barranca,jalisco,48.61,833.53
san gabriel,jalisco,13902.575,199986.8975
san juanito de escobedo,jalisco,210.4,3311.3
san pedro lagunillas,nayarit,1313.8375,13735.2075
san pedro tlaquepaque,jalisco,122.16499999999999,2858.7525
san sebastian del oeste,jalisco,161.6175,3778.185
san simon de guerrero,mexico,2095.8375,35627.8725
santa maria de los angeles,jalisco,73.6375,1075.34
santa maria del oro,nayarit,488.5625,6432.4525
santo tomas,mexico,84.625,1509.0975
sayula,jalisco,8673.3025,120731.5075
sultepec,mexico,2629.975,38696.6625
susupuato,michoacan,1993.3866666666665,25643.26
susupuato,morelos,2044.18,29855.21
tacambaro,michoacan,174073.1,3169227.0566666666
tacambaro,morelos,176518.02,3821552.26
tala,jalisco,403.3725,7906.674999999999
talpa de allende,jalisco,232.9525,5344.8125
tamazula de gordiano,jalisco,7616.9625,151475.97749999998
tancitaro,michoacan,226850.36666666667,4781108.89
tancitaro,morelos,226710.0,4878354.24
tangamandapio,michoacan,25603.413333333334,504428.41
tangamandapio,morelos,26156.1,728460.37
tangancicuaro,michoacan,18044.393333333333,355550.64999999997
tangancicuaro,morelos,18570.26,495794.03
tapalpa,jalisco,7685.8725,129039.08499999999
taretan,michoacan,13151.666666666666,277348.68333333335
taretan,morelos,18420.0,407149.6
tarimbaro,michoacan,142.66666666666666,2611.3233333333333
tarimbaro,morelos,15.6,281.98
tecalitlan,jalisco,2305.395,38083.645000000004
techaluta de montenegro,jalisco,842.5825,15631.365
tecolotlan,jalisco,670.2225,11485.2
tejupilco,mexico,446.8975,7801.137500000001
temascaltepec,mexico,12998.7725,224917.945
tenamaxtlan,jalisco,39.155,670.6949999999999
tenancingo,mexico,11630.68,188530.305
teocuitatlan de corona,jalisco,619.9325,11308.195
tepatitlan de morelos,jalisco,2795.6125,55019.2725
tepetlixpa,mexico,416.4975,8108.8550000000005
tepic,nayarit,20297.364999999998,261099.135
tepoztlan,morelos,629.45,8001.932500000001
tequila,jalisco,241.66500000000002,4919.885
tetela del volcan,morelos,14076.03,189301.21
teuchitlan,jalisco,15.14,301.64
texcaltitlan,mexico,206.625,3237.6025
tingambato,michoacan,40260.46666666667,827922.7633333333
tingambato,morelos,43975.0,954782.9
tinguindin,michoacan,59097.22,1124849.1133333333
tinguindin,morelos,66144.5,1819857.15
tizapan el alto,jalisco,258.05,4783.7075
tlajomulco de zuniga,jalisco,334.87,5824.3375
tlalnepantla,morelos,3004.51,36285.9775
tlayacapan,morelos,640.825,8217.375
tlazazalca,michoacan,1396.5900000000001,27802.78333333333
tlazazalca,morelos,1688.0,44532.94
tocumbo,michoacan,10292.199999999999,200624.59333333335
tocumbo,morelos,11455.4,300384.25
toliman,jalisco,895.04,15730.8275
tonila,jalisco,8620.4875,135392.0775
totolapan,morelos,1943.2400000000002,26628.292500000003
tototlan,jalisco,410.25,8796.3275
turicato,michoacan,46572.833333333336,881837.7633333333
turicato,morelos,63754.0,1442458.33
tuxcueca,jalisco,526.28,10688.9375
tuxpan,jalisco,11440.9525,179333.47749999998
tuxpan,michoacan,2840.2000000000003,35453.77
tuxpan,morelos,2861.24,41838.48
tzintzuntzan,michoacan,224.06333333333336,4322.816666666667
tzintzuntzan,morelos,366.3,7938.82
uruapan,michoacan,161514.48,3324986.0066666664
uruapan,morelos,166692.0,3763909.57
valle de bravo,mexico,3565.225,66315.0625
valle de juarez,jalisco,552.25,11258.5325
villa de allende,mexico,5969.2575,104308.0425
villa guerrero,mexico,2676.93,48137.715
villa purificacion,jalisco,704.2,14136.3125
xalisco,nayarit,20852.8575,271354.6775
yautepec,morelos,106.78750000000001,1611.5825
yecapixtla,morelos,3542.6,41281.53
zacazonapan,mexico,27.175,562.37
zacoalco de torres,jalisco,416.5025,8005.585000000001
zacualpan,mexico,118.175,1639.5375
zacualpan,morelos,766.165,11587.810000000001
zapopan,jalisco,377.4825,7143.445
zapotiltic,jalisco,11617.494999999999,186278.2825
zapotitlan de vadillo,jalisco,2886.615,51558.295
zapotlan el grande,jalisco,36269.8775,523034.525
zapotlanejo,jalisco,221.5025,4887.88
zinapecuaro,michoacan,376.8766666666667,7022.946666666667
zinapecuaro,morelos,775.5,14005.07
ziracuaretiro,michoacan,45461.666666666664,880481.0233333334
ziracuaretiro,morelos,51469.0,1096429.69
zitacuaro,michoacan,13153.586666666668,162819.95666666667
zitacuaro,morelos,12509.26,181466.41
