año,inegi,entidad,municipio,modalidad,tipo,subtipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2011,14023,jalisco,zapotlan el grande,delitos patrimoniales,extorsion,extorsion,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2011,14023,jalisco,zapotlan el grande,homicidios,dolosos,con arma de fuego,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2011,14023,jalisco,zapotlan el grande,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,14023,jalisco,zapotlan el grande,homicidios,dolosos,otros,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,14023,jalisco,zapotlan el grande,homicidios,dolosos,sin datos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,14039,jalisco,guadalajara,delitos patrimoniales,extorsion,extorsion,18.0,15.0,13.0,15.0,15.0,12.0,16.0,15.0,9.0,8.0,6.0,19.0
2011,14039,jalisco,guadalajara,homicidios,dolosos,con arma de fuego,11.0,16.0,12.0,6.0,8.0,9.0,10.0,11.0,7.0,7.0,14.0,10.0
2011,14039,jalisco,guadalajara,homicidios,dolosos,con arma blanca,2.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,2.0,4.0,5.0,8.0
2011,14039,jalisco,guadalajara,homicidios,dolosos,otros,2.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,6.0,6.0
2011,14039,jalisco,guadalajara,homicidios,dolosos,sin datos,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2011,14053,jalisco,lagos de moreno,delitos patrimoniales,extorsion,extorsion,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2011,14053,jalisco,lagos de moreno,homicidios,dolosos,con arma de fuego,2.0,1.0,2.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0
2011,14053,jalisco,lagos de moreno,homicidios,dolosos,con arma blanca,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,14053,jalisco,lagos de moreno,homicidios,dolosos,otros,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
2011,14053,jalisco,lagos de moreno,homicidios,dolosos,sin datos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,14063,jalisco,ocotlan,delitos patrimoniales,extorsion,extorsion,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2011,14063,jalisco,ocotlan,homicidios,dolosos,con arma de fuego,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
2011,14063,jalisco,ocotlan,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2011,14063,jalisco,ocotlan,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2011,14063,jalisco,ocotlan,homicidios,dolosos,sin datos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,14067,jalisco,puerto vallarta,delitos patrimoniales,extorsion,extorsion,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
