año,clave_ent,entidad,cve. municipio,municipio,bien jurídico afectado,tipo de delito,subtipo de delito,modalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2015,14,jalisco,14001,acatic,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,14,jalisco,14001,acatic,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14001,acatic,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,14,jalisco,14001,acatic,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14001,acatic,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015,14,jalisco,14002,acatlán de juárez,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14002,acatlán de juárez,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14002,acatlán de juárez,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,14,jalisco,14002,acatlán de juárez,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14002,acatlán de juárez,el patrimonio,extorsión,extorsión,extorsión,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14003,ahualulco de mercado,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14003,ahualulco de mercado,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14003,ahualulco de mercado,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14003,ahualulco de mercado,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14003,ahualulco de mercado,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,14,jalisco,14004,amacueca,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14004,amacueca,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14004,amacueca,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14004,amacueca,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14004,amacueca,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14005,amatitán,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14005,amatitán,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14005,amatitán,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14005,amatitán,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14005,amatitán,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14006,ameca,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14006,ameca,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14006,ameca,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14006,ameca,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14006,ameca,el patrimonio,extorsión,extorsión,extorsión,0,1,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0
2015,14,jalisco,14007,san juanito de escobedo,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14007,san juanito de escobedo,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14007,san juanito de escobedo,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14007,san juanito de escobedo,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
