entidad,inegi,año,municipio,tipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
jalisco,14023,2011,zapotlan el grande,extorsion,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
jalisco,14023,2011,zapotlan el grande,homicidio,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
jalisco,14023,2012,zapotlan el grande,extorsion,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,7.0,4.0,0.0
jalisco,14023,2012,zapotlan el grande,homicidio,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
jalisco,14023,2013,zapotlan el grande,extorsion,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
jalisco,14023,2013,zapotlan el grande,homicidio,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
jalisco,14023,2014,zapotlan el grande,extorsion,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0
jalisco,14023,2014,zapotlan el grande,homicidio,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
jalisco,14039,2011,guadalajara,extorsion,18.0,15.0,13.0,15.0,15.0,12.0,16.0,15.0,9.0,8.0,6.0,19.0
jalisco,14039,2011,guadalajara,homicidio,15.0,17.0,21.0,8.0,14.0,15.0,12.0,16.0,10.0,11.0,25.0,24.0
jalisco,14039,2012,guadalajara,extorsion,18.0,13.0,15.0,6.0,13.0,8.0,16.0,13.0,8.0,10.0,10.0,7.0
jalisco,14039,2012,guadalajara,homicidio,15.0,24.0,16.0,12.0,14.0,17.0,14.0,16.0,24.0,19.0,10.0,18.0
jalisco,14039,2013,guadalajara,extorsion,3.0,11.0,11.0,3.0,12.0,13.0,13.0,27.0,30.0,27.0,29.0,17.0
jalisco,14039,2013,guadalajara,homicidio,15.0,16.0,13.0,16.0,18.0,13.0,11.0,9.0,11.0,16.0,8.0,11.0
jalisco,14039,2014,guadalajara,extorsion,22.0,23.0,27.0,31.0,16.0,9.0,9.0,11.0,6.0,13.0,11.0,17.0
jalisco,14039,2014,guadalajara,homicidio,11.0,11.0,16.0,10.0,15.0,13.0,14.0,14.0,11.0,6.0,10.0,18.0
jalisco,14053,2011,lagos de moreno,extorsion,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
jalisco,14053,2011,lagos de moreno,homicidio,2.0,2.0,4.0,0.0,2.0,5.0,4.0,1.0,0.0,1.0,2.0,1.0
jalisco,14053,2012,lagos de moreno,extorsion,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
jalisco,14053,2012,lagos de moreno,homicidio,2.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0
jalisco,14053,2013,lagos de moreno,extorsion,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0
jalisco,14053,2013,lagos de moreno,homicidio,0.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
jalisco,14053,2014,lagos de moreno,extorsion,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0
jalisco,14053,2014,lagos de moreno,homicidio,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,2.0,4.0
jalisco,14063,2011,ocotlan,extorsion,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
jalisco,14063,2011,ocotlan,homicidio,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
jalisco,14063,2012,ocotlan,extorsion,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
jalisco,14063,2012,ocotlan,homicidio,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0
