entidad,inegi,año,municipio,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
jalisco,14023,2011,zapotlan el grande,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
jalisco,14023,2012,zapotlan el grande,0.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,2.0,7.0,4.0,2.0
jalisco,14023,2013,zapotlan el grande,3.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0
jalisco,14023,2014,zapotlan el grande,0.0,0.0,4.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0
jalisco,14023,2015,zapotlan el grande,3.0,4.0,2.0,2.0,5.0,1.0,9.0,4.0,4.0,3.0,3.0,3.0
jalisco,14023,2016,zapotlan el grande,3.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0
jalisco,14023,2017,zapotlan el grande,2.0,3.0,2.0,3.0,7.0,7.0,1.0,1.0,2.0,3.0,2.0,0.0
jalisco,14023,2018,zapotlan el grande,1.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,5.0
jalisco,14023,2019,zapotlan el grande,3.0,2.0,4.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0
jalisco,14039,2011,guadalajara,33.0,32.0,34.0,23.0,29.0,27.0,28.0,31.0,19.0,19.0,31.0,43.0
jalisco,14039,2012,guadalajara,33.0,37.0,31.0,18.0,27.0,25.0,30.0,29.0,32.0,29.0,20.0,25.0
jalisco,14039,2013,guadalajara,18.0,27.0,24.0,19.0,30.0,26.0,24.0,36.0,41.0,43.0,37.0,28.0
jalisco,14039,2014,guadalajara,33.0,34.0,43.0,41.0,31.0,22.0,23.0,25.0,17.0,19.0,21.0,35.0
jalisco,14039,2015,guadalajara,31.0,31.0,23.0,17.0,35.0,38.0,32.0,34.0,34.0,37.0,42.0,34.0
jalisco,14039,2016,guadalajara,35.0,17.0,15.0,27.0,29.0,32.0,30.0,49.0,33.0,33.0,35.0,44.0
jalisco,14039,2017,guadalajara,33.0,16.0,29.0,26.0,35.0,21.0,25.0,35.0,37.0,42.0,43.0,39.0
jalisco,14039,2018,guadalajara,43.0,50.0,68.0,48.0,55.0,50.0,48.0,48.0,58.0,73.0,54.0,60.0
jalisco,14039,2019,guadalajara,65.0,64.0,67.0,49.0,52.0,47.0,49.0,34.0,28.0,37.0,28.0,31.0
jalisco,14053,2011,lagos de moreno,2.0,3.0,4.0,2.0,2.0,5.0,4.0,1.0,0.0,2.0,2.0,2.0
jalisco,14053,2012,lagos de moreno,2.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0
jalisco,14053,2013,lagos de moreno,0.0,5.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,8.0,0.0
jalisco,14053,2014,lagos de moreno,3.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,3.0,4.0
jalisco,14053,2015,lagos de moreno,2.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,5.0,8.0
jalisco,14053,2016,lagos de moreno,5.0,10.0,6.0,8.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,7.0
jalisco,14053,2017,lagos de moreno,1.0,10.0,3.0,6.0,5.0,6.0,6.0,2.0,4.0,4.0,5.0,5.0
jalisco,14053,2018,lagos de moreno,3.0,3.0,7.0,1.0,11.0,6.0,10.0,7.0,4.0,6.0,5.0,11.0
jalisco,14053,2019,lagos de moreno,10.0,17.0,8.0,6.0,9.0,7.0,11.0,11.0,10.0,7.0,13.0,7.0
jalisco,14063,2011,ocotlan,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0
jalisco,14063,2012,ocotlan,7.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,2.0,1.0
jalisco,14063,2013,ocotlan,10.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0
jalisco,14063,2014,ocotlan,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
jalisco,14063,2015,ocotlan,1.0,0.0,2.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0
jalisco,14063,2016,ocotlan,1.0,4.0,2.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0
jalisco,14063,2017,ocotlan,1.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
jalisco,14063,2018,ocotlan,1.0,1.0,4.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0
jalisco,14063,2019,ocotlan,4.0,2.0,3.0,10.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0
jalisco,14067,2011,puerto vallarta,3.0,5.0,2.0,4.0,3.0,9.0,4.0,6.0,10.0,6.0,9.0,10.0
jalisco,14067,2012,puerto vallarta,4.0,4.0,7.0,4.0,11.0,7.0,4.0,5.0,5.0,5.0,2.0,6.0
jalisco,14067,2013,puerto vallarta,4.0,4.0,0.0,4.0,12.0,11.0,8.0,6.0,6.0,7.0,7.0,12.0
jalisco,14067,2014,puerto vallarta,4.0,7.0,9.0,7.0,4.0,1.0,0.0,6.0,6.0,7.0,1.0,3.0
jalisco,14067,2015,puerto vallarta,10.0,11.0,9.0,7.0,21.0,6.0,6.0,4.0,5.0,6.0,3.0,4.0
jalisco,14067,2016,puerto vallarta,2.0,4.0,6.0,2.0,5.0,3.0,3.0,7.0,8.0,6.0,4.0,7.0
jalisco,14067,2017,puerto vallarta,6.0,3.0,6.0,6.0,8.0,6.0,2.0,5.0,4.0,2.0,7.0,5.0
jalisco,14067,2018,puerto vallarta,9.0,9.0,16.0,9.0,11.0,8.0,11.0,4.0,5.0,5.0,3.0,7.0
jalisco,14067,2019,puerto vallarta,4.0,6.0,1.0,6.0,4.0,3.0,8.0,3.0,5.0,6.0,9.0,3.0
jalisco,14070,2011,el salto,2.0,3.0,6.0,3.0,2.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0
jalisco,14070,2012,el salto,1.0,4.0,0.0,6.0,8.0,3.0,3.0,2.0,2.0,3.0,2.0,6.0
jalisco,14070,2013,el salto,6.0,7.0,7.0,5.0,5.0,4.0,3.0,2.0,12.0,2.0,7.0,7.0
jalisco,14070,2014,el salto,7.0,1.0,5.0,2.0,1.0,5.0,4.0,3.0,3.0,3.0,0.0,0.0
jalisco,14070,2015,el salto,2.0,2.0,4.0,4.0,3.0,0.0,4.0,4.0,2.0,2.0,4.0,3.0
jalisco,14070,2016,el salto,0.0,6.0,5.0,0.0,5.0,7.0,6.0,5.0,2.0,5.0,3.0,3.0
jalisco,14070,2017,el salto,2.0,4.0,1.0,8.0,2.0,3.0,4.0,4.0,5.0,2.0,6.0,5.0
jalisco,14070,2018,el salto,8.0,12.0,9.0,13.0,4.0,6.0,7.0,13.0,11.0,12.0,12.0,12.0
jalisco,14070,2019,el salto,15.0,6.0,7.0,11.0,2.0,17.0,10.0,7.0,10.0,7.0,11.0,5.0
jalisco,14093,2011,tepatitlan de morelos,0.0,2.0,5.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0
jalisco,14093,2012,tepatitlan de morelos,0.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0
