entidad,inegi,año,municipio,month,crimes,xmonth,pop,educ,crime_pc
jalisco,14023,2011,zapotlan el grande,enero,2.0,1,115141,10.55,1.737000720855299
jalisco,14023,2012,zapotlan el grande,enero,0.0,13,115141,10.55,0.0
jalisco,14023,2013,zapotlan el grande,enero,3.0,25,115141,10.55,2.6055010812829487
jalisco,14023,2014,zapotlan el grande,enero,0.0,37,115141,10.55,0.0
jalisco,14023,2015,zapotlan el grande,enero,3.0,49,115141,10.55,2.6055010812829487
jalisco,14023,2016,zapotlan el grande,enero,3.0,61,115141,10.55,2.6055010812829487
jalisco,14023,2017,zapotlan el grande,enero,2.0,73,115141,10.55,1.737000720855299
jalisco,14023,2018,zapotlan el grande,enero,1.0,85,115141,10.55,0.8685003604276496
jalisco,14023,2019,zapotlan el grande,enero,3.0,97,115141,10.55,2.6055010812829487
jalisco,14039,2011,guadalajara,enero,33.0,1,1385629,10.96,2.3815898772326505
jalisco,14039,2012,guadalajara,enero,33.0,13,1385629,10.96,2.3815898772326505
jalisco,14039,2013,guadalajara,enero,18.0,25,1385629,10.96,1.299049023945082
jalisco,14039,2014,guadalajara,enero,33.0,37,1385629,10.96,2.3815898772326505
jalisco,14039,2015,guadalajara,enero,31.0,49,1385629,10.96,2.237251096794308
jalisco,14039,2016,guadalajara,enero,35.0,61,1385629,10.96,2.5259286576709927
jalisco,14039,2017,guadalajara,enero,33.0,73,1385629,10.96,2.3815898772326505
jalisco,14039,2018,guadalajara,enero,43.0,85,1385629,10.96,3.1032837794243626
jalisco,14039,2019,guadalajara,enero,65.0,97,1385629,10.96,4.69101036424613
jalisco,14053,2011,lagos de moreno,enero,2.0,1,172403,8.94,1.1600726205460463
jalisco,14053,2012,lagos de moreno,enero,2.0,13,172403,8.94,1.1600726205460463
jalisco,14053,2013,lagos de moreno,enero,0.0,25,172403,8.94,0.0
jalisco,14053,2014,lagos de moreno,enero,3.0,37,172403,8.94,1.7401089308190694
jalisco,14053,2015,lagos de moreno,enero,2.0,49,172403,8.94,1.1600726205460463
jalisco,14053,2016,lagos de moreno,enero,5.0,61,172403,8.94,2.9001815513651157
jalisco,14053,2017,lagos de moreno,enero,1.0,73,172403,8.94,0.5800363102730232
jalisco,14053,2018,lagos de moreno,enero,3.0,85,172403,8.94,1.7401089308190694
jalisco,14053,2019,lagos de moreno,enero,10.0,97,172403,8.94,5.800363102730231
