ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,GRAPROES
14,Jalisco,000,Total de la entidad Jalisco,0000,Total de la Entidad,8348151,9.90
14,Jalisco,000,Total de la entidad Jalisco,9998,Localidades de una vivienda,12686,6.46
14,Jalisco,000,Total de la entidad Jalisco,9999,Localidades de dos viviendas,10843,6.40
14,Jalisco,001,Acatic,0000,Total del Municipio,23175,7.29
14,Jalisco,001,Acatic,0001,Acatic,13033,7.66
14,Jalisco,001,Acatic,0002,Agua Prieta (Tepetates),221,5.91
14,Jalisco,001,Acatic,0003,Alacates,7,*
14,Jalisco,001,Acatic,0006,El Bajío de los Herrera,31,4.45
14,Jalisco,001,Acatic,0007,El Bañadero,1,*
14,Jalisco,001,Acatic,0009,Rancho Nuevo Calderón,235,6.42
14,Jalisco,001,Acatic,0010,El Capadero (San Miguel de la Loza),16,6
14,Jalisco,001,Acatic,0011,Carricillo,40,5.48
14,Jalisco,001,Acatic,0012,Ceja de Ramblas,75,4.93
14,Jalisco,001,Acatic,0013,Cofradía Grande,56,6.15
14,Jalisco,001,Acatic,0014,El Colomo,203,5.68
14,Jalisco,001,Acatic,0016,Las Coronillas,50,7.25
14,Jalisco,001,Acatic,0018,La Charranga,36,5.65
14,Jalisco,001,Acatic,0019,El Charco del Ahogado,4,*
14,Jalisco,001,Acatic,0020,Chiquihuitillo,158,5.23
14,Jalisco,001,Acatic,0021,El Chivatero,99,4.49
14,Jalisco,001,Acatic,0022,La Estancia,14,4.45
14,Jalisco,001,Acatic,0023,La Gallarda,4,*
14,Jalisco,001,Acatic,0024,La Gazapera,86,5.31
14,Jalisco,001,Acatic,0026,La Infamia,9,*
14,Jalisco,001,Acatic,0027,Jagüey,27,6.82
14,Jalisco,001,Acatic,0028,El Jaral,43,6.48
14,Jalisco,001,Acatic,0029,Laguna Colorada,44,6.19
14,Jalisco,001,Acatic,0030,La Leonera,9,*
14,Jalisco,001,Acatic,0031,La Leonerita,16,4
14,Jalisco,001,Acatic,0032,La Loma (La Giganta),58,7.23
14,Jalisco,001,Acatic,0033,Los Llanitos,147,5.93
14,Jalisco,001,Acatic,0034,Miraflores,3,*
14,Jalisco,001,Acatic,0035,Monte Largo,75,7.54
14,Jalisco,001,Acatic,0036,Las Motas,323,7.40
14,Jalisco,001,Acatic,0037,La Nopalera,34,8.69
14,Jalisco,001,Acatic,0038,El Ocotillo,6,*
14,Jalisco,001,Acatic,0040,Ojo de Agua de Verdum,59,5.48
14,Jalisco,001,Acatic,0041,Palo Solo,5,*
14,Jalisco,001,Acatic,0042,Las Paredes,23,6.17
14,Jalisco,001,Acatic,0043,Piedra Amarilla,41,8.16
14,Jalisco,001,Acatic,0044,Las Pilas,51,5.79
14,Jalisco,001,Acatic,0046,La Providencia (Crucero de Acatic),14,6
14,Jalisco,001,Acatic,0047,La Quinta,54,5.73
14,Jalisco,001,Acatic,0048,El Ranchito,4,*
14,Jalisco,001,Acatic,0049,Los Ranchitos,94,7.02
14,Jalisco,001,Acatic,0052,Rancho Nuevo,4,*
14,Jalisco,001,Acatic,0053,El Ranero,12,4.63
14,Jalisco,001,Acatic,0054,El Refugio (Paredones),2894,7.52
14,Jalisco,001,Acatic,0055,La Resolana,156,7.78
14,Jalisco,001,Acatic,0056,El Rincón,2,*
14,Jalisco,001,Acatic,0057,Saltillo de Arriba,36,6.43
14,Jalisco,001,Acatic,0059,San Antonio,16,7.14
14,Jalisco,001,Acatic,0060,San Antonio de Roa,44,4.19
14,Jalisco,001,Acatic,0062,San Francisco,33,6.52
14,Jalisco,001,Acatic,0063,Tierras Coloradas,1988,6.77
14,Jalisco,001,Acatic,0066,Santa Rita,403,5.53
14,Jalisco,001,Acatic,0067,El Sauz,30,4.72
14,Jalisco,001,Acatic,0068,La Soledad,15,6.70
14,Jalisco,001,Acatic,0069,Las Tablas,25,5.40
14,Jalisco,001,Acatic,0070,El Tempisque,42,5.92
14,Jalisco,001,Acatic,0071,El Tepamal,2,*
14,Jalisco,001,Acatic,0072,El Tepame,36,7.87
14,Jalisco,001,Acatic,0073,El Tepehuaje,68,5.67
14,Jalisco,001,Acatic,0074,El Tepozán,87,7.34
14,Jalisco,001,Acatic,0075,Tequililla,193,6.87
14,Jalisco,001,Acatic,0078,El Tlalcoyote,18,3.41
14,Jalisco,001,Acatic,0079,Las Trojes,31,7.73
14,Jalisco,001,Acatic,0081,El Venado,13,7.56
14,Jalisco,001,Acatic,0084,Las Víboras,60,7.12
14,Jalisco,001,Acatic,0086,El Paraíso,15,5.91
14,Jalisco,001,Acatic,0087,Terrerito,5,*
14,Jalisco,001,Acatic,0088,Crucero Viejo Acatic,57,7.56
14,Jalisco,001,Acatic,0094,San José,1,*
14,Jalisco,001,Acatic,0102,Saltillo de Abajo,142,7.03
14,Jalisco,001,Acatic,0104,Codornices,68,6.92
14,Jalisco,001,Acatic,0106,La Sosa,2,*
14,Jalisco,001,Acatic,0107,Agropecuaria Calderón,60,6.73
14,Jalisco,001,Acatic,0108,Las Amapolas,5,*
14,Jalisco,001,Acatic,0109,Los Dos Pilares,4,*
14,Jalisco,001,Acatic,0111,Las Barranquitas,13,13.89
14,Jalisco,001,Acatic,0112,La Calesa (Plan de Calderón),13,6.13
14,Jalisco,001,Acatic,0113,Cañada Honda,11,*
14,Jalisco,001,Acatic,0115,Cofradía Chica,46,8.50
14,Jalisco,001,Acatic,0116,La Copetona,9,*
14,Jalisco,001,Acatic,0118,La Esperanza,5,*
14,Jalisco,001,Acatic,0119,GENPRO [La Lechonera],5,*
14,Jalisco,001,Acatic,0122,Ninguno [Granja Rancho Nuevo],20,7.29
14,Jalisco,001,Acatic,0123,La Joya (Avícola la Joya),206,5.87
14,Jalisco,001,Acatic,0128,La Mojonera,4,*
14,Jalisco,001,Acatic,0129,La Ordeña,7,*
14,Jalisco,001,Acatic,0131,El Pitahayo,12,5.67
14,Jalisco,001,Acatic,0132,La Presa de la Joya,12,10.67
14,Jalisco,001,Acatic,0133,Rancho Alegre,15,5.11
14,Jalisco,001,Acatic,0135,El Saltillo,1,*
14,Jalisco,001,Acatic,0137,El Tanque,5,*
14,Jalisco,001,Acatic,0139,Las Tortugas,15,6.27
14,Jalisco,001,Acatic,0141,San Pablo,136,5.54
14,Jalisco,001,Acatic,0142,Acatic (Colonia la Prepa),565,7.19
14,Jalisco,001,Acatic,9998,Localidades de una vivienda,64,6.84
14,Jalisco,001,Acatic,9999,Localidades de dos viviendas,60,6.21
14,Jalisco,002,Acatlán de Juárez,0000,Total del Municipio,25250,9.23
14,Jalisco,002,Acatlán de Juárez,0001,Acatlán de Juárez,11110,9.85
14,Jalisco,002,Acatlán de Juárez,0002,Bellavista,7802,8.92
14,Jalisco,002,Acatlán de Juárez,0004,El Plan (El Cerrito),3039,8.86
14,Jalisco,002,Acatlán de Juárez,0005,San José de los Pozos,928,7.81
14,Jalisco,002,Acatlán de Juárez,0007,San Pedro Valencia,433,6.41
14,Jalisco,002,Acatlán de Juárez,0008,El Colomo,16,6.67
14,Jalisco,002,Acatlán de Juárez,0009,El Platanarillo,6,*
14,Jalisco,002,Acatlán de Juárez,0010,Santa Ana [Estación],78,5.08
14,Jalisco,002,Acatlán de Juárez,0013,Crucero de Bellavista,5,*
14,Jalisco,002,Acatlán de Juárez,0019,El Ariete,6,*
14,Jalisco,002,Acatlán de Juárez,0021,Los Castillos (Las Torrecillas),16,9.80
14,Jalisco,002,Acatlán de Juárez,0024,La Coronilla,10,5.17
14,Jalisco,002,Acatlán de Juárez,0025,Crucero de los Pozos,10,*
14,Jalisco,002,Acatlán de Juárez,0027,El Durazno,3,*
14,Jalisco,002,Acatlán de Juárez,0030,Maravillas [Fraccionamiento],27,7.94
14,Jalisco,002,Acatlán de Juárez,0034,La Magdalena (Casitas Blancas),7,4.29
14,Jalisco,002,Acatlán de Juárez,0035,Las Maravillas (El Cuarenta),34,6.42
14,Jalisco,002,Acatlán de Juárez,0036,Montenegro,8,7.33
14,Jalisco,002,Acatlán de Juárez,0037,El Pantano San Marcos,18,6.15
14,Jalisco,002,Acatlán de Juárez,0039,El Quelele,19,6.47
14,Jalisco,002,Acatlán de Juárez,0040,El Ramireño,4,*
14,Jalisco,002,Acatlán de Juárez,0041,Santa Ana Tres (Cresta Avícola),6,*
14,Jalisco,002,Acatlán de Juárez,0043,Acatlán de Juárez [Subestación Eléctrica],4,*
14,Jalisco,002,Acatlán de Juárez,0048,Las Alberquitas [Balneario],9,8.22
14,Jalisco,002,Acatlán de Juárez,0053,Las Carretas,57,7.18
14,Jalisco,002,Acatlán de Juárez,0055,Pérez y Delanda,3,*
14,Jalisco,002,Acatlán de Juárez,0058,Heliodoro Camacho (La Yerbabuena),15,9.91
14,Jalisco,002,Acatlán de Juárez,0061,El Río,4,*
14,Jalisco,002,Acatlán de Juárez,0062,Villa de los Niños,1549,*
14,Jalisco,002,Acatlán de Juárez,0063,El Novillero,1,*
14,Jalisco,002,Acatlán de Juárez,0064,Rivera del Lago [Fraccionamiento],4,*
14,Jalisco,002,Acatlán de Juárez,0065,Centro Logístico de Jalisco [Parque Industrial],19,9.88
14,Jalisco,002,Acatlán de Juárez,9998,Localidades de una vivienda,33,8.20
14,Jalisco,002,Acatlán de Juárez,9999,Localidades de dos viviendas,1572,8.57
14,Jalisco,003,Ahualulco de Mercado,0000,Total del Municipio,23630,9.52
14,Jalisco,003,Ahualulco de Mercado,0001,Ahualulco de Mercado,17000,10.01
14,Jalisco,003,Ahualulco de Mercado,0004,El Carmen (El Capulín),1612,8.98
14,Jalisco,003,Ahualulco de Mercado,0007,Chapulimita (Chapuli),294,7.02
14,Jalisco,003,Ahualulco de Mercado,0019,La Mora (La Morita),149,7.42
14,Jalisco,003,Ahualulco de Mercado,0021,La Peña,39,7.53
14,Jalisco,003,Ahualulco de Mercado,0028,Santa Cruz de Bárcenas (Santa Cruz),1610,7.79
14,Jalisco,003,Ahualulco de Mercado,0030,El Soltero,6,*
14,Jalisco,003,Ahualulco de Mercado,0031,Teuchiteco,107,8.08
14,Jalisco,003,Ahualulco de Mercado,0032,Tiro Patria,2,*
14,Jalisco,003,Ahualulco de Mercado,0038,Portes Gil (San Ignacio),2733,8.26
14,Jalisco,003,Ahualulco de Mercado,0051,El Lechón [Granja Agropecuaria],5,*
14,Jalisco,003,Ahualulco de Mercado,0056,Rancho los Laureles Uno,3,*
14,Jalisco,003,Ahualulco de Mercado,0057,Baviacora [Granja],3,*
14,Jalisco,003,Ahualulco de Mercado,0058,Tecoripa [Granja],5,*
14,Jalisco,003,Ahualulco de Mercado,0059,La Cofradía (Rancho los Parados),19,8.76
14,Jalisco,003,Ahualulco de Mercado,0068,Rancho Germán,1,*
14,Jalisco,003,Ahualulco de Mercado,0074,El Paraíso,1,*
14,Jalisco,003,Ahualulco de Mercado,0080,Los Leones,2,*
14,Jalisco,003,Ahualulco de Mercado,0082,Santa Cruz Dos [Granja],11,*
14,Jalisco,003,Ahualulco de Mercado,0083,Santa Cruz Uno [Granja],7,*
14,Jalisco,003,Ahualulco de Mercado,0086,Rancho Cuevas,6,*
14,Jalisco,003,Ahualulco de Mercado,0094,Rancho Olmos,2,*
14,Jalisco,003,Ahualulco de Mercado,0096,El Trapiche,1,*
14,Jalisco,003,Ahualulco de Mercado,0097,El Encanto,5,*
14,Jalisco,003,Ahualulco de Mercado,0099,El Novillo,7,*
14,Jalisco,003,Ahualulco de Mercado,9998,Localidades de una vivienda,44,8.92
14,Jalisco,003,Ahualulco de Mercado,9999,Localidades de dos viviendas,23,8.27
14,Jalisco,004,Amacueca,0000,Total del Municipio,5743,8.34
14,Jalisco,004,Amacueca,0001,Amacueca,3025,8.80
14,Jalisco,004,Amacueca,0003,Aguacatita,55,7.81
14,Jalisco,004,Amacueca,0004,El Apartadero,108,7.86
14,Jalisco,004,Amacueca,0005,Barranca San Miguel,24,7.48
14,Jalisco,004,Amacueca,0007,Cerro Bola,12,3.80
14,Jalisco,004,Amacueca,0008,Cofradía del Rosario,342,7.25
14,Jalisco,004,Amacueca,0010,Los Chávez,54,5.26
14,Jalisco,004,Amacueca,0014,Lagunitas,7,4.29
14,Jalisco,004,Amacueca,0017,Palo Quemado,11,5.30
14,Jalisco,004,Amacueca,0020,San Juanito,26,5.77
14,Jalisco,004,Amacueca,0022,Tepec,2033,8.09
14,Jalisco,004,Amacueca,0023,Los Trujillo,10,7.33
14,Jalisco,004,Amacueca,0025,Los Zalates,4,*
14,Jalisco,004,Amacueca,0026,Rancho Viejo,4,*
14,Jalisco,004,Amacueca,0030,Mezquititlán,3,*
14,Jalisco,004,Amacueca,0032,Ninguno [Estación de Microondas],2,*
14,Jalisco,004,Amacueca,0039,El Tacamo,2,*
14,Jalisco,004,Amacueca,0053,El Jazmín,7,*
14,Jalisco,004,Amacueca,0061,La Posta,5,*
14,Jalisco,004,Amacueca,0064,El Retoño,4,*
14,Jalisco,004,Amacueca,0066,Ninguno,5,*
14,Jalisco,004,Amacueca,9998,Localidades de una vivienda,32,7
14,Jalisco,004,Amacueca,9999,Localidades de dos viviendas,4,*
14,Jalisco,005,Amatitán,0000,Total del Municipio,16490,9.20
14,Jalisco,005,Amatitán,0001,Amatitán,12180,9.62
14,Jalisco,005,Amatitán,0002,Acatic (San Francisco),2,*
14,Jalisco,005,Amatitán,0003,Agua Fría,239,7.56
14,Jalisco,005,Amatitán,0004,Agua Prieta,82,7.82
14,Jalisco,005,Amatitán,0005,El Amarillo,99,7.26
14,Jalisco,005,Amatitán,0007,La Conchilla,93,7.25
14,Jalisco,005,Amatitán,0008,Santa Rosa [Campamento CFE],40,10.87
14,Jalisco,005,Amatitán,0009,La Capilla,45,8.39
14,Jalisco,005,Amatitán,0010,El Cerrito,98,7.33
14,Jalisco,005,Amatitán,0013,La Cofradía,17,*
14,Jalisco,005,Amatitán,0015,Chome (Achío),241,7.27
14,Jalisco,005,Amatitán,0020,La Mata,159,8.17
14,Jalisco,005,Amatitán,0022,Miravalle,7,*
14,Jalisco,005,Amatitán,0026,Rancho Viejo,20,4.88
14,Jalisco,005,Amatitán,0029,Santa Rita (El Tecuane),10,*
14,Jalisco,005,Amatitán,0031,Santiaguito,1545,8.31
14,Jalisco,005,Amatitán,0032,Tateposco,13,10.29
14,Jalisco,005,Amatitán,0035,Tepetates,298,7.34
14,Jalisco,005,Amatitán,0036,El Tizate,18,6.21
14,Jalisco,005,Amatitán,0039,La Villa de Cuerámbaro,286,7.03
14,Jalisco,005,Amatitán,0040,La Villa,13,4.90
14,Jalisco,005,Amatitán,0043,Las Escobas,1,*
14,Jalisco,005,Amatitán,0045,La Quebradora,73,6.90
14,Jalisco,005,Amatitán,0056,El Coco,17,6.67
14,Jalisco,005,Amatitán,0065,El Mirador,11,5.56
14,Jalisco,005,Amatitán,0070,Rancho Doña Mary,4,*
14,Jalisco,005,Amatitán,0071,Rancho el Agostadero,2,*
14,Jalisco,005,Amatitán,0074,La Cantera,872,8.52
14,Jalisco,005,Amatitán,0075,Las Juntas,5,*
14,Jalisco,005,Amatitán,9998,Localidades de una vivienda,14,7.20
14,Jalisco,005,Amatitán,9999,Localidades de dos viviendas,34,7.24
14,Jalisco,006,Ameca,0000,Total del Municipio,60386,9.06
14,Jalisco,006,Ameca,0001,Ameca,37871,9.77
14,Jalisco,006,Ameca,0002,Altavista de Ramos,327,6.81
14,Jalisco,006,Ameca,0003,Los Amiales,412,7.73
14,Jalisco,006,Ameca,0004,El Arco,150,7
14,Jalisco,006,Ameca,0005,Arroyo Hondo,250,7.46
14,Jalisco,006,Ameca,0007,La Atrevida,6,*
14,Jalisco,006,Ameca,0010,Buenos Aires,839,7.90
14,Jalisco,006,Ameca,0011,El Cabezón (El Limón),2749,8.60
14,Jalisco,006,Ameca,0012,Caimanero (El Quelite),390,8.64
14,Jalisco,006,Ameca,0013,La Calera de Abajo,107,7.68
14,Jalisco,006,Ameca,0014,La Calera de Arriba,251,5.80
14,Jalisco,006,Ameca,0015,La Nueva Cantería (El Pochote),339,8.01
14,Jalisco,006,Ameca,0017,El Cerrito del Cuis,100,6.59
14,Jalisco,006,Ameca,0018,La Coronilla,267,6.63
14,Jalisco,006,Ameca,0019,El Cuis (El Tasajo),405,7.42
14,Jalisco,006,Ameca,0020,Don Martín,505,7.84
14,Jalisco,006,Ameca,0022,La Estancita,163,8.01
14,Jalisco,006,Ameca,0023,Guarachilla,34,5.59
14,Jalisco,006,Ameca,0024,La Higuera,386,7.69
14,Jalisco,006,Ameca,0025,La Huerta de San Javier,377,7.62
