ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,GRAPROES
15,México,000,Total de la entidad México,0000,Total de la Entidad,16992418,10.08
15,México,000,Total de la entidad México,9998,Localidades de una vivienda,6011,7.42
15,México,000,Total de la entidad México,9999,Localidades de dos viviendas,765,7.54
15,México,001,Acambay de Ruíz Castañeda,0000,Total del Municipio,67872,8.30
15,México,001,Acambay de Ruíz Castañeda,0001,Villa de Acambay de Ruíz Castañeda,5988,11.63
15,México,001,Acambay de Ruíz Castañeda,0002,Agostadero (San José Agostadero),587,7.52
15,México,001,Acambay de Ruíz Castañeda,0003,Agua Limpia,272,8.31
15,México,001,Acambay de Ruíz Castañeda,0004,Las Arenas (San Agustín),902,8.38
15,México,001,Acambay de Ruíz Castañeda,0006,Boshi Chiquito,415,7.50
15,México,001,Acambay de Ruíz Castañeda,0007,Boshi Grande,172,7.47
15,México,001,Acambay de Ruíz Castañeda,0008,Botidi,501,8.71
15,México,001,Acambay de Ruíz Castañeda,0009,Bovini,490,6.75
15,México,001,Acambay de Ruíz Castañeda,0010,Boshindo,1315,8.51
15,México,001,Acambay de Ruíz Castañeda,0011,La Caridad,1463,9.12
15,México,001,Acambay de Ruíz Castañeda,0012,Conejeras,1095,7.16
15,México,001,Acambay de Ruíz Castañeda,0013,Chanteje,228,7.64
15,México,001,Acambay de Ruíz Castañeda,0014,Los Charcos,221,6.46
15,México,001,Acambay de Ruíz Castañeda,0015,Dateje,445,7.03
15,México,001,Acambay de Ruíz Castañeda,0016,Detiña (San Antonio Detiña),2230,8.39
15,México,001,Acambay de Ruíz Castañeda,0017,Dongu (Dongu Centro),645,8.24
15,México,001,Acambay de Ruíz Castañeda,0019,Endeje,831,10.12
15,México,001,Acambay de Ruíz Castañeda,0020,El Ermitaño,498,7.48
15,México,001,Acambay de Ruíz Castañeda,0021,Esdoca (Esdoca Centro),437,10.41
15,México,001,Acambay de Ruíz Castañeda,0022,La Estancia Sector I,952,8.43
15,México,001,Acambay de Ruíz Castañeda,0023,Gando,168,6.72
15,México,001,Acambay de Ruíz Castañeda,0024,Ganzda,2089,7.72
15,México,001,Acambay de Ruíz Castañeda,0025,Barrio de Guadalupe,332,7.81
15,México,001,Acambay de Ruíz Castañeda,0026,Hondiga,265,9.39
15,México,001,Acambay de Ruíz Castañeda,0027,La Huerta,460,6.91
15,México,001,Acambay de Ruíz Castañeda,0028,Juando,737,8.64
15,México,001,Acambay de Ruíz Castañeda,0029,La Laguna,185,7.83
15,México,001,Acambay de Ruíz Castañeda,0031,La Loma (Santa María la Loma),1188,7.60
15,México,001,Acambay de Ruíz Castañeda,0033,La Manga,330,6.98
15,México,001,Acambay de Ruíz Castañeda,0034,Muyteje,264,7.38
15,México,001,Acambay de Ruíz Castañeda,0035,Pathé,1266,9.07
15,México,001,Acambay de Ruíz Castañeda,0036,Los Pilares,1177,8.07
15,México,001,Acambay de Ruíz Castañeda,0037,Pueblo Nuevo,4664,8.65
15,México,001,Acambay de Ruíz Castañeda,0038,Puentecillas,1947,6.76
15,México,001,Acambay de Ruíz Castañeda,0039,San Antonio las Palmas,86,7.17
15,México,001,Acambay de Ruíz Castañeda,0040,San Francisco Shaxni,2073,6.51
15,México,001,Acambay de Ruíz Castañeda,0041,San Ildefonso (San Ildefonso Yolotepec),951,8.64
15,México,001,Acambay de Ruíz Castañeda,0042,San José Boctó,404,8.85
15,México,001,Acambay de Ruíz Castañeda,0043,San Juanico Sector Uno,1248,7.54
15,México,001,Acambay de Ruíz Castañeda,0044,San Juanico Sector Dos,668,7.85
15,México,001,Acambay de Ruíz Castañeda,0045,San Nicolás Acambay,498,7.64
15,México,001,Acambay de Ruíz Castañeda,0046,San Pedro de los Metates,2293,8.99
15,México,001,Acambay de Ruíz Castañeda,0047,La Soledad,607,8.40
15,México,001,Acambay de Ruíz Castañeda,0048,Santa María Tixmadejé (Tixmadejé Grande),1130,8.14
15,México,001,Acambay de Ruíz Castañeda,0049,Tixmadejé Chiquito,1454,8.49
15,México,001,Acambay de Ruíz Castañeda,0052,La Teresa (Santa Teresa),339,6.61
15,México,001,Acambay de Ruíz Castañeda,0053,Los Sauces,133,6.24
15,México,001,Acambay de Ruíz Castañeda,0054,Dongu Puerto,859,8.26
15,México,001,Acambay de Ruíz Castañeda,0057,Loma de San Ángel,526,8.46
15,México,001,Acambay de Ruíz Castañeda,0058,Loma Linda,444,6.67
15,México,001,Acambay de Ruíz Castañeda,0059,Detiña Ejido,255,8.05
15,México,001,Acambay de Ruíz Castañeda,0060,La Florida,291,8.11
15,México,001,Acambay de Ruíz Castañeda,0062,La Palma,816,7.04
15,México,001,Acambay de Ruíz Castañeda,0063,Cañada del Gallo,418,6.37
15,México,001,Acambay de Ruíz Castañeda,0064,Doxtejé Centro,1240,7.82
15,México,001,Acambay de Ruíz Castañeda,0065,San Francisco Shaxni Ejido,1007,6.11
15,México,001,Acambay de Ruíz Castañeda,0066,Loma de Enmedio,379,6.68
15,México,001,Acambay de Ruíz Castañeda,0068,Los Toriles,566,7.76
15,México,001,Acambay de Ruíz Castañeda,0070,Loma del Fresno,302,8.21
15,México,001,Acambay de Ruíz Castañeda,0071,Buenavista,660,7.54
15,México,001,Acambay de Ruíz Castañeda,0072,Mado Sector Dos,323,7.33
15,México,001,Acambay de Ruíz Castañeda,0073,La Venta (Barrio la Venta),775,8.01
15,México,001,Acambay de Ruíz Castañeda,0075,La Estancia Sector II,551,7.93
15,México,001,Acambay de Ruíz Castañeda,0076,Deshpe,143,10.82
15,México,001,Acambay de Ruíz Castañeda,0078,Rincón de Juando,340,6.59
15,México,001,Acambay de Ruíz Castañeda,0079,Barrancas,109,6.91
15,México,001,Acambay de Ruíz Castañeda,0080,Botí (Botí Agostadero),303,6.80
15,México,001,Acambay de Ruíz Castañeda,0081,Cerrito de Tixmadejé,541,8.82
15,México,001,Acambay de Ruíz Castañeda,0082,Doxtejé Barrio I,1238,7.75
15,México,001,Acambay de Ruíz Castañeda,0083,Rancho la Esperanza,2,*
15,México,001,Acambay de Ruíz Castañeda,0084,Las Golondrinas,96,6.25
15,México,001,Acambay de Ruíz Castañeda,0086,Mado Sector Uno,677,7.04
15,México,001,Acambay de Ruíz Castañeda,0087,Las Mangas,453,7.13
15,México,001,Acambay de Ruíz Castañeda,0091,Santa María las Arenas,244,7.14
15,México,001,Acambay de Ruíz Castañeda,0092,Hacienda Toto,2,*
15,México,001,Acambay de Ruíz Castañeda,0093,Las Chivas (El Cerro),188,7.65
15,México,001,Acambay de Ruíz Castañeda,0094,Las Pomas Ejido de Dateje,189,7.60
15,México,001,Acambay de Ruíz Castañeda,0095,El Medrano,109,7.85
15,México,001,Acambay de Ruíz Castañeda,0096,La Nopalera,204,6.53
15,México,001,Acambay de Ruíz Castañeda,0099,La Terquedad,6,8
15,México,001,Acambay de Ruíz Castañeda,0100,El Fresadero,117,6.87
15,México,001,Acambay de Ruíz Castañeda,0101,La Cumbre,109,8.01
15,México,001,Acambay de Ruíz Castañeda,0102,La Providencia,43,7.68
15,México,001,Acambay de Ruíz Castañeda,0103,San Agustín la Loma,89,6.48
15,México,001,Acambay de Ruíz Castañeda,0104,El Capulín (Barrio el Capulín la Loma),435,6.07
15,México,001,Acambay de Ruíz Castañeda,0105,Ejido Tixmadeje,120,6.64
15,México,001,Acambay de Ruíz Castañeda,0106,El Pedregal de Tixmadejé,320,7.89
15,México,001,Acambay de Ruíz Castañeda,0107,Las Trojes,279,7.59
15,México,001,Acambay de Ruíz Castañeda,0108,Dongu Barrio Uno,830,8.28
15,México,001,Acambay de Ruíz Castañeda,0109,Dongu Barrio Dos,566,8.55
15,México,001,Acambay de Ruíz Castañeda,0110,Doxtejé Barrio II,590,7.41
15,México,001,Acambay de Ruíz Castañeda,0111,Santa María las Arenas Dos,139,7.09
15,México,001,Acambay de Ruíz Castañeda,0112,Tixmadejé Barrio II,892,7.79
15,México,001,Acambay de Ruíz Castañeda,0117,Barrio de Candeje,329,8.29
15,México,001,Acambay de Ruíz Castañeda,0118,Rincón de San Francisco Shaxni,168,5.95
15,México,001,Acambay de Ruíz Castañeda,0119,Hermosa Provincia,122,10.58
15,México,001,Acambay de Ruíz Castañeda,0120,Barrio la Peñita,76,8.88
