ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,GRAPROES
16,Michoacán de Ocampo,000,Total de la entidad Michoacán de Ocampo,0000,Total de la Entidad,4748846,8.60
16,Michoacán de Ocampo,000,Total de la entidad Michoacán de Ocampo,9998,Localidades de una vivienda,7779,5.30
16,Michoacán de Ocampo,000,Total de la entidad Michoacán de Ocampo,9999,Localidades de dos viviendas,10072,5.10
16,Michoacán de Ocampo,001,Acuitzio,0000,Total del Municipio,11301,7.84
16,Michoacán de Ocampo,001,Acuitzio,0001,Acuitzio del Canje,7439,8.45
16,Michoacán de Ocampo,001,Acuitzio,0002,Los Aguacates,108,6.96
16,Michoacán de Ocampo,001,Acuitzio,0003,La Angostura,239,6.16
16,Michoacán de Ocampo,001,Acuitzio,0004,Aróstaro,1,*
16,Michoacán de Ocampo,001,Acuitzio,0005,Arroyo Hondo,68,6.58
16,Michoacán de Ocampo,001,Acuitzio,0006,El Auxilio (Los Tanques),18,5.29
16,Michoacán de Ocampo,001,Acuitzio,0007,La Campana,109,6.74
16,Michoacán de Ocampo,001,Acuitzio,0008,Las Canoas,61,5.77
16,Michoacán de Ocampo,001,Acuitzio,0009,El Ciprés,32,6.56
16,Michoacán de Ocampo,001,Acuitzio,0010,Cruz Gorda,14,7.27
16,Michoacán de Ocampo,001,Acuitzio,0011,Cutzaro,526,6.85
16,Michoacán de Ocampo,001,Acuitzio,0013,Huajumbo,236,7.31
16,Michoacán de Ocampo,001,Acuitzio,0014,La Laja,64,6.45
16,Michoacán de Ocampo,001,Acuitzio,0015,La Palma,356,7.46
16,Michoacán de Ocampo,001,Acuitzio,0016,Páramo,117,6.93
16,Michoacán de Ocampo,001,Acuitzio,0017,El Paredón,23,9
16,Michoacán de Ocampo,001,Acuitzio,0018,Paso del Muerto,45,6.09
16,Michoacán de Ocampo,001,Acuitzio,0020,San Andrés Coapa,630,6.34
16,Michoacán de Ocampo,001,Acuitzio,0021,Tamanguío,157,6.81
16,Michoacán de Ocampo,001,Acuitzio,0023,Tirípano,101,6.89
16,Michoacán de Ocampo,001,Acuitzio,0024,El Tzintzún,95,5.93
16,Michoacán de Ocampo,001,Acuitzio,0025,El Varal,26,4.71
16,Michoacán de Ocampo,001,Acuitzio,0026,La Vinata,28,5
16,Michoacán de Ocampo,001,Acuitzio,0027,Ziparapio el Alto,194,6.17
16,Michoacán de Ocampo,001,Acuitzio,0032,Agua Grande,7,*
16,Michoacán de Ocampo,001,Acuitzio,0033,Agua Puerca,52,5.48
16,Michoacán de Ocampo,001,Acuitzio,0034,Corralo (Tirindiriz),66,6.73
16,Michoacán de Ocampo,001,Acuitzio,0036,La Peñita,68,6.30
16,Michoacán de Ocampo,001,Acuitzio,0038,Rosa de Castilla,48,5.23
16,Michoacán de Ocampo,001,Acuitzio,0039,El Terrero,4,*
16,Michoacán de Ocampo,001,Acuitzio,0040,La Tinaja,42,5.69
16,Michoacán de Ocampo,001,Acuitzio,0041,Las Trojes (Las Trojas),15,8
16,Michoacán de Ocampo,001,Acuitzio,0042,La Huizata,33,7.13
16,Michoacán de Ocampo,001,Acuitzio,0044,La Paloma (Ziparapio el Bajo),114,7.78
16,Michoacán de Ocampo,001,Acuitzio,0046,Las Juntas,78,6.19
16,Michoacán de Ocampo,001,Acuitzio,0047,El Melón,17,5.29
16,Michoacán de Ocampo,001,Acuitzio,0048,El Moral,10,*
16,Michoacán de Ocampo,001,Acuitzio,0050,Loma del Pastor,32,6.17
16,Michoacán de Ocampo,001,Acuitzio,0053,Francisco Villa [Colonia],25,7.42
16,Michoacán de Ocampo,001,Acuitzio,0054,Tepatzicuaro,3,*
16,Michoacán de Ocampo,001,Acuitzio,9998,Localidades de una vivienda,8,9.14
16,Michoacán de Ocampo,001,Acuitzio,9999,Localidades de dos viviendas,17,4.83
16,Michoacán de Ocampo,002,Aguililla,0000,Total del Municipio,14754,6.09
16,Michoacán de Ocampo,002,Aguililla,0001,Aguililla,8505,6.50
16,Michoacán de Ocampo,002,Aguililla,0009,Bonifacio Moreno (El Aguaje),2550,5.85
16,Michoacán de Ocampo,002,Aguililla,0013,Alacranes,4,*
16,Michoacán de Ocampo,002,Aguililla,0014,La Alberca,2,*
16,Michoacán de Ocampo,002,Aguililla,0019,Arroyo Seco,23,5.07
16,Michoacán de Ocampo,002,Aguililla,0020,El Barbasco,12,5.50
16,Michoacán de Ocampo,002,Aguililla,0021,La Barilera,6,*
16,Michoacán de Ocampo,002,Aguililla,0024,Barranca del Aguacate,2,*
16,Michoacán de Ocampo,002,Aguililla,0031,El Blanqueadero,10,5
16,Michoacán de Ocampo,002,Aguililla,0032,La Bocanita,27,4.48
16,Michoacán de Ocampo,002,Aguililla,0033,La Bolsa (Paso de la Bolsa),13,*
16,Michoacán de Ocampo,002,Aguililla,0037,La Cabra,54,4.94
16,Michoacán de Ocampo,002,Aguililla,0039,La Calabaza,9,*
16,Michoacán de Ocampo,002,Aguililla,0049,La Cebadilla (Barranca de la Cebadilla),4,*
16,Michoacán de Ocampo,002,Aguililla,0050,El Cedral,2,*
16,Michoacán de Ocampo,002,Aguililla,0060,Peña Colorada,527,6.30
16,Michoacán de Ocampo,002,Aguililla,0062,Corral de Piedra,2,*
16,Michoacán de Ocampo,002,Aguililla,0063,Las Crucitas,32,5.45
16,Michoacán de Ocampo,002,Aguililla,0068,El Chanal,2,*
16,Michoacán de Ocampo,002,Aguililla,0070,El Charapo (Palo Alto),276,4.91
16,Michoacán de Ocampo,002,Aguililla,0078,Dos Aguas,497,7.57
16,Michoacán de Ocampo,002,Aguililla,0080,El Encanto,5,*
16,Michoacán de Ocampo,002,Aguililla,0081,El Puente del Encinal,1,*
16,Michoacán de Ocampo,002,Aguililla,0097,Los Guamiles (Las Higueritas),1,*
16,Michoacán de Ocampo,002,Aguililla,0098,El Guayabal (El Guayabal Sur),2,*
16,Michoacán de Ocampo,002,Aguililla,0105,La Haciendita,13,4.10
16,Michoacán de Ocampo,002,Aguililla,0107,La Higuera de la Virgen,5,*
16,Michoacán de Ocampo,002,Aguililla,0112,Los Horcones,8,4
16,Michoacán de Ocampo,002,Aguililla,0116,Huisto,69,5.58
16,Michoacán de Ocampo,002,Aguililla,0120,El Jovero,15,*
16,Michoacán de Ocampo,002,Aguililla,0134,El Limoncito,83,4.92
16,Michoacán de Ocampo,002,Aguililla,0136,General Lázaro Cárdenas (El Limón),394,5.45
16,Michoacán de Ocampo,002,Aguililla,0140,La Lobera,56,6.05
16,Michoacán de Ocampo,002,Aguililla,0142,La Loma,7,3
16,Michoacán de Ocampo,002,Aguililla,0146,El Mamey,9,*
16,Michoacán de Ocampo,002,Aguililla,0157,Naranjo de Chila,374,4.95
16,Michoacán de Ocampo,002,Aguililla,0158,Naranjo Viejo,99,4.86
16,Michoacán de Ocampo,002,Aguililla,0164,La Palmera,23,5.60
16,Michoacán de Ocampo,002,Aguililla,0166,Palo Alto (Hacienda Palo Alto),24,5.35
16,Michoacán de Ocampo,002,Aguililla,0172,El Parotal,4,*
16,Michoacán de Ocampo,002,Aguililla,0177,Patacuas,5,*
16,Michoacán de Ocampo,002,Aguililla,0178,Colonia la Paz [Crucero de Dos Aguas],104,6
16,Michoacán de Ocampo,002,Aguililla,0179,El Pelechado,1,*
16,Michoacán de Ocampo,002,Aguililla,0183,Piedra Verde,3,*
16,Michoacán de Ocampo,002,Aguililla,0186,El Pino,21,6
16,Michoacán de Ocampo,002,Aguililla,0187,El Pinzán,11,4.09
16,Michoacán de Ocampo,002,Aguililla,0188,La Pinzanera,21,3.86
16,Michoacán de Ocampo,002,Aguililla,0189,El Platanillo,15,3.50
16,Michoacán de Ocampo,002,Aguililla,0192,El Potrero,31,4.23
16,Michoacán de Ocampo,002,Aguililla,0194,El Pueblito,8,*
16,Michoacán de Ocampo,002,Aguililla,0199,Puerto del Platanillo,4,*
16,Michoacán de Ocampo,002,Aguililla,0205,Rancho Viejo,30,3.26
16,Michoacán de Ocampo,002,Aguililla,0209,El Rincón,1,*
16,Michoacán de Ocampo,002,Aguililla,0210,El Rodeo,82,5.18
16,Michoacán de Ocampo,002,Aguililla,0227,El Tazumbo,3,*
