ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,GRAPROES
17,Morelos,000,Total de la entidad Morelos,0000,Total de la Entidad,1971520,9.84
17,Morelos,000,Total de la entidad Morelos,9998,Localidades de una vivienda,1382,7.90
17,Morelos,000,Total de la entidad Morelos,9999,Localidades de dos viviendas,603,7.71
17,Morelos,001,Amacuzac,0000,Total del Municipio,17598,8.52
17,Morelos,001,Amacuzac,0001,Amacuzac,5575,9.71
17,Morelos,001,Amacuzac,0002,Cajones,553,6.89
17,Morelos,001,Amacuzac,0003,Casahuatlán,1915,7.02
17,Morelos,001,Amacuzac,0004,Coahuixtla,1151,7.46
17,Morelos,001,Amacuzac,0005,Huajintlán,1788,8.93
17,Morelos,001,Amacuzac,0006,Miahuatlán (El Cuiji),561,7.11
17,Morelos,001,Amacuzac,0007,Rancho Nuevo,840,6.51
17,Morelos,001,Amacuzac,0008,San Gabriel las Palmas,2955,8.85
17,Morelos,001,Amacuzac,0009,Teacalco,711,8.34
17,Morelos,001,Amacuzac,0010,Zoquital,152,6.16
17,Morelos,001,Amacuzac,0012,Campo Nuevo,41,5.82
17,Morelos,001,Amacuzac,0016,Colonia el Campamento,197,7.84
17,Morelos,001,Amacuzac,0019,Colonia Ejidal,362,7.86
17,Morelos,001,Amacuzac,0021,Los Limones,176,9.21
17,Morelos,001,Amacuzac,0026,Colonia Oriental,194,7.01
17,Morelos,001,Amacuzac,0033,Tula,29,8.10
17,Morelos,001,Amacuzac,0036,Colonia Ocampo,38,7.92
17,Morelos,001,Amacuzac,0037,El Campamento,86,8.89
17,Morelos,001,Amacuzac,0041,Villa Verde,65,7.71
17,Morelos,001,Amacuzac,0042,Parada de Coahuixtla (Colonia Benito Juárez),34,6.86
17,Morelos,001,Amacuzac,0043,La Primera (El Ladrón),21,7.19
17,Morelos,001,Amacuzac,0044,La Calera,21,11.79
17,Morelos,001,Amacuzac,0047,El Paso de Miahuatlán,7,*
17,Morelos,001,Amacuzac,0048,El Rosal (El Alacrán),12,9.83
17,Morelos,001,Amacuzac,0050,Los Baños de Tula,1,*
17,Morelos,001,Amacuzac,0051,Campo la Cazuela,14,*
17,Morelos,001,Amacuzac,0053,Colonia Ojo de Agua,46,7.70
17,Morelos,001,Amacuzac,0057,Campo la Respiración,14,7.17
17,Morelos,001,Amacuzac,0059,Colonia Cuauhtémoc,13,9
17,Morelos,001,Amacuzac,0060,Colonia el Mirador,22,8.93
17,Morelos,001,Amacuzac,0063,La Peña,4,*
17,Morelos,001,Amacuzac,9998,Localidades de una vivienda,19,6.79
17,Morelos,001,Amacuzac,9999,Localidades de dos viviendas,7,*
17,Morelos,002,Atlatlahucan,0000,Total del Municipio,25232,9.34
17,Morelos,002,Atlatlahucan,0001,Atlatlahucan,9018,9.34
17,Morelos,002,Atlatlahucan,0002,Telchicayac (El Cabellito),266,8.71
17,Morelos,002,Atlatlahucan,0008,Colonia Kilómetro 88,1099,8.66
17,Morelos,002,Atlatlahucan,0014,San Diego Tepantongo,444,7.22
17,Morelos,002,Atlatlahucan,0016,Santa Inés,87,8.02
17,Morelos,002,Atlatlahucan,0018,Telminca,29,8.30
17,Morelos,002,Atlatlahucan,0020,San Juan Texcalpan,1505,7.88
17,Morelos,002,Atlatlahucan,0021,Tlaltetelco (San Miguel Tlaltetelco),2098,8.67
17,Morelos,002,Atlatlahucan,0022,Barranca Seca,39,9.22
17,Morelos,002,Atlatlahucan,0025,Colonia San Francisco,1537,8.68
17,Morelos,002,Atlatlahucan,0028,Asociación de Colonos Hacienda la Alborada,103,11.51
17,Morelos,002,Atlatlahucan,0029,El Astillero,389,7.19
17,Morelos,002,Atlatlahucan,0030,Centro Asturiano de México,5,*
17,Morelos,002,Atlatlahucan,0031,Rancho Zacanco (La Cueva),271,7.60
17,Morelos,002,Atlatlahucan,0033,Fraccionamiento Lomas de Cocoyoc,2506,14.26
17,Morelos,002,Atlatlahucan,0036,Unidad Habitacional Vicente Guerrero,573,9.25
17,Morelos,002,Atlatlahucan,0039,Rancho Temecatitla,31,9.12
17,Morelos,002,Atlatlahucan,0043,Colonia el Salto,152,8.30
17,Morelos,002,Atlatlahucan,0044,Los Cerritos,506,8.72
17,Morelos,002,Atlatlahucan,0046,Fraccionamiento Jardines de Jericó,13,6.09
17,Morelos,002,Atlatlahucan,0047,El Jaral,3,*
17,Morelos,002,Atlatlahucan,0049,Loma de Malpaís,2,*
17,Morelos,002,Atlatlahucan,0053,Puntas de Malpaís (Malpaís),21,9.63
17,Morelos,002,Atlatlahucan,0054,Colonia Campestre Lomas de Texcalpan,190,7.24
17,Morelos,002,Atlatlahucan,0057,Rancho Santa Cruz,10,*
17,Morelos,002,Atlatlahucan,0058,Rancho Teoxtoc,23,6.88
17,Morelos,002,Atlatlahucan,0060,Campo Caballojapa,26,11.50
17,Morelos,002,Atlatlahucan,0061,Colonia el Puente,137,8.62
17,Morelos,002,Atlatlahucan,0062,Jagüeycillos (Colonia 10 de Mayo),193,8.24
17,Morelos,002,Atlatlahucan,0066,Ampliación San Antonio,230,7.95
17,Morelos,002,Atlatlahucan,0067,Colonia la Guadalupana,297,7.32
17,Morelos,002,Atlatlahucan,0068,Las Minas,2211,7.89
17,Morelos,002,Atlatlahucan,0070,Colonia Pozo Mancera,579,7.66
17,Morelos,002,Atlatlahucan,0071,Colonia Rancho Santa Cruz,190,7.83
17,Morelos,002,Atlatlahucan,0073,Rancho la Tortuga,59,8.10
17,Morelos,002,Atlatlahucan,0076,Ameyalco,21,7.50
17,Morelos,002,Atlatlahucan,0077,Fraccionamiento Tehuicil,88,9.51
17,Morelos,002,Atlatlahucan,0078,Colonia Alta Vista,47,7.21
17,Morelos,002,Atlatlahucan,0079,Campo Tlacotlaco,169,8.04
17,Morelos,002,Atlatlahucan,0080,Linda Vista,20,8.93
17,Morelos,002,Atlatlahucan,0081,Pilalpuente [Rancho],45,8.29
17,Morelos,002,Atlatlahucan,9998,Localidades de una vivienda,3,*
17,Morelos,002,Atlatlahucan,9999,Localidades de dos viviendas,17,6.50
17,Morelos,003,Axochiapan,0000,Total del Municipio,39174,8.07
17,Morelos,003,Axochiapan,0001,Axochiapan,19085,8.62
17,Morelos,003,Axochiapan,0002,Ahuaxtla,244,8.27
17,Morelos,003,Axochiapan,0003,Atlacahualoya,3818,6.61
17,Morelos,003,Axochiapan,0004,Los Carros,43,5.68
17,Morelos,003,Axochiapan,0005,Cayehuacán,283,7.35
17,Morelos,003,Axochiapan,0006,Joaquín Camaño,451,8.77
17,Morelos,003,Axochiapan,0007,Marcelino Rodríguez (San Ignacio),2223,7.47
17,Morelos,003,Axochiapan,0008,Palo Blanco,246,6.45
17,Morelos,003,Axochiapan,0009,Quebrantadero,2462,10.10
17,Morelos,003,Axochiapan,0010,Telixtac,5534,6.86
17,Morelos,003,Axochiapan,0011,Tlalayo,807,7.20
17,Morelos,003,Axochiapan,0014,Coayuca Colonia de Morelos,38,5.62
17,Morelos,003,Axochiapan,0015,Los Gavilanes,124,7
17,Morelos,003,Axochiapan,0016,Las Tinajas,3,*
17,Morelos,003,Axochiapan,0017,La Nopalera,412,6.11
17,Morelos,003,Axochiapan,0018,El Papagayo,146,8.13
17,Morelos,003,Axochiapan,0020,La Toma,279,6.75
17,Morelos,003,Axochiapan,0021,Colonia los Laureles,182,8.78
17,Morelos,003,Axochiapan,0022,La Estación,4,*
17,Morelos,003,Axochiapan,0024,El Puente del Pajarito,3,*
17,Morelos,003,Axochiapan,0026,5 de Mayo,89,6.20
17,Morelos,003,Axochiapan,0028,Juan Ortega Sánchez,70,8.55
17,Morelos,003,Axochiapan,0029,Unidad Habitacional Benito Juárez,152,9.82
17,Morelos,003,Axochiapan,0036,Barranca del Ahuehuete,6,*
17,Morelos,003,Axochiapan,0037,Campo el Coyul,5,*
17,Morelos,003,Axochiapan,0039,Campo el Pajarito (Sistema de Agua Potable),4,*
17,Morelos,003,Axochiapan,0041,Campo la Zacatera,206,7.08
17,Morelos,003,Axochiapan,0042,Sistema Uno de Bombeo,1,*
17,Morelos,003,Axochiapan,0044,Santa María,17,6.92
17,Morelos,003,Axochiapan,0045,La Huerta (La Bomba Dos),25,6.33
17,Morelos,003,Axochiapan,0046,La Joya del Zompa,2,*
17,Morelos,003,Axochiapan,0048,Los Linderos (Fábrica de Yeso),24,6.71
17,Morelos,003,Axochiapan,0049,El Mezquital,10,*
17,Morelos,003,Axochiapan,0054,Rancho Cabrera,34,6.78
17,Morelos,003,Axochiapan,0055,Rancho el Mirador,3,*
17,Morelos,003,Axochiapan,0056,Rancho Isaías,54,10.58
17,Morelos,003,Axochiapan,0057,Rancho María de Jesús Barrera,73,8.79
17,Morelos,003,Axochiapan,0058,Colonia Rubén Carrillo,139,8.86
17,Morelos,003,Axochiapan,0059,Campo el Pedregal,10,*
17,Morelos,003,Axochiapan,0060,Cuauhtémoc,531,7.48
17,Morelos,003,Axochiapan,0061,Ampliación Juan González y Año 2000,54,6.43
17,Morelos,003,Axochiapan,0063,Campo la Comunidad,35,6.96
17,Morelos,003,Axochiapan,0064,Campo la Laguna,110,7.99
17,Morelos,003,Axochiapan,0067,Colonia los Tres Reyes,57,6.91
17,Morelos,003,Axochiapan,0069,El Edén [Rancho],24,8.68
17,Morelos,003,Axochiapan,0072,Campo el Papayo,3,*
17,Morelos,003,Axochiapan,0073,Campo Jicamal,183,7.57
17,Morelos,003,Axochiapan,0074,Colonia el CBTA,175,8.01
17,Morelos,003,Axochiapan,0075,Colonia las Palmas,98,9.89
17,Morelos,003,Axochiapan,0076,Colonia Nueva Esperanza,8,6.60
17,Morelos,003,Axochiapan,0077,Almolonca,18,6.83
17,Morelos,003,Axochiapan,0078,Colonia Carrillo Olea (La Primavera),240,7.99
17,Morelos,003,Axochiapan,0080,Colonia 2000,101,7.21
17,Morelos,003,Axochiapan,0081,Colonia la Guadalupana,115,7.85
17,Morelos,003,Axochiapan,0082,Colonia Florida,38,6.74
17,Morelos,003,Axochiapan,0083,Colonia Cuatecomates,47,8.59
17,Morelos,003,Axochiapan,0084,Colonia Morelos,24,5.75
17,Morelos,003,Axochiapan,0085,Presa los Carros,2,*
17,Morelos,003,Axochiapan,9998,Localidades de una vivienda,19,8.69
17,Morelos,003,Axochiapan,9999,Localidades de dos viviendas,37,8.55
17,Morelos,004,Ayala,0000,Total del Municipio,89834,8.69
17,Morelos,004,Ayala,0001,Ciudad Ayala,6335,9.92
17,Morelos,004,Ayala,0002,Abelardo L. Rodríguez,2072,8.64
17,Morelos,004,Ayala,0004,Anenecuilco,11227,8.96
17,Morelos,004,Ayala,0005,San Pedro Apatlaco,13032,9.02
17,Morelos,004,Ayala,0006,Benito Juárez,295,7.65
17,Morelos,004,Ayala,0008,Chinameca,3149,7.86
17,Morelos,004,Ayala,0010,Huacatlaco (Los Anonos),304,7.24
17,Morelos,004,Ayala,0011,Huitzililla,2878,7.49
17,Morelos,004,Ayala,0012,Jaloxtoc,4026,7.90
17,Morelos,004,Ayala,0014,Moyotepec,3949,8.49
17,Morelos,004,Ayala,0015,Niños Héroes,582,8.02
17,Morelos,004,Ayala,0016,Olintepec,1656,7.93
17,Morelos,004,Ayala,0017,Palo Blanco,493,6.95
17,Morelos,004,Ayala,0019,Rafael Merino (San Antonio),960,8.50
17,Morelos,004,Ayala,0021,La Sábana,78,8.93
17,Morelos,004,Ayala,0022,El Salitre,1355,8.02
17,Morelos,004,Ayala,0023,San Juan Ahuehueyo,2547,8.82
17,Morelos,004,Ayala,0024,San Vicente de Juárez (Las Piedras),1485,7.80
17,Morelos,004,Ayala,0025,Tecomalco,432,6.96
17,Morelos,004,Ayala,0026,Tenextepango,8835,8.86
17,Morelos,004,Ayala,0027,Tlayecac,2879,9.15
17,Morelos,004,Ayala,0028,El Vergel,987,6.96
17,Morelos,004,Ayala,0029,Fraccionamiento el Venadito,103,11.56
17,Morelos,004,Ayala,0030,Parque Industrial Cuautla,5,6.40
17,Morelos,004,Ayala,0031,Fraccionamiento Huertas de Cuautla,1292,10.56
17,Morelos,004,Ayala,0032,Fraccionamiento Prados del Sol,75,11.84
17,Morelos,004,Ayala,0033,Fraccionamiento Paraíso Tlahuica,188,13.29
17,Morelos,004,Ayala,0034,Fraccionamiento Citlalin,62,13.19
17,Morelos,004,Ayala,0035,Fraccionamiento Isla de Cuautla,135,11.95
17,Morelos,004,Ayala,0037,Rancho la Barranquilla,2,*
17,Morelos,004,Ayala,0038,Buena Vista,443,6.21
17,Morelos,004,Ayala,0040,Rancho Rosa y Manuel (Casa Blanca),6,*
17,Morelos,004,Ayala,0042,Constancio Farfán (La Pascuala),2148,6.67
17,Morelos,004,Ayala,0043,Colonia la Libertad,138,7
17,Morelos,004,Ayala,0049,Unidad Habitacional Mariano Matamoros,1069,9.49
17,Morelos,004,Ayala,0050,Campo Agua de los Patos,1,*
17,Morelos,004,Ayala,0053,Ampliación Campo el Higuerillo,36,7.62
17,Morelos,004,Ayala,0054,Colonia Ejidal Rafael Merino,632,7.86
17,Morelos,004,Ayala,0055,Ejido Nueva Olintepec,354,7.25
17,Morelos,004,Ayala,0056,Unidad Piscícola de Chinameca,25,8.71
17,Morelos,004,Ayala,0057,Unidad Piscícola el Vergel,10,7.50
17,Morelos,004,Ayala,0058,El Almacén,151,10.72
17,Morelos,004,Ayala,0064,Campo Nuevo,6,*
17,Morelos,004,Ayala,0065,Granja las Cebollas,3,*
17,Morelos,004,Ayala,0066,Colonia las Lumbreras,239,7.28
17,Morelos,004,Ayala,0069,Rancho el Pañuelo,123,6.48
17,Morelos,004,Ayala,0070,Unidad Habitacional 10 de Abril,1460,10.70
17,Morelos,004,Ayala,0073,Colonia las Arboledas,1850,7.68
17,Morelos,004,Ayala,0075,Campo la Escopeta,497,7.82
17,Morelos,004,Ayala,0076,Granja las Codornices (La Fábrica),6,*
17,Morelos,004,Ayala,0077,Rancho Chicapa (Teteltitla),2,*
17,Morelos,004,Ayala,0078,Granja la Esperanza,5,*
17,Morelos,004,Ayala,0079,El Jagüey,9,*
17,Morelos,004,Ayala,0080,Colonia General Emiliano Zapata (El Chivatero),562,6.75
17,Morelos,004,Ayala,0082,La Doncella,82,8.05
17,Morelos,004,Ayala,0083,La Joya,444,8.13
17,Morelos,004,Ayala,0084,Loma Bonita,770,5.04
17,Morelos,004,Ayala,0087,Campo Palomar Chico,219,7.66
17,Morelos,004,Ayala,0088,Campo Amate Amarillo,15,6.08
17,Morelos,004,Ayala,0089,Campo Bustamante,2,*
17,Morelos,004,Ayala,0091,Campo el Chivatero,4,6
17,Morelos,004,Ayala,0093,Campo el Salto,3,*
17,Morelos,004,Ayala,0094,Campo Iturbide,1,*
17,Morelos,004,Ayala,0095,Campo la Soledad,217,8.02
17,Morelos,004,Ayala,0097,Campo las Cruces,10,*
17,Morelos,004,Ayala,0099,Campo los Pilares,27,8.14
17,Morelos,004,Ayala,0103,Fraccionamiento las Llaves,1402,10.70
17,Morelos,004,Ayala,0106,Ampliación Chinameca,17,8.10
17,Morelos,004,Ayala,0108,La Joya Escondida,7,*
17,Morelos,004,Ayala,0109,El Pozo,9,6.50
17,Morelos,004,Ayala,0110,Rancho Agua Limpia,12,12.38
17,Morelos,004,Ayala,0114,Rancho el Amate,2,*
17,Morelos,004,Ayala,0116,Rancho la Herradura,3,*
17,Morelos,004,Ayala,0120,Rancho los Aviña,6,*
17,Morelos,004,Ayala,0121,Rancho Santana 1,11,6.90
17,Morelos,004,Ayala,0124,El Sifón de la Cuera,40,7.10
17,Morelos,004,Ayala,0126,Anenecuilco,10,*
17,Morelos,004,Ayala,0129,Colonia Segunda Ampliación Moyotepec,87,5.93
17,Morelos,004,Ayala,0130,Puente Blanco,25,7.13
17,Morelos,004,Ayala,0132,Agua Salada,98,6.36
17,Morelos,004,Ayala,0133,Ampliación las Flores,75,7.86
17,Morelos,004,Ayala,0134,Ampliación Rafael Merino,39,9.14
17,Morelos,004,Ayala,0137,Campo Huizachera 2,37,7.82
17,Morelos,004,Ayala,0139,El Crucero de Chinameca,61,8.12
17,Morelos,004,Ayala,0140,El Jagüey,2,*
17,Morelos,004,Ayala,0141,Las Lajas,1,*
17,Morelos,004,Ayala,0142,El Mirador,679,10.74
17,Morelos,004,Ayala,0143,Rancho Epifanio Sotelo,7,*
17,Morelos,004,Ayala,0144,Rancho Palomar Grande,25,7.21
17,Morelos,004,Ayala,0146,Rincón de los Sauces,87,6.72
17,Morelos,004,Ayala,0147,2da. Sección Benito Juárez,19,7.50
17,Morelos,004,Ayala,0149,Anenecuilco,155,7.03
17,Morelos,004,Ayala,0150,Campo los Pedros,13,10
17,Morelos,004,Ayala,0152,Colonia Leopoldo Heredia,171,5.53
17,Morelos,004,Ayala,0153,Rancho el Naranjo (La Escondida),5,*
17,Morelos,004,Ayala,0154,Ampliación Tenextepango (La Parcela),234,8.02
17,Morelos,004,Ayala,0155,El Axocoche,5,*
17,Morelos,004,Ayala,0156,El Cerro Olinche,119,4.09
17,Morelos,004,Ayala,0157,Colonia Ampliación Cruz Verde,65,7.86
17,Morelos,004,Ayala,0158,Colonia Ampliación Norte,5,*
17,Morelos,004,Ayala,0159,Ejido Anenecuilco,4,*
17,Morelos,004,Ayala,0160,Valle de Morelos,858,3.25
17,Morelos,004,Ayala,0162,Moyotepec,36,6.39
17,Morelos,004,Ayala,0163,Parada a Huexca,26,8.59
17,Morelos,004,Ayala,0164,Colonia las Flores,63,5.09
17,Morelos,004,Ayala,0166,Campo Puente de Fierro,25,7.74
17,Morelos,004,Ayala,0167,Colonia las Joyas,7,*
17,Morelos,004,Ayala,0168,Colonia Pablo Torres Burgos,15,7.20
17,Morelos,004,Ayala,0169,El Barreal,9,*
17,Morelos,004,Ayala,0170,Rancho Chalpa,5,*
17,Morelos,004,Ayala,0171,Jaloxtoc,116,6.68
17,Morelos,004,Ayala,0172,Fraccionamiento Villa Dorada,10,9.60
17,Morelos,004,Ayala,0173,Huertos el Paraíso,1,*
17,Morelos,004,Ayala,0175,Campo los Bandidos,2,*
17,Morelos,004,Ayala,0176,Campo la Canoa,3,*
17,Morelos,004,Ayala,0177,Campo Santa Rosa,46,6.20
17,Morelos,004,Ayala,0178,Fraccionamiento Rinconada del Valle,49,5.92
17,Morelos,004,Ayala,0180,Rancho San José,5,*
17,Morelos,004,Ayala,0181,San Rafael,6,*
17,Morelos,004,Ayala,0182,Residencial la Cantera,190,14.35
17,Morelos,004,Ayala,0183,Residencial Villa de los Arcos,119,12.67
17,Morelos,004,Ayala,0184,Residencial los Sauces,432,11.73
17,Morelos,004,Ayala,0186,Ampliación la Cucaracha,40,5.59
17,Morelos,004,Ayala,0188,Campo el Brasil,19,11.09
17,Morelos,004,Ayala,0189,Campo Hidalgo,1,*
17,Morelos,004,Ayala,0190,Campo Palo Blanco,3,*
17,Morelos,004,Ayala,0194,Fraccionamiento la Paz,170,8.60
17,Morelos,004,Ayala,0196,Valle del Pedregal [Fraccionamiento],962,12.02
17,Morelos,004,Ayala,0197,Colonia Avilés,5,*
17,Morelos,004,Ayala,0198,Vida y Sol,37,8.35
17,Morelos,004,Ayala,0199,Linda Vista,50,6.73
17,Morelos,004,Ayala,9998,Localidades de una vivienda,67,6.56
17,Morelos,004,Ayala,9999,Localidades de dos viviendas,93,7.85
17,Morelos,005,Coatlán del Río,0000,Total del Municipio,10520,7.82
17,Morelos,005,Coatlán del Río,0001,Coatlán del Río,1907,9.44
17,Morelos,005,Coatlán del Río,0002,Apancingo,546,7.94
17,Morelos,005,Coatlán del Río,0003,Benito Juárez,333,6.90
17,Morelos,005,Coatlán del Río,0004,Buenavista de Aldama,248,6.64
17,Morelos,005,Coatlán del Río,0005,Cocoyotla,1333,7.12
17,Morelos,005,Coatlán del Río,0006,Colonia Cuauhtémoc,509,7.30
17,Morelos,005,Coatlán del Río,0007,Colonia Morelos,566,7.43
17,Morelos,005,Coatlán del Río,0008,Chavarría,990,7.64
17,Morelos,005,Coatlán del Río,0009,Michapa,1127,8.06
17,Morelos,005,Coatlán del Río,0010,Tilancingo,898,7.01
17,Morelos,005,Coatlán del Río,0011,Cuernavaquita,46,7.75
17,Morelos,005,Coatlán del Río,0012,El Axixintle (El Treinta y Cinco),253,6.28
17,Morelos,005,Coatlán del Río,0014,El Canelillo,200,7.48
17,Morelos,005,Coatlán del Río,0018,San Antonio,343,6.43
17,Morelos,005,Coatlán del Río,0019,Tezoquipa,128,9.79
17,Morelos,005,Coatlán del Río,0020,Colonia San José,50,5.37
17,Morelos,005,Coatlán del Río,0023,Puente el Arenal (La Joya),165,7.68
17,Morelos,005,Coatlán del Río,0027,El Amate,45,8.35
