ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,GRAPROES
18,Nayarit,000,Total de la entidad Nayarit,0000,Total de la Entidad,1235456,9.73
18,Nayarit,000,Total de la entidad Nayarit,9998,Localidades de una vivienda,5645,7.26
18,Nayarit,000,Total de la entidad Nayarit,9999,Localidades de dos viviendas,2514,5.65
18,Nayarit,001,Acaponeta,0000,Total del Municipio,37232,9.37
18,Nayarit,001,Acaponeta,0001,Acaponeta,19976,10.56
18,Nayarit,001,Acaponeta,0004,El Aguaje,476,7.88
18,Nayarit,001,Acaponeta,0006,El Alacrán,39,7.50
18,Nayarit,001,Acaponeta,0007,Amado Nervo,85,6.06
18,Nayarit,001,Acaponeta,0009,El Antigüe,6,*
18,Nayarit,001,Acaponeta,0010,La Bayona,455,9.29
18,Nayarit,001,Acaponeta,0011,Buenavista (Las Paredes),264,8.11
18,Nayarit,001,Acaponeta,0012,El Caimanero,8,*
18,Nayarit,001,Acaponeta,0013,El Camichín,1,*
18,Nayarit,001,Acaponeta,0015,El Cangrejo (Teacapán),5,*
18,Nayarit,001,Acaponeta,0016,El Tejón (El Cantón),351,7.40
18,Nayarit,001,Acaponeta,0018,El Carrizo,109,6.05
18,Nayarit,001,Acaponeta,0019,Casas Coloradas,390,9.49
18,Nayarit,001,Acaponeta,0020,Las Casitas,194,8.07
18,Nayarit,001,Acaponeta,0021,El Centenario,908,8.50
18,Nayarit,001,Acaponeta,0022,Cerro Bola,226,5.96
18,Nayarit,001,Acaponeta,0028,La Cortés,6,*
18,Nayarit,001,Acaponeta,0036,Las Grullas,8,*
18,Nayarit,001,Acaponeta,0037,La Guásima,981,8.39
18,Nayarit,001,Acaponeta,0038,El Guayabo,22,6.64
18,Nayarit,001,Acaponeta,0039,Hacienda Vieja,24,8.22
18,Nayarit,001,Acaponeta,0040,La Haciendilla,70,7
18,Nayarit,001,Acaponeta,0041,La Higuerita Vieja,99,7.19
18,Nayarit,001,Acaponeta,0043,La Higuerita Nueva (El Carrizo),137,7.17
18,Nayarit,001,Acaponeta,0044,Hojas Anchas,22,7.33
18,Nayarit,001,Acaponeta,0050,Llano de la Cruz,735,7.99
18,Nayarit,001,Acaponeta,0052,El Llorón,75,8.26
18,Nayarit,001,Acaponeta,0054,Llano de Mariquitas,178,7.45
18,Nayarit,001,Acaponeta,0055,Hacienda de Mariquitas,100,8.40
18,Nayarit,001,Acaponeta,0056,Mesa las Arpas,25,7.06
18,Nayarit,001,Acaponeta,0058,Mesa de Pedro Pablo,203,7.67
18,Nayarit,001,Acaponeta,0059,Las Mesitas,45,5.40
18,Nayarit,001,Acaponeta,0063,San José de Motaje,240,7.31
18,Nayarit,001,Acaponeta,0066,El Naranjal,4,*
18,Nayarit,001,Acaponeta,0068,El Oro,53,6.67
18,Nayarit,001,Acaponeta,0070,La Palma,48,7.61
18,Nayarit,001,Acaponeta,0071,Las Palmitas,13,4.56
18,Nayarit,001,Acaponeta,0072,La Paloma Nueva Reforma,115,7
18,Nayarit,001,Acaponeta,0077,Piedra Ancha,201,7.49
18,Nayarit,001,Acaponeta,0082,El Recodo,802,8.32
18,Nayarit,001,Acaponeta,0083,El Resbalón,667,7.84
18,Nayarit,001,Acaponeta,0086,San Blasito,66,5.20
18,Nayarit,001,Acaponeta,0087,San Diego de Alcalá,433,8.37
18,Nayarit,001,Acaponeta,0088,El Naranjo,274,8.13
18,Nayarit,001,Acaponeta,0089,San Dieguito de Abajo,310,7.67
18,Nayarit,001,Acaponeta,0090,San Dieguito de Arriba,288,7.58
18,Nayarit,001,Acaponeta,0092,Arroyo de San Francisco,59,6.50
18,Nayarit,001,Acaponeta,0093,San José de Gracia,959,9.07
18,Nayarit,001,Acaponeta,0094,San Miguel,663,7.84
18,Nayarit,001,Acaponeta,0095,San Pedro de Honor,134,7.90
18,Nayarit,001,Acaponeta,0096,Santa Cruz,240,7.67
18,Nayarit,001,Acaponeta,0097,Saycota,94,6.58
18,Nayarit,001,Acaponeta,0098,Sayulilla,2318,8.09
18,Nayarit,001,Acaponeta,0099,El Sobasto,1,*
18,Nayarit,001,Acaponeta,0100,El Tacote,103,5.18
18,Nayarit,001,Acaponeta,0101,Ojo de Agua del Tejón,4,*
18,Nayarit,001,Acaponeta,0102,El Tigre,749,7.78
18,Nayarit,001,Acaponeta,0105,Valle de la Urraca (El Cabildo),178,6.68
18,Nayarit,001,Acaponeta,0107,El Zapote,1,*
18,Nayarit,001,Acaponeta,0108,Zavala,4,*
18,Nayarit,001,Acaponeta,0115,Chalpa,67,5.93
18,Nayarit,001,Acaponeta,0117,La Providencia,4,*
18,Nayarit,001,Acaponeta,0119,Los Pinitos,7,*
18,Nayarit,001,Acaponeta,0121,La Limonera,4,*
18,Nayarit,001,Acaponeta,0122,El Jumay (Licenciado Magaña),6,*
18,Nayarit,001,Acaponeta,0123,El Ixtle,4,*
18,Nayarit,001,Acaponeta,0126,Mesa de la Laguna,138,8.15
18,Nayarit,001,Acaponeta,0131,El Vigal,61,7.55
18,Nayarit,001,Acaponeta,0132,Los Arrayanes,8,*
18,Nayarit,001,Acaponeta,0133,Paredes,18,5.71
18,Nayarit,001,Acaponeta,0136,El Duraznito,29,6.77
18,Nayarit,001,Acaponeta,0137,La Lagunita,84,5.19
18,Nayarit,001,Acaponeta,0138,Zacatecas,43,7.71
18,Nayarit,001,Acaponeta,0139,La Colonia (La Guacamaya),8,5.67
18,Nayarit,001,Acaponeta,0141,Cañones,57,8.09
18,Nayarit,001,Acaponeta,0143,Las Orejas,6,4.50
18,Nayarit,001,Acaponeta,0145,La Cortez (El Zapote),425,8.20
18,Nayarit,001,Acaponeta,0149,Loma de los Indios,3,*
18,Nayarit,001,Acaponeta,0151,La Piña,7,7.86
18,Nayarit,001,Acaponeta,0152,La Ventana,3,*
18,Nayarit,001,Acaponeta,0159,Rancho Viejo,12,4.63
18,Nayarit,001,Acaponeta,0161,La Paloma Primera,174,6.88
18,Nayarit,001,Acaponeta,0173,Las Bugambilias,14,9
18,Nayarit,001,Acaponeta,0185,Las Higueras,28,7.50
18,Nayarit,001,Acaponeta,0195,La Cuarentenaria (La Buenaventura),6,*
18,Nayarit,001,Acaponeta,0198,El Techalote,48,5.62
18,Nayarit,001,Acaponeta,0203,El Retoño (El Zopilote),2,*
18,Nayarit,001,Acaponeta,0205,Agua Tendida,3,*
18,Nayarit,001,Acaponeta,0209,Crucero de Acaponeta,53,10.55
18,Nayarit,001,Acaponeta,0210,La Curva Jugo de Caña,5,*
18,Nayarit,001,Acaponeta,0211,Santa Elena [Empacadora],7,*
18,Nayarit,001,Acaponeta,0213,Emiliano [Granja],2,*
18,Nayarit,001,Acaponeta,0215,El Refugio [Huerta],4,*
18,Nayarit,001,Acaponeta,0226,Los Sandovales,157,8.16
18,Nayarit,001,Acaponeta,0227,Arivania [Empacadora],4,*
18,Nayarit,001,Acaponeta,0229,Chendo Pérez [Rancho],2,*
18,Nayarit,001,Acaponeta,0230,El Coatépec,5,*
18,Nayarit,001,Acaponeta,0236,Santa Fe,6,*
18,Nayarit,001,Acaponeta,0237,San Jerónimo,9,8.75
18,Nayarit,001,Acaponeta,0238,San José de Guadalupe,1,*
18,Nayarit,001,Acaponeta,0241,Los Pinitos,5,*
18,Nayarit,001,Acaponeta,0245,Los Arellanos,2,*
18,Nayarit,001,Acaponeta,0252,Banco de Piedra,1,*
18,Nayarit,001,Acaponeta,0253,Huerta del Güero Carlos,1,*
18,Nayarit,001,Acaponeta,0262,Ninguno [Unidad Habitacional],234,10.87
18,Nayarit,001,Acaponeta,0268,Los López,1,*
18,Nayarit,001,Acaponeta,0270,Los Coyotes,3,*
18,Nayarit,001,Acaponeta,0273,Apolonio Barrón Martínez,5,*
18,Nayarit,001,Acaponeta,0290,Pradera Santa Rosa (El Coatepec),2,*
18,Nayarit,001,Acaponeta,0291,El Descanso,3,*
18,Nayarit,001,Acaponeta,0294,Rancho de los Avena,4,*
18,Nayarit,001,Acaponeta,0298,El Zapote,5,*
18,Nayarit,001,Acaponeta,0301,El Carrizal,68,7.26
18,Nayarit,001,Acaponeta,0304,El Santo Niño de los Veranos,4,*
18,Nayarit,001,Acaponeta,0307,Agua Plascencia [Purificadora],1,*
18,Nayarit,001,Acaponeta,0308,El Venadito [Restaurante],2,*
18,Nayarit,001,Acaponeta,0311,El Molino de Piedra,2,*
18,Nayarit,001,Acaponeta,0315,El Huanacaxtle,3,*
18,Nayarit,001,Acaponeta,0318,Cristino de la Cruz,5,*
18,Nayarit,001,Acaponeta,0319,El Carrizalito,4,*
18,Nayarit,001,Acaponeta,0320,El Limoncito,1,*
18,Nayarit,001,Acaponeta,0325,Martín Cedano,1,*
18,Nayarit,001,Acaponeta,0329,Los Macías,3,*
18,Nayarit,001,Acaponeta,0330,Gustavo Fonseca,1,*
18,Nayarit,001,Acaponeta,0333,La Loma Larga,23,2.64
18,Nayarit,001,Acaponeta,0334,Las Moras,7,*
18,Nayarit,001,Acaponeta,0335,Junquillo,2,*
18,Nayarit,001,Acaponeta,0337,El Tiro al Blanco,6,*
18,Nayarit,001,Acaponeta,0338,Crucero de la Ventana,4,*
18,Nayarit,001,Acaponeta,0339,El Porvenir,2,*
18,Nayarit,001,Acaponeta,0340,El Resbalón [Huerta],1,*
18,Nayarit,001,Acaponeta,0343,Los Lirios,6,*
18,Nayarit,001,Acaponeta,0345,El Zopilote,1,*
18,Nayarit,001,Acaponeta,0346,Los Gavilanes,5,*
18,Nayarit,001,Acaponeta,0347,El Rebombeo,1,*
18,Nayarit,001,Acaponeta,0350,El Campamento,1,*
18,Nayarit,001,Acaponeta,0354,Las Lomitas,6,*
18,Nayarit,001,Acaponeta,0355,El Aserradero,38,7.50
18,Nayarit,001,Acaponeta,9998,Localidades de una vivienda,169,7.34
18,Nayarit,001,Acaponeta,9999,Localidades de dos viviendas,66,6.71
18,Nayarit,002,Ahuacatlán,0000,Total del Municipio,15393,9.11
18,Nayarit,002,Ahuacatlán,0001,Ahuacatlán,7259,9.96
18,Nayarit,002,Ahuacatlán,0003,Amequita,11,5.50
18,Nayarit,002,Ahuacatlán,0006,Santa Cruz de Camotlán,525,7.34
18,Nayarit,002,Ahuacatlán,0007,La Campana,163,8.17
18,Nayarit,002,Ahuacatlán,0009,Las Cebollas,130,7.66
18,Nayarit,002,Ahuacatlán,0010,La Ciénega,202,6.86
18,Nayarit,002,Ahuacatlán,0012,Copales,17,7.60
18,Nayarit,002,Ahuacatlán,0016,La Gloria,57,7.41
18,Nayarit,002,Ahuacatlán,0018,Los Granjenes,2,*
18,Nayarit,002,Ahuacatlán,0019,Las Guásimas,78,8.53
18,Nayarit,002,Ahuacatlán,0020,Heriberto Jara (La Haciendita),925,8.53
18,Nayarit,002,Ahuacatlán,0022,La Lagunita,3,*
18,Nayarit,002,Ahuacatlán,0023,Marquezado,767,8.54
18,Nayarit,002,Ahuacatlán,0024,Las Palmas,159,7.44
18,Nayarit,002,Ahuacatlán,0026,Paso de San Juan,2,*
18,Nayarit,002,Ahuacatlán,0028,La Pichancha,30,6.71
18,Nayarit,002,Ahuacatlán,0029,Rancho Nuevo,32,9.41
18,Nayarit,002,Ahuacatlán,0034,Santa Isabel,1056,9
18,Nayarit,002,Ahuacatlán,0036,El Terrero,6,*
18,Nayarit,002,Ahuacatlán,0037,Valle Verde,582,7.62
18,Nayarit,002,Ahuacatlán,0038,Tetitlán,988,8.50
18,Nayarit,002,Ahuacatlán,0039,Uzeta,1661,8.90
18,Nayarit,002,Ahuacatlán,0040,Zoatlán (San Francisco de Zoatlán),534,7.59
18,Nayarit,002,Ahuacatlán,0049,El Giro,8,*
18,Nayarit,002,Ahuacatlán,0060,Crucero de Jala,6,7
18,Nayarit,002,Ahuacatlán,0063,El Verde,3,*
18,Nayarit,002,Ahuacatlán,0068,Ojo de Agua,1,*
18,Nayarit,002,Ahuacatlán,0079,El Zapote,3,*
18,Nayarit,002,Ahuacatlán,0082,El Naranjo,4,*
18,Nayarit,002,Ahuacatlán,0084,La Cruz,3,*
18,Nayarit,002,Ahuacatlán,0092,Chon Zapeda [Huerta],4,*
18,Nayarit,002,Ahuacatlán,0093,Rancho Curiel,1,*
18,Nayarit,002,Ahuacatlán,0094,Crucero de Marquezado,6,*
18,Nayarit,002,Ahuacatlán,0095,Crucero Heriberto Jara,31,9.05
18,Nayarit,002,Ahuacatlán,0097,El Tempisque,9,*
18,Nayarit,002,Ahuacatlán,0107,El Rosillo,1,*
18,Nayarit,002,Ahuacatlán,0109,El Huarache,10,9.67
18,Nayarit,002,Ahuacatlán,0118,El Galeano,1,*
18,Nayarit,002,Ahuacatlán,0119,Las Garzas,4,*
18,Nayarit,002,Ahuacatlán,0122,El Ranchito,2,*
18,Nayarit,002,Ahuacatlán,0126,Las Blancas,5,*
18,Nayarit,002,Ahuacatlán,0128,La Cofradía,1,*
18,Nayarit,002,Ahuacatlán,0129,Las Garzas,5,8.60
18,Nayarit,002,Ahuacatlán,0130,Las Tres M,5,*
18,Nayarit,002,Ahuacatlán,0133,El Arco [Rancho],3,*
18,Nayarit,002,Ahuacatlán,0135,La Laguna Uno,2,*
18,Nayarit,002,Ahuacatlán,0136,Las Higueras Cuatas,4,*
18,Nayarit,002,Ahuacatlán,0137,El Conhar (El Conchal),74,*
18,Nayarit,002,Ahuacatlán,0144,Los Machain [Rancho],4,*
18,Nayarit,002,Ahuacatlán,0146,El Capricho,2,*
18,Nayarit,002,Ahuacatlán,0147,Carlos Meza (La Bolsa) [Rancho],2,*
18,Nayarit,002,Ahuacatlán,9998,Localidades de una vivienda,138,7.16
18,Nayarit,002,Ahuacatlán,9999,Localidades de dos viviendas,27,5.52
18,Nayarit,003,Amatlán de Cañas,0000,Total del Municipio,11536,8.16
18,Nayarit,003,Amatlán de Cañas,0001,Amatlán de Cañas,3267,8.45
18,Nayarit,003,Amatlán de Cañas,0002,Los Agrios,92,6.75
18,Nayarit,003,Amatlán de Cañas,0006,La Escondida (Agua Escondida),27,5.67
18,Nayarit,003,Amatlán de Cañas,0009,Las Anonas,94,5.70
18,Nayarit,003,Amatlán de Cañas,0011,Barranca del Oro,368,8.29
18,Nayarit,003,Amatlán de Cañas,0018,Los Cerritos,171,6.89
18,Nayarit,003,Amatlán de Cañas,0020,El Copalillo,54,5.50
18,Nayarit,003,Amatlán de Cañas,0025,Estancia de los López,2318,8.68
18,Nayarit,003,Amatlán de Cañas,0026,El Farito,30,6.74
18,Nayarit,003,Amatlán de Cañas,0029,Las Guásimas,5,*
18,Nayarit,003,Amatlán de Cañas,0031,La Haciendita,3,*
18,Nayarit,003,Amatlán de Cañas,0033,Las Hembrillas,94,6.81
18,Nayarit,003,Amatlán de Cañas,0035,Jesús María,421,6.93
18,Nayarit,003,Amatlán de Cañas,0038,La Lima,21,5.37
18,Nayarit,003,Amatlán de Cañas,0039,La Máquina,78,7.46
18,Nayarit,003,Amatlán de Cañas,0040,Mezquites,644,7.54
18,Nayarit,003,Amatlán de Cañas,0042,El Naranjo,10,4.75
18,Nayarit,003,Amatlán de Cañas,0046,Pie de la Cuesta,98,6.93
18,Nayarit,003,Amatlán de Cañas,0047,El Pilón,165,7.77
18,Nayarit,003,Amatlán de Cañas,0050,El Portezuelo,26,5.90
18,Nayarit,003,Amatlán de Cañas,0052,Potrerillos,17,6.33
18,Nayarit,003,Amatlán de Cañas,0055,El Rosario,1366,8.73
18,Nayarit,003,Amatlán de Cañas,0057,San Blasito,511,7.30
18,Nayarit,003,Amatlán de Cañas,0059,San Valentín,95,5.85
18,Nayarit,003,Amatlán de Cañas,0063,Tepuzhuacán,1075,8.36
18,Nayarit,003,Amatlán de Cañas,0066,La Yerbabuena,349,8.06
18,Nayarit,003,Amatlán de Cañas,0068,El Zopilote,44,9.14
