entidad,nom_ent,mun,nom_mun,loc,nom_loc,pobtot,graproes
14,jalisco,0,total de la entidad jalisco,0,total de la entidad,8348151,9.9
14,jalisco,0,total de la entidad jalisco,9998,localidades de una vivienda,12686,6.46
14,jalisco,0,total de la entidad jalisco,9999,localidades de dos viviendas,10843,6.4
14,jalisco,1,acatic,0,total del municipio,23175,7.29
14,jalisco,1,acatic,1,acatic,13033,7.66
14,jalisco,1,acatic,2,agua prieta (tepetates),221,5.91
14,jalisco,1,acatic,3,alacates,7,6.718927576601671
14,jalisco,1,acatic,6,el bajio de los herrera,31,4.45
14,jalisco,1,acatic,7,el banadero,1,6.718927576601671
14,jalisco,1,acatic,9,rancho nuevo calderon,235,6.42
14,jalisco,1,acatic,10,el capadero (san miguel de la loza),16,6.0
14,jalisco,1,acatic,11,carricillo,40,5.48
14,jalisco,1,acatic,12,ceja de ramblas,75,4.93
14,jalisco,1,acatic,13,cofradia grande,56,6.15
14,jalisco,1,acatic,14,el colomo,203,5.68
14,jalisco,1,acatic,16,las coronillas,50,7.25
14,jalisco,1,acatic,18,la charranga,36,5.65
14,jalisco,1,acatic,19,el charco del ahogado,4,6.718927576601671
14,jalisco,1,acatic,20,chiquihuitillo,158,5.23
14,jalisco,1,acatic,21,el chivatero,99,4.49
14,jalisco,1,acatic,22,la estancia,14,4.45
14,jalisco,1,acatic,23,la gallarda,4,6.718927576601671
14,jalisco,1,acatic,24,la gazapera,86,5.31
14,jalisco,1,acatic,26,la infamia,9,6.718927576601671
14,jalisco,1,acatic,27,jaguey,27,6.82
14,jalisco,1,acatic,28,el jaral,43,6.48
14,jalisco,1,acatic,29,laguna colorada,44,6.19
14,jalisco,1,acatic,30,la leonera,9,6.718927576601671
14,jalisco,1,acatic,31,la leonerita,16,4.0
14,jalisco,1,acatic,32,la loma (la giganta),58,7.23
14,jalisco,1,acatic,33,los llanitos,147,5.93
14,jalisco,1,acatic,34,miraflores,3,6.718927576601671
14,jalisco,1,acatic,35,monte largo,75,7.54
14,jalisco,1,acatic,36,las motas,323,7.4
14,jalisco,1,acatic,37,la nopalera,34,8.69
14,jalisco,1,acatic,38,el ocotillo,6,6.718927576601671
14,jalisco,1,acatic,40,ojo de agua de verdum,59,5.48
14,jalisco,1,acatic,41,palo solo,5,6.718927576601671
14,jalisco,1,acatic,42,las paredes,23,6.17
14,jalisco,1,acatic,43,piedra amarilla,41,8.16
14,jalisco,1,acatic,44,las pilas,51,5.79
14,jalisco,1,acatic,46,la providencia (crucero de acatic),14,6.0
14,jalisco,1,acatic,47,la quinta,54,5.73
14,jalisco,1,acatic,48,el ranchito,4,6.718927576601671
14,jalisco,1,acatic,49,los ranchitos,94,7.02
14,jalisco,1,acatic,52,rancho nuevo,4,6.718927576601671
14,jalisco,1,acatic,53,el ranero,12,4.63
14,jalisco,1,acatic,54,el refugio (paredones),2894,7.52
14,jalisco,1,acatic,55,la resolana,156,7.78
14,jalisco,1,acatic,56,el rincon,2,6.718927576601671
14,jalisco,1,acatic,57,saltillo de arriba,36,6.43
14,jalisco,1,acatic,59,san antonio,16,7.14
14,jalisco,1,acatic,60,san antonio de roa,44,4.19
14,jalisco,1,acatic,62,san francisco,33,6.52
14,jalisco,1,acatic,63,tierras coloradas,1988,6.77
14,jalisco,1,acatic,66,santa rita,403,5.53
14,jalisco,1,acatic,67,el sauz,30,4.72
14,jalisco,1,acatic,68,la soledad,15,6.7
14,jalisco,1,acatic,69,las tablas,25,5.4
14,jalisco,1,acatic,70,el tempisque,42,5.92
14,jalisco,1,acatic,71,el tepamal,2,6.718927576601671
14,jalisco,1,acatic,72,el tepame,36,7.87
14,jalisco,1,acatic,73,el tepehuaje,68,5.67
14,jalisco,1,acatic,74,el tepozan,87,7.34
14,jalisco,1,acatic,75,tequililla,193,6.87
14,jalisco,1,acatic,78,el tlalcoyote,18,3.41
14,jalisco,1,acatic,79,las trojes,31,7.73
14,jalisco,1,acatic,81,el venado,13,7.56
14,jalisco,1,acatic,84,las viboras,60,7.12
14,jalisco,1,acatic,86,el paraiso,15,5.91
14,jalisco,1,acatic,87,terrerito,5,6.718927576601671
14,jalisco,1,acatic,88,crucero viejo acatic,57,7.56
14,jalisco,1,acatic,94,san jose,1,6.718927576601671
14,jalisco,1,acatic,102,saltillo de abajo,142,7.03
14,jalisco,1,acatic,104,codornices,68,6.92
14,jalisco,1,acatic,106,la sosa,2,6.718927576601671
14,jalisco,1,acatic,107,agropecuaria calderon,60,6.73
14,jalisco,1,acatic,108,las amapolas,5,6.718927576601671
14,jalisco,1,acatic,109,los dos pilares,4,6.718927576601671
14,jalisco,1,acatic,111,las barranquitas,13,13.89
14,jalisco,1,acatic,112,la calesa (plan de calderon),13,6.13
14,jalisco,1,acatic,113,canada honda,11,6.718927576601671
14,jalisco,1,acatic,115,cofradia chica,46,8.5
14,jalisco,1,acatic,116,la copetona,9,6.718927576601671
14,jalisco,1,acatic,118,la esperanza,5,6.718927576601671
14,jalisco,1,acatic,119,genpro [la lechonera],5,6.718927576601671
14,jalisco,1,acatic,122,ninguno [granja rancho nuevo],20,7.29
14,jalisco,1,acatic,123,la joya (avicola la joya),206,5.87
14,jalisco,1,acatic,128,la mojonera,4,6.718927576601671
14,jalisco,1,acatic,129,la ordena,7,6.718927576601671
14,jalisco,1,acatic,131,el pitahayo,12,5.67
14,jalisco,1,acatic,132,la presa de la joya,12,10.67
14,jalisco,1,acatic,133,rancho alegre,15,5.11
14,jalisco,1,acatic,135,el saltillo,1,6.718927576601671
14,jalisco,1,acatic,137,el tanque,5,6.718927576601671
14,jalisco,1,acatic,139,las tortugas,15,6.27
14,jalisco,1,acatic,141,san pablo,136,5.54
14,jalisco,1,acatic,142,acatic (colonia la prepa),565,7.19
14,jalisco,1,acatic,9998,localidades de una vivienda,64,6.84
14,jalisco,1,acatic,9999,localidades de dos viviendas,60,6.21
14,jalisco,2,acatlan de juarez,0,total del municipio,25250,9.23
14,jalisco,2,acatlan de juarez,1,acatlan de juarez,11110,9.85
14,jalisco,2,acatlan de juarez,2,bellavista,7802,8.92
14,jalisco,2,acatlan de juarez,4,el plan (el cerrito),3039,8.86
14,jalisco,2,acatlan de juarez,5,san jose de los pozos,928,7.81
14,jalisco,2,acatlan de juarez,7,san pedro valencia,433,6.41
14,jalisco,2,acatlan de juarez,8,el colomo,16,6.67
14,jalisco,2,acatlan de juarez,9,el platanarillo,6,6.718927576601671
14,jalisco,2,acatlan de juarez,10,santa ana [estacion],78,5.08
14,jalisco,2,acatlan de juarez,13,crucero de bellavista,5,6.718927576601671
14,jalisco,2,acatlan de juarez,19,el ariete,6,6.718927576601671
14,jalisco,2,acatlan de juarez,21,los castillos (las torrecillas),16,9.8
14,jalisco,2,acatlan de juarez,24,la coronilla,10,5.17
14,jalisco,2,acatlan de juarez,25,crucero de los pozos,10,6.718927576601671
14,jalisco,2,acatlan de juarez,27,el durazno,3,6.718927576601671
14,jalisco,2,acatlan de juarez,30,maravillas [fraccionamiento],27,7.94
14,jalisco,2,acatlan de juarez,34,la magdalena (casitas blancas),7,4.29
14,jalisco,2,acatlan de juarez,35,las maravillas (el cuarenta),34,6.42
14,jalisco,2,acatlan de juarez,36,montenegro,8,7.33
14,jalisco,2,acatlan de juarez,37,el pantano san marcos,18,6.15
14,jalisco,2,acatlan de juarez,39,el quelele,19,6.47
14,jalisco,2,acatlan de juarez,40,el ramireno,4,6.718927576601671
14,jalisco,2,acatlan de juarez,41,santa ana tres (cresta avicola),6,6.718927576601671
14,jalisco,2,acatlan de juarez,43,acatlan de juarez [subestacion electrica],4,6.718927576601671
14,jalisco,2,acatlan de juarez,48,las alberquitas [balneario],9,8.22
14,jalisco,2,acatlan de juarez,53,las carretas,57,7.18
14,jalisco,2,acatlan de juarez,55,perez y delanda,3,6.718927576601671
14,jalisco,2,acatlan de juarez,58,heliodoro camacho (la yerbabuena),15,9.91
14,jalisco,2,acatlan de juarez,61,el rio,4,6.718927576601671
14,jalisco,2,acatlan de juarez,62,villa de los ninos,1549,6.718927576601671
14,jalisco,2,acatlan de juarez,63,el novillero,1,6.718927576601671
14,jalisco,2,acatlan de juarez,64,rivera del lago [fraccionamiento],4,6.718927576601671
14,jalisco,2,acatlan de juarez,65,centro logistico de jalisco [parque industrial],19,9.88
14,jalisco,2,acatlan de juarez,9998,localidades de una vivienda,33,8.2
14,jalisco,2,acatlan de juarez,9999,localidades de dos viviendas,1572,8.57
14,jalisco,3,ahualulco de mercado,0,total del municipio,23630,9.52
14,jalisco,3,ahualulco de mercado,1,ahualulco de mercado,17000,10.01
14,jalisco,3,ahualulco de mercado,4,el carmen (el capulin),1612,8.98
14,jalisco,3,ahualulco de mercado,7,chapulimita (chapuli),294,7.02
14,jalisco,3,ahualulco de mercado,19,la mora (la morita),149,7.42
14,jalisco,3,ahualulco de mercado,21,la pena,39,7.53
14,jalisco,3,ahualulco de mercado,28,santa cruz de barcenas (santa cruz),1610,7.79
14,jalisco,3,ahualulco de mercado,30,el soltero,6,6.718927576601671
14,jalisco,3,ahualulco de mercado,31,teuchiteco,107,8.08
14,jalisco,3,ahualulco de mercado,32,tiro patria,2,6.718927576601671
14,jalisco,3,ahualulco de mercado,38,portes gil (san ignacio),2733,8.26
14,jalisco,3,ahualulco de mercado,51,el lechon [granja agropecuaria],5,6.718927576601671
14,jalisco,3,ahualulco de mercado,56,rancho los laureles uno,3,6.718927576601671
14,jalisco,3,ahualulco de mercado,57,baviacora [granja],3,6.718927576601671
14,jalisco,3,ahualulco de mercado,58,tecoripa [granja],5,6.718927576601671
14,jalisco,3,ahualulco de mercado,59,la cofradia (rancho los parados),19,8.76
14,jalisco,3,ahualulco de mercado,68,rancho german,1,6.718927576601671
14,jalisco,3,ahualulco de mercado,74,el paraiso,1,6.718927576601671
14,jalisco,3,ahualulco de mercado,80,los leones,2,6.718927576601671
14,jalisco,3,ahualulco de mercado,82,santa cruz dos [granja],11,6.718927576601671
14,jalisco,3,ahualulco de mercado,83,santa cruz uno [granja],7,6.718927576601671
14,jalisco,3,ahualulco de mercado,86,rancho cuevas,6,6.718927576601671
14,jalisco,3,ahualulco de mercado,94,rancho olmos,2,6.718927576601671
14,jalisco,3,ahualulco de mercado,96,el trapiche,1,6.718927576601671
14,jalisco,3,ahualulco de mercado,97,el encanto,5,6.718927576601671
14,jalisco,3,ahualulco de mercado,99,el novillo,7,6.718927576601671
14,jalisco,3,ahualulco de mercado,9998,localidades de una vivienda,44,8.92
14,jalisco,3,ahualulco de mercado,9999,localidades de dos viviendas,23,8.27
14,jalisco,4,amacueca,0,total del municipio,5743,8.34
14,jalisco,4,amacueca,1,amacueca,3025,8.8
14,jalisco,4,amacueca,3,aguacatita,55,7.81
14,jalisco,4,amacueca,4,el apartadero,108,7.86
14,jalisco,4,amacueca,5,barranca san miguel,24,7.48
14,jalisco,4,amacueca,7,cerro bola,12,3.8
14,jalisco,4,amacueca,8,cofradia del rosario,342,7.25
14,jalisco,4,amacueca,10,los chavez,54,5.26
14,jalisco,4,amacueca,14,lagunitas,7,4.29
14,jalisco,4,amacueca,17,palo quemado,11,5.3
14,jalisco,4,amacueca,20,san juanito,26,5.77
14,jalisco,4,amacueca,22,tepec,2033,8.09
14,jalisco,4,amacueca,23,los trujillo,10,7.33
14,jalisco,4,amacueca,25,los zalates,4,6.718927576601671
14,jalisco,4,amacueca,26,rancho viejo,4,6.718927576601671
14,jalisco,4,amacueca,30,mezquititlan,3,6.718927576601671
14,jalisco,4,amacueca,32,ninguno [estacion de microondas],2,6.718927576601671
14,jalisco,4,amacueca,39,el tacamo,2,6.718927576601671
14,jalisco,4,amacueca,53,el jazmin,7,6.718927576601671
14,jalisco,4,amacueca,61,la posta,5,6.718927576601671
14,jalisco,4,amacueca,64,el retono,4,6.718927576601671
14,jalisco,4,amacueca,66,ninguno,5,6.718927576601671
14,jalisco,4,amacueca,9998,localidades de una vivienda,32,7.0
14,jalisco,4,amacueca,9999,localidades de dos viviendas,4,6.718927576601671
14,jalisco,5,amatitan,0,total del municipio,16490,9.2
14,jalisco,5,amatitan,1,amatitan,12180,9.62
14,jalisco,5,amatitan,2,acatic (san francisco),2,6.718927576601671
14,jalisco,5,amatitan,3,agua fria,239,7.56
14,jalisco,5,amatitan,4,agua prieta,82,7.82
14,jalisco,5,amatitan,5,el amarillo,99,7.26
14,jalisco,5,amatitan,7,la conchilla,93,7.25
14,jalisco,5,amatitan,8,santa rosa [campamento cfe],40,10.87
14,jalisco,5,amatitan,9,la capilla,45,8.39
14,jalisco,5,amatitan,10,el cerrito,98,7.33
14,jalisco,5,amatitan,13,la cofradia,17,6.718927576601671
14,jalisco,5,amatitan,15,chome (achio),241,7.27
14,jalisco,5,amatitan,20,la mata,159,8.17
14,jalisco,5,amatitan,22,miravalle,7,6.718927576601671
14,jalisco,5,amatitan,26,rancho viejo,20,4.88
14,jalisco,5,amatitan,29,santa rita (el tecuane),10,6.718927576601671
14,jalisco,5,amatitan,31,santiaguito,1545,8.31
14,jalisco,5,amatitan,32,tateposco,13,10.29
14,jalisco,5,amatitan,35,tepetates,298,7.34
14,jalisco,5,amatitan,36,el tizate,18,6.21
14,jalisco,5,amatitan,39,la villa de cuerambaro,286,7.03
14,jalisco,5,amatitan,40,la villa,13,4.9
14,jalisco,5,amatitan,43,las escobas,1,6.718927576601671
14,jalisco,5,amatitan,45,la quebradora,73,6.9
14,jalisco,5,amatitan,56,el coco,17,6.67
14,jalisco,5,amatitan,65,el mirador,11,5.56
14,jalisco,5,amatitan,70,rancho dona mary,4,6.718927576601671
14,jalisco,5,amatitan,71,rancho el agostadero,2,6.718927576601671
14,jalisco,5,amatitan,74,la cantera,872,8.52
14,jalisco,5,amatitan,75,las juntas,5,6.718927576601671
14,jalisco,5,amatitan,9998,localidades de una vivienda,14,7.2
14,jalisco,5,amatitan,9999,localidades de dos viviendas,34,7.24
14,jalisco,6,ameca,0,total del municipio,60386,9.06
14,jalisco,6,ameca,1,ameca,37871,9.77
14,jalisco,6,ameca,2,altavista de ramos,327,6.81
14,jalisco,6,ameca,3,los amiales,412,7.73
14,jalisco,6,ameca,4,el arco,150,7.0
14,jalisco,6,ameca,5,arroyo hondo,250,7.46
14,jalisco,6,ameca,7,la atrevida,6,6.718927576601671
