entidad,nom_ent,mun,nom_mun,loc,nom_loc,pobtot,graproes
15,mexico,0,total de la entidad mexico,0,total de la entidad,16992418,10.08
15,mexico,0,total de la entidad mexico,9998,localidades de una vivienda,6011,7.42
15,mexico,0,total de la entidad mexico,9999,localidades de dos viviendas,765,7.54
15,mexico,1,acambay de ruiz castaneda,0,total del municipio,67872,8.3
15,mexico,1,acambay de ruiz castaneda,1,villa de acambay de ruiz castaneda,5988,11.63
15,mexico,1,acambay de ruiz castaneda,2,agostadero (san jose agostadero),587,7.52
15,mexico,1,acambay de ruiz castaneda,3,agua limpia,272,8.31
15,mexico,1,acambay de ruiz castaneda,4,las arenas (san agustin),902,8.38
15,mexico,1,acambay de ruiz castaneda,6,boshi chiquito,415,7.5
15,mexico,1,acambay de ruiz castaneda,7,boshi grande,172,7.47
15,mexico,1,acambay de ruiz castaneda,8,botidi,501,8.71
15,mexico,1,acambay de ruiz castaneda,9,bovini,490,6.75
15,mexico,1,acambay de ruiz castaneda,10,boshindo,1315,8.51
15,mexico,1,acambay de ruiz castaneda,11,la caridad,1463,9.12
15,mexico,1,acambay de ruiz castaneda,12,conejeras,1095,7.16
15,mexico,1,acambay de ruiz castaneda,13,chanteje,228,7.64
15,mexico,1,acambay de ruiz castaneda,14,los charcos,221,6.46
15,mexico,1,acambay de ruiz castaneda,15,dateje,445,7.03
15,mexico,1,acambay de ruiz castaneda,16,detina (san antonio detina),2230,8.39
15,mexico,1,acambay de ruiz castaneda,17,dongu (dongu centro),645,8.24
15,mexico,1,acambay de ruiz castaneda,19,endeje,831,10.12
15,mexico,1,acambay de ruiz castaneda,20,el ermitano,498,7.48
15,mexico,1,acambay de ruiz castaneda,21,esdoca (esdoca centro),437,10.41
15,mexico,1,acambay de ruiz castaneda,22,la estancia sector i,952,8.43
15,mexico,1,acambay de ruiz castaneda,23,gando,168,6.72
15,mexico,1,acambay de ruiz castaneda,24,ganzda,2089,7.72
15,mexico,1,acambay de ruiz castaneda,25,barrio de guadalupe,332,7.81
15,mexico,1,acambay de ruiz castaneda,26,hondiga,265,9.39
15,mexico,1,acambay de ruiz castaneda,27,la huerta,460,6.91
15,mexico,1,acambay de ruiz castaneda,28,juando,737,8.64
15,mexico,1,acambay de ruiz castaneda,29,la laguna,185,7.83
15,mexico,1,acambay de ruiz castaneda,31,la loma (santa maria la loma),1188,7.6
15,mexico,1,acambay de ruiz castaneda,33,la manga,330,6.98
15,mexico,1,acambay de ruiz castaneda,34,muyteje,264,7.38
15,mexico,1,acambay de ruiz castaneda,35,pathe,1266,9.07
15,mexico,1,acambay de ruiz castaneda,36,los pilares,1177,8.07
15,mexico,1,acambay de ruiz castaneda,37,pueblo nuevo,4664,8.65
15,mexico,1,acambay de ruiz castaneda,38,puentecillas,1947,6.76
15,mexico,1,acambay de ruiz castaneda,39,san antonio las palmas,86,7.17
15,mexico,1,acambay de ruiz castaneda,40,san francisco shaxni,2073,6.51
15,mexico,1,acambay de ruiz castaneda,41,san ildefonso (san ildefonso yolotepec),951,8.64
15,mexico,1,acambay de ruiz castaneda,42,san jose bocto,404,8.85
15,mexico,1,acambay de ruiz castaneda,43,san juanico sector uno,1248,7.54
15,mexico,1,acambay de ruiz castaneda,44,san juanico sector dos,668,7.85
15,mexico,1,acambay de ruiz castaneda,45,san nicolas acambay,498,7.64
15,mexico,1,acambay de ruiz castaneda,46,san pedro de los metates,2293,8.99
15,mexico,1,acambay de ruiz castaneda,47,la soledad,607,8.4
15,mexico,1,acambay de ruiz castaneda,48,santa maria tixmadeje (tixmadeje grande),1130,8.14
15,mexico,1,acambay de ruiz castaneda,49,tixmadeje chiquito,1454,8.49
