entidad,nom_ent,mun,nom_mun,loc,nom_loc,pobtot,graproes
16,michoacan de ocampo,0,total de la entidad michoacan de ocampo,0,total de la entidad,4748846,8.6
16,michoacan de ocampo,0,total de la entidad michoacan de ocampo,9998,localidades de una vivienda,7779,5.3
16,michoacan de ocampo,0,total de la entidad michoacan de ocampo,9999,localidades de dos viviendas,10072,5.1
16,michoacan de ocampo,1,acuitzio,0,total del municipio,11301,7.84
16,michoacan de ocampo,1,acuitzio,1,acuitzio del canje,7439,8.45
16,michoacan de ocampo,1,acuitzio,2,los aguacates,108,6.96
16,michoacan de ocampo,1,acuitzio,3,la angostura,239,6.16
16,michoacan de ocampo,1,acuitzio,4,arostaro,1,6.220021395655036
16,michoacan de ocampo,1,acuitzio,5,arroyo hondo,68,6.58
16,michoacan de ocampo,1,acuitzio,6,el auxilio (los tanques),18,5.29
16,michoacan de ocampo,1,acuitzio,7,la campana,109,6.74
16,michoacan de ocampo,1,acuitzio,8,las canoas,61,5.77
16,michoacan de ocampo,1,acuitzio,9,el cipres,32,6.56
16,michoacan de ocampo,1,acuitzio,10,cruz gorda,14,7.27
16,michoacan de ocampo,1,acuitzio,11,cutzaro,526,6.85
16,michoacan de ocampo,1,acuitzio,13,huajumbo,236,7.31
16,michoacan de ocampo,1,acuitzio,14,la laja,64,6.45
16,michoacan de ocampo,1,acuitzio,15,la palma,356,7.46
16,michoacan de ocampo,1,acuitzio,16,paramo,117,6.93
16,michoacan de ocampo,1,acuitzio,17,el paredon,23,9.0
16,michoacan de ocampo,1,acuitzio,18,paso del muerto,45,6.09
16,michoacan de ocampo,1,acuitzio,20,san andres coapa,630,6.34
16,michoacan de ocampo,1,acuitzio,21,tamanguio,157,6.81
16,michoacan de ocampo,1,acuitzio,23,tiripano,101,6.89
16,michoacan de ocampo,1,acuitzio,24,el tzintzun,95,5.93
16,michoacan de ocampo,1,acuitzio,25,el varal,26,4.71
16,michoacan de ocampo,1,acuitzio,26,la vinata,28,5.0
16,michoacan de ocampo,1,acuitzio,27,ziparapio el alto,194,6.17
16,michoacan de ocampo,1,acuitzio,32,agua grande,7,6.220021395655036
16,michoacan de ocampo,1,acuitzio,33,agua puerca,52,5.48
16,michoacan de ocampo,1,acuitzio,34,corralo (tirindiriz),66,6.73
16,michoacan de ocampo,1,acuitzio,36,la penita,68,6.3
16,michoacan de ocampo,1,acuitzio,38,rosa de castilla,48,5.23
16,michoacan de ocampo,1,acuitzio,39,el terrero,4,6.220021395655036
16,michoacan de ocampo,1,acuitzio,40,la tinaja,42,5.69
16,michoacan de ocampo,1,acuitzio,41,las trojes (las trojas),15,8.0
16,michoacan de ocampo,1,acuitzio,42,la huizata,33,7.13
16,michoacan de ocampo,1,acuitzio,44,la paloma (ziparapio el bajo),114,7.78
16,michoacan de ocampo,1,acuitzio,46,las juntas,78,6.19
16,michoacan de ocampo,1,acuitzio,47,el melon,17,5.29
16,michoacan de ocampo,1,acuitzio,48,el moral,10,6.220021395655036
16,michoacan de ocampo,1,acuitzio,50,loma del pastor,32,6.17
16,michoacan de ocampo,1,acuitzio,53,francisco villa [colonia],25,7.42
16,michoacan de ocampo,1,acuitzio,54,tepatzicuaro,3,6.220021395655036
16,michoacan de ocampo,1,acuitzio,9998,localidades de una vivienda,8,9.14
16,michoacan de ocampo,1,acuitzio,9999,localidades de dos viviendas,17,4.83
