entidad,nom_ent,mun,nom_mun,loc,nom_loc,pobtot,graproes
17,morelos,0,total de la entidad morelos,0,total de la entidad,1971520,9.84
17,morelos,0,total de la entidad morelos,9998,localidades de una vivienda,1382,7.9
17,morelos,0,total de la entidad morelos,9999,localidades de dos viviendas,603,7.71
17,morelos,1,amacuzac,0,total del municipio,17598,8.52
17,morelos,1,amacuzac,1,amacuzac,5575,9.71
17,morelos,1,amacuzac,2,cajones,553,6.89
17,morelos,1,amacuzac,3,casahuatlan,1915,7.02
17,morelos,1,amacuzac,4,coahuixtla,1151,7.46
17,morelos,1,amacuzac,5,huajintlan,1788,8.93
17,morelos,1,amacuzac,6,miahuatlan (el cuiji),561,7.11
17,morelos,1,amacuzac,7,rancho nuevo,840,6.51
17,morelos,1,amacuzac,8,san gabriel las palmas,2955,8.85
17,morelos,1,amacuzac,9,teacalco,711,8.34
17,morelos,1,amacuzac,10,zoquital,152,6.16
17,morelos,1,amacuzac,12,campo nuevo,41,5.82
17,morelos,1,amacuzac,16,colonia el campamento,197,7.84
17,morelos,1,amacuzac,19,colonia ejidal,362,7.86
17,morelos,1,amacuzac,21,los limones,176,9.21
17,morelos,1,amacuzac,26,colonia oriental,194,7.01
17,morelos,1,amacuzac,33,tula,29,8.1
17,morelos,1,amacuzac,36,colonia ocampo,38,7.92
17,morelos,1,amacuzac,37,el campamento,86,8.89
17,morelos,1,amacuzac,41,villa verde,65,7.71
17,morelos,1,amacuzac,42,parada de coahuixtla (colonia benito juarez),34,6.86
17,morelos,1,amacuzac,43,la primera (el ladron),21,7.19
17,morelos,1,amacuzac,44,la calera,21,11.79
17,morelos,1,amacuzac,47,el paso de miahuatlan,7,8.552749461593685
17,morelos,1,amacuzac,48,el rosal (el alacran),12,9.83
17,morelos,1,amacuzac,50,los banos de tula,1,8.552749461593685
17,morelos,1,amacuzac,51,campo la cazuela,14,8.552749461593685
17,morelos,1,amacuzac,53,colonia ojo de agua,46,7.7
17,morelos,1,amacuzac,57,campo la respiracion,14,7.17
17,morelos,1,amacuzac,59,colonia cuauhtemoc,13,9.0
17,morelos,1,amacuzac,60,colonia el mirador,22,8.93
17,morelos,1,amacuzac,63,la pena,4,8.552749461593685
17,morelos,1,amacuzac,9998,localidades de una vivienda,19,6.79
17,morelos,1,amacuzac,9999,localidades de dos viviendas,7,8.552749461593685
17,morelos,2,atlatlahucan,0,total del municipio,25232,9.34
17,morelos,2,atlatlahucan,1,atlatlahucan,9018,9.34
17,morelos,2,atlatlahucan,2,telchicayac (el cabellito),266,8.71
17,morelos,2,atlatlahucan,8,colonia kilometro 88,1099,8.66
17,morelos,2,atlatlahucan,14,san diego tepantongo,444,7.22
17,morelos,2,atlatlahucan,16,santa ines,87,8.02
17,morelos,2,atlatlahucan,18,telminca,29,8.3
17,morelos,2,atlatlahucan,20,san juan texcalpan,1505,7.88
17,morelos,2,atlatlahucan,21,tlaltetelco (san miguel tlaltetelco),2098,8.67
17,morelos,2,atlatlahucan,22,barranca seca,39,9.22
17,morelos,2,atlatlahucan,25,colonia san francisco,1537,8.68
17,morelos,2,atlatlahucan,28,asociacion de colonos hacienda la alborada,103,11.51
17,morelos,2,atlatlahucan,29,el astillero,389,7.19
17,morelos,2,atlatlahucan,30,centro asturiano de mexico,5,8.552749461593685
17,morelos,2,atlatlahucan,31,rancho zacanco (la cueva),271,7.6
17,morelos,2,atlatlahucan,33,fraccionamiento lomas de cocoyoc,2506,14.26
17,morelos,2,atlatlahucan,36,unidad habitacional vicente guerrero,573,9.25
17,morelos,2,atlatlahucan,39,rancho temecatitla,31,9.12
17,morelos,2,atlatlahucan,43,colonia el salto,152,8.3
17,morelos,2,atlatlahucan,44,los cerritos,506,8.72
17,morelos,2,atlatlahucan,46,fraccionamiento jardines de jerico,13,6.09
17,morelos,2,atlatlahucan,47,el jaral,3,8.552749461593685
17,morelos,2,atlatlahucan,49,loma de malpais,2,8.552749461593685
17,morelos,2,atlatlahucan,53,puntas de malpais (malpais),21,9.63
17,morelos,2,atlatlahucan,54,colonia campestre lomas de texcalpan,190,7.24
17,morelos,2,atlatlahucan,57,rancho santa cruz,10,8.552749461593685
17,morelos,2,atlatlahucan,58,rancho teoxtoc,23,6.88
17,morelos,2,atlatlahucan,60,campo caballojapa,26,11.5
17,morelos,2,atlatlahucan,61,colonia el puente,137,8.62
17,morelos,2,atlatlahucan,62,jagueycillos (colonia 10 de mayo),193,8.24
17,morelos,2,atlatlahucan,66,ampliacion san antonio,230,7.95
17,morelos,2,atlatlahucan,67,colonia la guadalupana,297,7.32
17,morelos,2,atlatlahucan,68,las minas,2211,7.89
17,morelos,2,atlatlahucan,70,colonia pozo mancera,579,7.66
17,morelos,2,atlatlahucan,71,colonia rancho santa cruz,190,7.83
17,morelos,2,atlatlahucan,73,rancho la tortuga,59,8.1
17,morelos,2,atlatlahucan,76,ameyalco,21,7.5
17,morelos,2,atlatlahucan,77,fraccionamiento tehuicil,88,9.51
17,morelos,2,atlatlahucan,78,colonia alta vista,47,7.21
17,morelos,2,atlatlahucan,79,campo tlacotlaco,169,8.04
17,morelos,2,atlatlahucan,80,linda vista,20,8.93
17,morelos,2,atlatlahucan,81,pilalpuente [rancho],45,8.29
17,morelos,2,atlatlahucan,9998,localidades de una vivienda,3,8.552749461593685
17,morelos,2,atlatlahucan,9999,localidades de dos viviendas,17,6.5
17,morelos,3,axochiapan,0,total del municipio,39174,8.07
17,morelos,3,axochiapan,1,axochiapan,19085,8.62
17,morelos,3,axochiapan,2,ahuaxtla,244,8.27
17,morelos,3,axochiapan,3,atlacahualoya,3818,6.61
17,morelos,3,axochiapan,4,los carros,43,5.68
17,morelos,3,axochiapan,5,cayehuacan,283,7.35
17,morelos,3,axochiapan,6,joaquin camano,451,8.77
17,morelos,3,axochiapan,7,marcelino rodriguez (san ignacio),2223,7.47
17,morelos,3,axochiapan,8,palo blanco,246,6.45
17,morelos,3,axochiapan,9,quebrantadero,2462,10.1
17,morelos,3,axochiapan,10,telixtac,5534,6.86
17,morelos,3,axochiapan,11,tlalayo,807,7.2
17,morelos,3,axochiapan,14,coayuca colonia de morelos,38,5.62
17,morelos,3,axochiapan,15,los gavilanes,124,7.0
17,morelos,3,axochiapan,16,las tinajas,3,8.552749461593685
17,morelos,3,axochiapan,17,la nopalera,412,6.11
17,morelos,3,axochiapan,18,el papagayo,146,8.13
17,morelos,3,axochiapan,20,la toma,279,6.75
17,morelos,3,axochiapan,21,colonia los laureles,182,8.78
17,morelos,3,axochiapan,22,la estacion,4,8.552749461593685
17,morelos,3,axochiapan,24,el puente del pajarito,3,8.552749461593685
17,morelos,3,axochiapan,26,5 de mayo,89,6.2
17,morelos,3,axochiapan,28,juan ortega sanchez,70,8.55
17,morelos,3,axochiapan,29,unidad habitacional benito juarez,152,9.82
17,morelos,3,axochiapan,36,barranca del ahuehuete,6,8.552749461593685
17,morelos,3,axochiapan,37,campo el coyul,5,8.552749461593685
17,morelos,3,axochiapan,39,campo el pajarito (sistema de agua potable),4,8.552749461593685
17,morelos,3,axochiapan,41,campo la zacatera,206,7.08
17,morelos,3,axochiapan,42,sistema uno de bombeo,1,8.552749461593685
17,morelos,3,axochiapan,44,santa maria,17,6.92
17,morelos,3,axochiapan,45,la huerta (la bomba dos),25,6.33
17,morelos,3,axochiapan,46,la joya del zompa,2,8.552749461593685
17,morelos,3,axochiapan,48,los linderos (fabrica de yeso),24,6.71
17,morelos,3,axochiapan,49,el mezquital,10,8.552749461593685
17,morelos,3,axochiapan,54,rancho cabrera,34,6.78
17,morelos,3,axochiapan,55,rancho el mirador,3,8.552749461593685
17,morelos,3,axochiapan,56,rancho isaias,54,10.58
17,morelos,3,axochiapan,57,rancho maria de jesus barrera,73,8.79
17,morelos,3,axochiapan,58,colonia ruben carrillo,139,8.86
17,morelos,3,axochiapan,59,campo el pedregal,10,8.552749461593685
17,morelos,3,axochiapan,60,cuauhtemoc,531,7.48
17,morelos,3,axochiapan,61,ampliacion juan gonzalez y ano 2000,54,6.43
17,morelos,3,axochiapan,63,campo la comunidad,35,6.96
17,morelos,3,axochiapan,64,campo la laguna,110,7.99
17,morelos,3,axochiapan,67,colonia los tres reyes,57,6.91
17,morelos,3,axochiapan,69,el eden [rancho],24,8.68
17,morelos,3,axochiapan,72,campo el papayo,3,8.552749461593685
17,morelos,3,axochiapan,73,campo jicamal,183,7.57
17,morelos,3,axochiapan,74,colonia el cbta,175,8.01
17,morelos,3,axochiapan,75,colonia las palmas,98,9.89
17,morelos,3,axochiapan,76,colonia nueva esperanza,8,6.6
17,morelos,3,axochiapan,77,almolonca,18,6.83
17,morelos,3,axochiapan,78,colonia carrillo olea (la primavera),240,7.99
17,morelos,3,axochiapan,80,colonia 2000,101,7.21
17,morelos,3,axochiapan,81,colonia la guadalupana,115,7.85
17,morelos,3,axochiapan,82,colonia florida,38,6.74
17,morelos,3,axochiapan,83,colonia cuatecomates,47,8.59
17,morelos,3,axochiapan,84,colonia morelos,24,5.75
17,morelos,3,axochiapan,85,presa los carros,2,8.552749461593685
17,morelos,3,axochiapan,9998,localidades de una vivienda,19,8.69
17,morelos,3,axochiapan,9999,localidades de dos viviendas,37,8.55
17,morelos,4,ayala,0,total del municipio,89834,8.69
17,morelos,4,ayala,1,ciudad ayala,6335,9.92
17,morelos,4,ayala,2,abelardo l. rodriguez,2072,8.64
17,morelos,4,ayala,4,anenecuilco,11227,8.96
17,morelos,4,ayala,5,san pedro apatlaco,13032,9.02
17,morelos,4,ayala,6,benito juarez,295,7.65
17,morelos,4,ayala,8,chinameca,3149,7.86
17,morelos,4,ayala,10,huacatlaco (los anonos),304,7.24
17,morelos,4,ayala,11,huitzililla,2878,7.49
17,morelos,4,ayala,12,jaloxtoc,4026,7.9
17,morelos,4,ayala,14,moyotepec,3949,8.49
17,morelos,4,ayala,15,ninos heroes,582,8.02
17,morelos,4,ayala,16,olintepec,1656,7.93
17,morelos,4,ayala,17,palo blanco,493,6.95
17,morelos,4,ayala,19,rafael merino (san antonio),960,8.5
17,morelos,4,ayala,21,la sabana,78,8.93
17,morelos,4,ayala,22,el salitre,1355,8.02
17,morelos,4,ayala,23,san juan ahuehueyo,2547,8.82
17,morelos,4,ayala,24,san vicente de juarez (las piedras),1485,7.8
17,morelos,4,ayala,25,tecomalco,432,6.96
17,morelos,4,ayala,26,tenextepango,8835,8.86
17,morelos,4,ayala,27,tlayecac,2879,9.15
17,morelos,4,ayala,28,el vergel,987,6.96
17,morelos,4,ayala,29,fraccionamiento el venadito,103,11.56
17,morelos,4,ayala,30,parque industrial cuautla,5,6.4
17,morelos,4,ayala,31,fraccionamiento huertas de cuautla,1292,10.56
17,morelos,4,ayala,32,fraccionamiento prados del sol,75,11.84
17,morelos,4,ayala,33,fraccionamiento paraiso tlahuica,188,13.29
17,morelos,4,ayala,34,fraccionamiento citlalin,62,13.19
17,morelos,4,ayala,35,fraccionamiento isla de cuautla,135,11.95
17,morelos,4,ayala,37,rancho la barranquilla,2,8.552749461593685
17,morelos,4,ayala,38,buena vista,443,6.21
17,morelos,4,ayala,40,rancho rosa y manuel (casa blanca),6,8.552749461593685
17,morelos,4,ayala,42,constancio farfan (la pascuala),2148,6.67
17,morelos,4,ayala,43,colonia la libertad,138,7.0
17,morelos,4,ayala,49,unidad habitacional mariano matamoros,1069,9.49
17,morelos,4,ayala,50,campo agua de los patos,1,8.552749461593685
17,morelos,4,ayala,53,ampliacion campo el higuerillo,36,7.62
17,morelos,4,ayala,54,colonia ejidal rafael merino,632,7.86
17,morelos,4,ayala,55,ejido nueva olintepec,354,7.25
17,morelos,4,ayala,56,unidad piscicola de chinameca,25,8.71
17,morelos,4,ayala,57,unidad piscicola el vergel,10,7.5
17,morelos,4,ayala,58,el almacen,151,10.72
17,morelos,4,ayala,64,campo nuevo,6,8.552749461593685
17,morelos,4,ayala,65,granja las cebollas,3,8.552749461593685
17,morelos,4,ayala,66,colonia las lumbreras,239,7.28
17,morelos,4,ayala,69,rancho el panuelo,123,6.48
17,morelos,4,ayala,70,unidad habitacional 10 de abril,1460,10.7
17,morelos,4,ayala,73,colonia las arboledas,1850,7.68
17,morelos,4,ayala,75,campo la escopeta,497,7.82
17,morelos,4,ayala,76,granja las codornices (la fabrica),6,8.552749461593685
17,morelos,4,ayala,77,rancho chicapa (teteltitla),2,8.552749461593685
17,morelos,4,ayala,78,granja la esperanza,5,8.552749461593685
17,morelos,4,ayala,79,el jaguey,9,8.552749461593685
17,morelos,4,ayala,80,colonia general emiliano zapata (el chivatero),562,6.75
17,morelos,4,ayala,82,la doncella,82,8.05
17,morelos,4,ayala,83,la joya,444,8.13
17,morelos,4,ayala,84,loma bonita,770,5.04
17,morelos,4,ayala,87,campo palomar chico,219,7.66
17,morelos,4,ayala,88,campo amate amarillo,15,6.08
17,morelos,4,ayala,89,campo bustamante,2,8.552749461593685
17,morelos,4,ayala,91,campo el chivatero,4,6.0
17,morelos,4,ayala,93,campo el salto,3,8.552749461593685
17,morelos,4,ayala,94,campo iturbide,1,8.552749461593685
17,morelos,4,ayala,95,campo la soledad,217,8.02
17,morelos,4,ayala,97,campo las cruces,10,8.552749461593685
17,morelos,4,ayala,99,campo los pilares,27,8.14
17,morelos,4,ayala,103,fraccionamiento las llaves,1402,10.7
17,morelos,4,ayala,106,ampliacion chinameca,17,8.1
17,morelos,4,ayala,108,la joya escondida,7,8.552749461593685
17,morelos,4,ayala,109,el pozo,9,6.5
17,morelos,4,ayala,110,rancho agua limpia,12,12.38
17,morelos,4,ayala,114,rancho el amate,2,8.552749461593685
17,morelos,4,ayala,116,rancho la herradura,3,8.552749461593685
17,morelos,4,ayala,120,rancho los avina,6,8.552749461593685
17,morelos,4,ayala,121,rancho santana 1,11,6.9
17,morelos,4,ayala,124,el sifon de la cuera,40,7.1
17,morelos,4,ayala,126,anenecuilco,10,8.552749461593685
17,morelos,4,ayala,129,colonia segunda ampliacion moyotepec,87,5.93
17,morelos,4,ayala,130,puente blanco,25,7.13
17,morelos,4,ayala,132,agua salada,98,6.36
17,morelos,4,ayala,133,ampliacion las flores,75,7.86
17,morelos,4,ayala,134,ampliacion rafael merino,39,9.14
17,morelos,4,ayala,137,campo huizachera 2,37,7.82
17,morelos,4,ayala,139,el crucero de chinameca,61,8.12
17,morelos,4,ayala,140,el jaguey,2,8.552749461593685
17,morelos,4,ayala,141,las lajas,1,8.552749461593685
17,morelos,4,ayala,142,el mirador,679,10.74
17,morelos,4,ayala,143,rancho epifanio sotelo,7,8.552749461593685
17,morelos,4,ayala,144,rancho palomar grande,25,7.21
17,morelos,4,ayala,146,rincon de los sauces,87,6.72
17,morelos,4,ayala,147,2da. seccion benito juarez,19,7.5
17,morelos,4,ayala,149,anenecuilco,155,7.03
17,morelos,4,ayala,150,campo los pedros,13,10.0
17,morelos,4,ayala,152,colonia leopoldo heredia,171,5.53
17,morelos,4,ayala,153,rancho el naranjo (la escondida),5,8.552749461593685
17,morelos,4,ayala,154,ampliacion tenextepango (la parcela),234,8.02
17,morelos,4,ayala,155,el axocoche,5,8.552749461593685
17,morelos,4,ayala,156,el cerro olinche,119,4.09
17,morelos,4,ayala,157,colonia ampliacion cruz verde,65,7.86
17,morelos,4,ayala,158,colonia ampliacion norte,5,8.552749461593685
17,morelos,4,ayala,159,ejido anenecuilco,4,8.552749461593685
17,morelos,4,ayala,160,valle de morelos,858,3.25
17,morelos,4,ayala,162,moyotepec,36,6.39
17,morelos,4,ayala,163,parada a huexca,26,8.59
17,morelos,4,ayala,164,colonia las flores,63,5.09
17,morelos,4,ayala,166,campo puente de fierro,25,7.74
17,morelos,4,ayala,167,colonia las joyas,7,8.552749461593685
17,morelos,4,ayala,168,colonia pablo torres burgos,15,7.2
17,morelos,4,ayala,169,el barreal,9,8.552749461593685
17,morelos,4,ayala,170,rancho chalpa,5,8.552749461593685
17,morelos,4,ayala,171,jaloxtoc,116,6.68
17,morelos,4,ayala,172,fraccionamiento villa dorada,10,9.6
17,morelos,4,ayala,173,huertos el paraiso,1,8.552749461593685
17,morelos,4,ayala,175,campo los bandidos,2,8.552749461593685
17,morelos,4,ayala,176,campo la canoa,3,8.552749461593685
17,morelos,4,ayala,177,campo santa rosa,46,6.2
17,morelos,4,ayala,178,fraccionamiento rinconada del valle,49,5.92
17,morelos,4,ayala,180,rancho san jose,5,8.552749461593685
17,morelos,4,ayala,181,san rafael,6,8.552749461593685
17,morelos,4,ayala,182,residencial la cantera,190,14.35
17,morelos,4,ayala,183,residencial villa de los arcos,119,12.67
17,morelos,4,ayala,184,residencial los sauces,432,11.73
17,morelos,4,ayala,186,ampliacion la cucaracha,40,5.59
17,morelos,4,ayala,188,campo el brasil,19,11.09
17,morelos,4,ayala,189,campo hidalgo,1,8.552749461593685
17,morelos,4,ayala,190,campo palo blanco,3,8.552749461593685
17,morelos,4,ayala,194,fraccionamiento la paz,170,8.6
17,morelos,4,ayala,196,valle del pedregal [fraccionamiento],962,12.02
17,morelos,4,ayala,197,colonia aviles,5,8.552749461593685
17,morelos,4,ayala,198,vida y sol,37,8.35
17,morelos,4,ayala,199,linda vista,50,6.73
17,morelos,4,ayala,9998,localidades de una vivienda,67,6.56
17,morelos,4,ayala,9999,localidades de dos viviendas,93,7.85
17,morelos,5,coatlan del rio,0,total del municipio,10520,7.82
17,morelos,5,coatlan del rio,1,coatlan del rio,1907,9.44
17,morelos,5,coatlan del rio,2,apancingo,546,7.94
17,morelos,5,coatlan del rio,3,benito juarez,333,6.9
17,morelos,5,coatlan del rio,4,buenavista de aldama,248,6.64
17,morelos,5,coatlan del rio,5,cocoyotla,1333,7.12
17,morelos,5,coatlan del rio,6,colonia cuauhtemoc,509,7.3
17,morelos,5,coatlan del rio,7,colonia morelos,566,7.43
17,morelos,5,coatlan del rio,8,chavarria,990,7.64
17,morelos,5,coatlan del rio,9,michapa,1127,8.06
