entidad,nom_ent,mun,nom_mun,loc,nom_loc,pobtot,graproes
18,nayarit,0,total de la entidad nayarit,0,total de la entidad,1235456,9.73
18,nayarit,0,total de la entidad nayarit,9998,localidades de una vivienda,5645,7.26
18,nayarit,0,total de la entidad nayarit,9999,localidades de dos viviendas,2514,5.65
18,nayarit,1,acaponeta,0,total del municipio,37232,9.37
18,nayarit,1,acaponeta,1,acaponeta,19976,10.56
18,nayarit,1,acaponeta,4,el aguaje,476,7.88
18,nayarit,1,acaponeta,6,el alacran,39,7.5
18,nayarit,1,acaponeta,7,amado nervo,85,6.06
18,nayarit,1,acaponeta,9,el antigue,6,6.672627118644068
18,nayarit,1,acaponeta,10,la bayona,455,9.29
18,nayarit,1,acaponeta,11,buenavista (las paredes),264,8.11
18,nayarit,1,acaponeta,12,el caimanero,8,6.672627118644068
18,nayarit,1,acaponeta,13,el camichin,1,6.672627118644068
18,nayarit,1,acaponeta,15,el cangrejo (teacapan),5,6.672627118644068
18,nayarit,1,acaponeta,16,el tejon (el canton),351,7.4
18,nayarit,1,acaponeta,18,el carrizo,109,6.05
18,nayarit,1,acaponeta,19,casas coloradas,390,9.49
18,nayarit,1,acaponeta,20,las casitas,194,8.07
18,nayarit,1,acaponeta,21,el centenario,908,8.5
18,nayarit,1,acaponeta,22,cerro bola,226,5.96
18,nayarit,1,acaponeta,28,la cortes,6,6.672627118644068
18,nayarit,1,acaponeta,36,las grullas,8,6.672627118644068
18,nayarit,1,acaponeta,37,la guasima,981,8.39
18,nayarit,1,acaponeta,38,el guayabo,22,6.64
18,nayarit,1,acaponeta,39,hacienda vieja,24,8.22
18,nayarit,1,acaponeta,40,la haciendilla,70,7.0
18,nayarit,1,acaponeta,41,la higuerita vieja,99,7.19
18,nayarit,1,acaponeta,43,la higuerita nueva (el carrizo),137,7.17
18,nayarit,1,acaponeta,44,hojas anchas,22,7.33
18,nayarit,1,acaponeta,50,llano de la cruz,735,7.99
18,nayarit,1,acaponeta,52,el lloron,75,8.26
18,nayarit,1,acaponeta,54,llano de mariquitas,178,7.45
18,nayarit,1,acaponeta,55,hacienda de mariquitas,100,8.4
18,nayarit,1,acaponeta,56,mesa las arpas,25,7.06
18,nayarit,1,acaponeta,58,mesa de pedro pablo,203,7.67
18,nayarit,1,acaponeta,59,las mesitas,45,5.4
18,nayarit,1,acaponeta,63,san jose de motaje,240,7.31
18,nayarit,1,acaponeta,66,el naranjal,4,6.672627118644068
18,nayarit,1,acaponeta,68,el oro,53,6.67
18,nayarit,1,acaponeta,70,la palma,48,7.61
18,nayarit,1,acaponeta,71,las palmitas,13,4.56
18,nayarit,1,acaponeta,72,la paloma nueva reforma,115,7.0
18,nayarit,1,acaponeta,77,piedra ancha,201,7.49
18,nayarit,1,acaponeta,82,el recodo,802,8.32
18,nayarit,1,acaponeta,83,el resbalon,667,7.84
18,nayarit,1,acaponeta,86,san blasito,66,5.2
18,nayarit,1,acaponeta,87,san diego de alcala,433,8.37
18,nayarit,1,acaponeta,88,el naranjo,274,8.13
18,nayarit,1,acaponeta,89,san dieguito de abajo,310,7.67
18,nayarit,1,acaponeta,90,san dieguito de arriba,288,7.58
18,nayarit,1,acaponeta,92,arroyo de san francisco,59,6.5
18,nayarit,1,acaponeta,93,san jose de gracia,959,9.07
18,nayarit,1,acaponeta,94,san miguel,663,7.84
18,nayarit,1,acaponeta,95,san pedro de honor,134,7.9
18,nayarit,1,acaponeta,96,santa cruz,240,7.67
18,nayarit,1,acaponeta,97,saycota,94,6.58
18,nayarit,1,acaponeta,98,sayulilla,2318,8.09
18,nayarit,1,acaponeta,99,el sobasto,1,6.672627118644068
