entidad,nom_ent,mun,nom_mun,loc,nom_loc,pobtot,graproes
14,jalisco,1,acatic,0,total del municipio,23175,7.29
14,jalisco,2,acatlan de juarez,0,total del municipio,25250,9.23
14,jalisco,3,ahualulco de mercado,0,total del municipio,23630,9.52
14,jalisco,4,amacueca,0,total del municipio,5743,8.34
14,jalisco,5,amatitan,0,total del municipio,16490,9.2
14,jalisco,6,ameca,0,total del municipio,60386,9.06
14,jalisco,7,san juanito de escobedo,0,total del municipio,9433,8.67
14,jalisco,8,arandas,0,total del municipio,80609,8.1
14,jalisco,9,el arenal,0,total del municipio,21115,9.28
14,jalisco,10,atemajac de brizuela,0,total del municipio,7758,7.64
14,jalisco,11,atengo,0,total del municipio,5599,7.66
14,jalisco,12,atenguillo,0,total del municipio,4176,8.05
14,jalisco,13,atotonilco el alto,0,total del municipio,64009,8.24
14,jalisco,14,atoyac,0,total del municipio,8689,7.43
14,jalisco,15,autlan de navarro,0,total del municipio,64931,9.74
14,jalisco,16,ayotlan,0,total del municipio,41552,7.07
14,jalisco,17,ayutla,0,total del municipio,12880,8.14
14,jalisco,18,la barca,0,total del municipio,67937,8.4
14,jalisco,19,bolanos,0,total del municipio,7043,7.21
14,jalisco,20,cabo corrientes,0,total del municipio,10940,7.71
14,jalisco,21,casimiro castillo,0,total del municipio,20548,8.13
14,jalisco,22,cihuatlan,0,total del municipio,40139,8.43
14,jalisco,23,zapotlan el grande,0,total del municipio,115141,10.55
14,jalisco,24,cocula,0,total del municipio,29267,8.61
14,jalisco,25,colotlan,0,total del municipio,19689,9.7
14,jalisco,26,concepcion de buenos aires,0,total del municipio,6334,7.56
14,jalisco,27,cuautitlan de garcia barragan,0,total del municipio,18370,7.34
14,jalisco,28,cuautla,0,total del municipio,2166,7.46
14,jalisco,29,cuquio,0,total del municipio,17820,7.27
14,jalisco,30,chapala,0,total del municipio,55196,9.96
14,jalisco,31,chimaltitan,0,total del municipio,3270,6.71
14,jalisco,32,chiquilistlan,0,total del municipio,5983,7.94
14,jalisco,33,degollado,0,total del municipio,21226,7.15
14,jalisco,34,ejutla,0,total del municipio,1981,7.8
14,jalisco,35,encarnacion de diaz,0,total del municipio,53039,7.68
14,jalisco,36,etzatlan,0,total del municipio,20011,9.42
14,jalisco,37,el grullo,0,total del municipio,25920,9.22
14,jalisco,38,guachinango,0,total del municipio,4199,7.77
14,jalisco,39,guadalajara,0,total del municipio,1385629,10.96
14,jalisco,40,hostotipaquillo,0,total del municipio,8732,7.5
14,jalisco,41,huejucar,0,total del municipio,5920,7.76
14,jalisco,42,huejuquilla el alto,0,total del municipio,10015,7.71
14,jalisco,43,la huerta,0,total del municipio,23258,7.89
14,jalisco,44,ixtlahuacan de los membrillos,0,total del municipio,67969,9.01
14,jalisco,45,ixtlahuacan del rio,0,total del municipio,20465,7.6
14,jalisco,46,jalostotitlan,0,total del municipio,32678,7.96
14,jalisco,47,jamay,0,total del municipio,24894,8.28
14,jalisco,48,jesus maria,0,total del municipio,18982,6.5
14,jalisco,49,jilotlan de los dolores,0,total del municipio,9425,6.39
14,jalisco,50,jocotepec,0,total del municipio,47105,8.27
14,jalisco,51,juanacatlan,0,total del municipio,30855,9.1
14,jalisco,52,juchitlan,0,total del municipio,5534,7.98
14,jalisco,53,lagos de moreno,0,total del municipio,172403,8.94
14,jalisco,54,el limon,0,total del municipio,5368,8.46
14,jalisco,55,magdalena,0,total del municipio,21781,8.79
14,jalisco,56,santa maria del oro,0,total del municipio,1815,6.17
14,jalisco,57,la manzanilla de la paz,0,total del municipio,4099,7.95
14,jalisco,58,mascota,0,total del municipio,14451,8.92
14,jalisco,59,mazamitla,0,total del municipio,14043,8.46
14,jalisco,60,mexticacan,0,total del municipio,5307,7.25
14,jalisco,61,mezquitic,0,total del municipio,22083,5.94
14,jalisco,62,mixtlan,0,total del municipio,3638,7.66
14,jalisco,63,ocotlan,0,total del municipio,106050,9.42
14,jalisco,64,ojuelos de jalisco,0,total del municipio,33588,7.74
14,jalisco,65,pihuamo,0,total del municipio,11386,6.89
14,jalisco,66,poncitlan,0,total del municipio,53659,8.18
14,jalisco,67,puerto vallarta,0,total del municipio,291839,10.31
14,jalisco,68,villa purificacion,0,total del municipio,11303,7.47
14,jalisco,69,quitupan,0,total del municipio,7734,6.24
14,jalisco,70,el salto,0,total del municipio,232852,8.92
14,jalisco,71,san cristobal de la barranca,0,total del municipio,2924,6.84
14,jalisco,72,san diego de alejandria,0,total del municipio,7609,7.24
14,jalisco,73,san juan de los lagos,0,total del municipio,72230,8.25
14,jalisco,74,san julian,0,total del municipio,16792,7.54
14,jalisco,75,san marcos,0,total del municipio,3791,9.04
14,jalisco,76,san martin de bolanos,0,total del municipio,3095,7.35
14,jalisco,77,san martin hidalgo,0,total del municipio,28102,9.01
14,jalisco,78,san miguel el alto,0,total del municipio,31965,7.76
14,jalisco,79,gomez farias,0,total del municipio,16431,8.41
14,jalisco,80,san sebastian del oeste,0,total del municipio,5086,7.54
14,jalisco,81,santa maria de los angeles,0,total del municipio,3515,7.14
14,jalisco,82,sayula,0,total del municipio,37186,9.31
14,jalisco,83,tala,0,total del municipio,87690,8.93
14,jalisco,84,talpa de allende,0,total del municipio,14997,8.18
14,jalisco,85,tamazula de gordiano,0,total del municipio,38955,8.01
14,jalisco,86,tapalpa,0,total del municipio,21245,7.75
14,jalisco,87,tecalitlan,0,total del municipio,16705,7.96
14,jalisco,88,tecolotlan,0,total del municipio,16603,8.49
14,jalisco,89,techaluta de montenegro,0,total del municipio,4072,8.16
14,jalisco,90,tenamaxtlan,0,total del municipio,7302,8.56
14,jalisco,91,teocaltiche,0,total del municipio,39839,7.57
14,jalisco,92,teocuitatlan de corona,0,total del municipio,11039,7.52
14,jalisco,93,tepatitlan de morelos,0,total del municipio,150190,8.84
14,jalisco,94,tequila,0,total del municipio,44353,9.23
14,jalisco,95,teuchitlan,0,total del municipio,9647,8.63
14,jalisco,96,tizapan el alto,0,total del municipio,22758,7.51
14,jalisco,97,tlajomulco de zuniga,0,total del municipio,727750,10.11
14,jalisco,98,san pedro tlaquepaque,0,total del municipio,687127,10.18
14,jalisco,99,toliman,0,total del municipio,11219,7.57
14,jalisco,100,tomatlan,0,total del municipio,36316,7.76
14,jalisco,101,tonala,0,total del municipio,569913,9.75
14,jalisco,102,tonaya,0,total del municipio,5961,8.11
14,jalisco,103,tonila,0,total del municipio,7565,8.33
14,jalisco,104,totatiche,0,total del municipio,4180,7.8
14,jalisco,105,tototlan,0,total del municipio,23573,7.75
