entidad,inegi,año,municipio,month,homicides,xmonth
jalisco,14023,2011,zapotlan el grande,enero,2.0,1
jalisco,14023,2012,zapotlan el grande,enero,0.0,13
jalisco,14023,2013,zapotlan el grande,enero,0.0,25
jalisco,14023,2014,zapotlan el grande,enero,0.0,37
jalisco,14039,2011,guadalajara,enero,15.0,1
jalisco,14039,2012,guadalajara,enero,15.0,13
jalisco,14039,2013,guadalajara,enero,15.0,25
jalisco,14039,2014,guadalajara,enero,11.0,37
jalisco,14053,2011,lagos de moreno,enero,2.0,1
jalisco,14053,2012,lagos de moreno,enero,2.0,13
jalisco,14053,2013,lagos de moreno,enero,0.0,25
jalisco,14053,2014,lagos de moreno,enero,2.0,37
jalisco,14063,2011,ocotlan,enero,1.0,1
jalisco,14063,2012,ocotlan,enero,1.0,13
jalisco,14063,2013,ocotlan,enero,10.0,25
jalisco,14063,2014,ocotlan,enero,1.0,37
jalisco,14067,2011,puerto vallarta,enero,3.0,1
jalisco,14067,2012,puerto vallarta,enero,2.0,13
jalisco,14067,2013,puerto vallarta,enero,3.0,25
jalisco,14067,2014,puerto vallarta,enero,1.0,37
jalisco,14070,2011,el salto,enero,2.0,1
jalisco,14070,2012,el salto,enero,1.0,13
jalisco,14070,2013,el salto,enero,6.0,25
jalisco,14070,2014,el salto,enero,4.0,37
jalisco,14093,2011,tepatitlan de morelos,enero,0.0,1
jalisco,14093,2012,tepatitlan de morelos,enero,0.0,13
jalisco,14093,2013,tepatitlan de morelos,enero,0.0,25
jalisco,14093,2014,tepatitlan de morelos,enero,1.0,37
jalisco,14097,2011,tlajomulco de zuniga,enero,2.0,1
jalisco,14097,2012,tlajomulco de zuniga,enero,2.0,13
jalisco,14097,2013,tlajomulco de zuniga,enero,2.0,25
jalisco,14097,2014,tlajomulco de zuniga,enero,3.0,37
jalisco,14098,2011,tlaquepaque,enero,9.0,1
jalisco,14098,2012,tlaquepaque,enero,9.0,13
jalisco,14098,2013,tlaquepaque,enero,6.0,25
jalisco,14098,2014,tlaquepaque,enero,8.0,37
jalisco,14101,2011,tonala,enero,4.0,1
jalisco,14101,2012,tonala,enero,5.0,13
jalisco,14101,2013,tonala,enero,7.0,25
jalisco,14101,2014,tonala,enero,7.0,37
jalisco,14120,2011,zapopan,enero,20.0,1
jalisco,14120,2012,zapopan,enero,18.0,13
jalisco,14120,2013,zapopan,enero,17.0,25
jalisco,14120,2014,zapopan,enero,14.0,37
mexico,15001,2011,acambay,enero,0.0,1
mexico,15001,2012,acambay,enero,1.0,13
mexico,15001,2013,acambay,enero,0.0,25
mexico,15001,2014,acambay,enero,0.0,37
mexico,15002,2011,acolman,enero,0.0,1
mexico,15002,2012,acolman,enero,1.0,13
mexico,15002,2013,acolman,enero,1.0,25
mexico,15002,2014,acolman,enero,3.0,37
mexico,15003,2011,aculco,enero,0.0,1
mexico,15003,2012,aculco,enero,0.0,13
mexico,15003,2013,aculco,enero,0.0,25
mexico,15003,2014,aculco,enero,0.0,37
mexico,15004,2011,almoloya de alquisiras,enero,0.0,1
mexico,15004,2012,almoloya de alquisiras,enero,0.0,13
mexico,15004,2013,almoloya de alquisiras,enero,0.0,25
mexico,15004,2014,almoloya de alquisiras,enero,0.0,37
mexico,15005,2011,almoloya de juarez,enero,0.0,1
mexico,15005,2012,almoloya de juarez,enero,0.0,13
mexico,15005,2013,almoloya de juarez,enero,1.0,25
mexico,15005,2014,almoloya de juarez,enero,0.0,37
mexico,15006,2011,almoloya del rio,enero,0.0,1
mexico,15006,2012,almoloya del rio,enero,0.0,13
mexico,15006,2013,almoloya del rio,enero,0.0,25
mexico,15006,2014,almoloya del rio,enero,0.0,37
mexico,15007,2011,amanalco,enero,0.0,1
mexico,15007,2012,amanalco,enero,0.0,13
mexico,15007,2013,amanalco,enero,0.0,25
mexico,15007,2014,amanalco,enero,0.0,37
mexico,15008,2011,amatepec,enero,0.0,1
mexico,15008,2012,amatepec,enero,0.0,13
mexico,15008,2013,amatepec,enero,0.0,25
mexico,15008,2014,amatepec,enero,0.0,37
mexico,15009,2011,amecameca,enero,2.0,1
mexico,15009,2012,amecameca,enero,1.0,13
mexico,15009,2013,amecameca,enero,0.0,25
mexico,15009,2014,amecameca,enero,0.0,37
mexico,15010,2011,apaxco,enero,0.0,1
mexico,15010,2012,apaxco,enero,1.0,13
mexico,15010,2013,apaxco,enero,0.0,25
mexico,15010,2014,apaxco,enero,0.0,37
mexico,15011,2011,atenco,enero,1.0,1
mexico,15011,2012,atenco,enero,0.0,13
mexico,15011,2013,atenco,enero,0.0,25
mexico,15011,2014,atenco,enero,1.0,37
mexico,15012,2011,atizapan,enero,3.0,1
mexico,15012,2012,atizapan,enero,0.0,13
mexico,15012,2013,atizapan,enero,1.0,25
mexico,15012,2014,atizapan,enero,0.0,37
mexico,15013,2011,atizapan de zaragoza,enero,0.0,1
mexico,15013,2012,atizapan de zaragoza,enero,8.0,13
mexico,15013,2013,atizapan de zaragoza,enero,3.0,25
mexico,15013,2014,atizapan de zaragoza,enero,5.0,37
mexico,15014,2011,atlacomulco,enero,0.0,1
mexico,15014,2012,atlacomulco,enero,1.0,13
mexico,15014,2013,atlacomulco,enero,0.0,25
mexico,15014,2014,atlacomulco,enero,0.0,37
mexico,15015,2011,atlautla,enero,0.0,1
mexico,15015,2012,atlautla,enero,1.0,13
mexico,15015,2013,atlautla,enero,0.0,25
mexico,15015,2014,atlautla,enero,0.0,37
mexico,15016,2011,axapusco,enero,0.0,1
mexico,15016,2012,axapusco,enero,0.0,13
mexico,15016,2013,axapusco,enero,0.0,25
mexico,15016,2014,axapusco,enero,0.0,37
mexico,15017,2011,ayapango,enero,1.0,1
mexico,15017,2012,ayapango,enero,1.0,13
mexico,15017,2013,ayapango,enero,0.0,25
mexico,15017,2014,ayapango,enero,0.0,37
mexico,15018,2011,calimaya,enero,0.0,1
mexico,15018,2012,calimaya,enero,2.0,13
mexico,15018,2013,calimaya,enero,0.0,25
mexico,15018,2014,calimaya,enero,0.0,37
mexico,15019,2011,capulhuac,enero,0.0,1
mexico,15019,2012,capulhuac,enero,0.0,13
mexico,15019,2013,capulhuac,enero,0.0,25
mexico,15019,2014,capulhuac,enero,0.0,37
mexico,15020,2011,coacalco de berriozabal,enero,2.0,1
mexico,15020,2012,coacalco de berriozabal,enero,1.0,13
mexico,15020,2013,coacalco de berriozabal,enero,2.0,25
mexico,15020,2014,coacalco de berriozabal,enero,3.0,37
mexico,15021,2011,coatepec harinas,enero,0.0,1
mexico,15021,2012,coatepec harinas,enero,0.0,13
mexico,15021,2013,coatepec harinas,enero,0.0,25
mexico,15021,2014,coatepec harinas,enero,1.0,37
mexico,15022,2011,cocotitlan,enero,0.0,1
mexico,15022,2012,cocotitlan,enero,1.0,13
mexico,15022,2013,cocotitlan,enero,0.0,25
mexico,15022,2014,cocotitlan,enero,0.0,37
mexico,15023,2011,coyotepec,enero,0.0,1
mexico,15023,2012,coyotepec,enero,3.0,13
mexico,15023,2013,coyotepec,enero,0.0,25
mexico,15023,2014,coyotepec,enero,1.0,37
mexico,15024,2011,cuautitlan,enero,1.0,1
mexico,15024,2012,cuautitlan,enero,1.0,13
mexico,15024,2013,cuautitlan,enero,0.0,25
mexico,15024,2014,cuautitlan,enero,0.0,37
mexico,15025,2011,chalco,enero,4.0,1
mexico,15025,2012,chalco,enero,7.0,13
