				
2011			
Jalisco			
Acatlán de Juárez	1.50	5.25	97.13
Amacueca	2.00	9.20	59.80
Ameca	36.00	64.80	842.40
Arandas	0.00	0.00	0.00
Atengo	0.00	0.00	0.00
Atenguillo	0.00	0.00	0.00
Atotonilco El Alto	36.00	568.00	9,235.60
Atoyac	2.00	9.20	69.00
Autlán de Navarro	53.50	1,203.75	17,041.28
Ayotlán	8.00	75.00	1,140.00
Ayutla	25.00	79.00	1,580.00
Bolaños	2.00	12.00	234.00
Cabo Corrientes	10.00	30.00	309.00
Chimaltitán	1.00	7.20	138.24
Chiquilistlán	73.60	339.30	2,035.80
Concepción de Buenos Aires	316.00	2,048.40	22,180.68
Cuautitlán de García Barragán	25.00	62.50	818.75
Degollado	8.00	67.00	1,030.50
El Arenal	17.00	68.00	816.00
El Limón	11.00	44.00	748.00
Gómez Farías	302.00	2,742.20	24,432.52
Ixtlahuacán del Río	37.00	256.60	3,784.50
Jilotlán de Los Dolores	0.00	0.00	0.00
Jocotepec	0.00	0.00	0.00
La Barca	0.00	0.00	0.00
La Manzanilla de la Paz	100.00	530.00	5,776.25
Magdalena	9.00	34.20	444.60
Mascota	26.00	130.00	1,912.50
Mazamitla	188.00	1,315.20	15,069.60
Mixtlán	0.00	0.00	0.00
Pihuamo	0.00	0.00	0.00
Puerto Vallarta	16.00	80.00	984.75
Quitupan	247.80	1,651.02	16,337.04
San Cristóbal de La Barranca	7.00	42.00	903.00
San Gabriel	252.75	393.40	3,392.30
San Pedro Tlaquepaque	8.00	80.00	1,480.00
San Sebastián del Oeste	5.00	32.50	520.00
Santa María de Los Ángeles	10.00	50.00	1,005.00
Santa María del Oro	0.00	0.00	0.00
Sayula	12.00	74.40	721.68
Tala	3.00	4.50	58.50
Talpa de Allende	15.00	120.00	2,160.00
Tamazula de Gordiano	408.00	3,331.20	41,136.90
Tapalpa	403.50	1,856.10	11,136.60
Tecalitlán	0.00	0.00	0.00
Techaluta de Montenegro	3.00	18.60	176.70
Tecolotlán	6.00	30.00	540.00
Teocuitatlán de Corona	0.00	0.00	0.00
Tequila	4.00	15.20	197.60
Teuchitlán	3.00	8.03	108.41
Tlajomulco de Zúñiga	50.00	480.00	8,880.00
Tolimán	27.00	241.58	2,415.80
Tonila	354.00	2,378.40	23,745.90
Totatiche	2.00	15.20	295.64
Tototlán	10.00	149.00	2,335.50
Tuxcueca	4.00	95.00	1,530.45
Tuxpan	360.50	3,242.65	27,691.20
Valle de Juárez	37.20	212.56	1,966.18
Villa Guerrero	3.00	21.90	434.72
Villa Purificación	30.00	94.80	1,354.90
Zacoalco de Torres	0.00	0.00	0.00
Zapopan	25.00	162.50	3,087.50
Zapotiltic	283.00	2,660.20	31,922.40
Zapotitlán de Vadillo	250.00	1,500.00	15,000.00
Zapotlán el Grande	1,800.00	9,000.00	72,000.00
México			
Almoloya de Alquisiras	472.00	4,720.00	65,128.25
Amanalco	5.00	50.00	750.00
Amatepec	5.00	48.60	375.60
Atlautla	45.00	391.70	2,952.78
Coatepec Harinas	635.00	9,487.50	146,743.77
Donato Guerra	165.00	1,275.00	14,895.00
Ecatzingo	10.00	79.00	606.30
Ixtapan de La Sal	20.00	200.00	3,000.00
Ixtapan del Oro	52.00	408.00	5,832.00
Luvianos	56.00	392.00	3,528.00
Malinalco	92.00	610.00	6,172.50
Ocuilan	18.00	174.00	2,491.50
Otzoloapan	2.00	24.00	240.00
Ozumba	25.00	201.50	1,567.30
San Simón de Guerrero	13.00	101.70	991.70
Santo Tomás	3.50	35.00	385.00
Sultepec	20.00	92.00	920.00
Tejupilco	30.00	226.00	1,851.00
Temascaltepec	58.00	546.00	5,213.94
Tenancingo	230.00	2,000.00	29,488.00
Tepetlixpa	40.00	447.00	3,645.60
Texcaltitlán	5.00	70.00	672.00
Valle de Bravo	80.00	675.00	6,862.50
Villa Guerrero	196.00	2,740.00	42,887.99
Villa de Allende	81.00	941.00	9,069.00
Zacazonapan	0.00	0.00	0.00
Zacualpan	4.00	20.00	290.00
Michoacán			
Acuitzio	802.00	3,219.00	41,017.50
Aguililla	10.00	70.50	577.45
Apatzingán	418.82	2,144.36	28,965.69
Ario	11,230.00	121,260.00	1,852,424.70
Charapan	0.00	0.00	0.00
Charo	5.00	22.50	225.00
Chilchota	107.07	856.56	14,304.55
Copándaro	2.00	6.00	72.00
Cotija	740.00	5,020.00	84,395.00
Erongarícuaro	380.00	4,560.00	62,652.30
Hidalgo	22.00	156.20	1,327.70
Huiramba	60.00	363.60	6,017.58
Irimbo	92.00	662.40	5,564.16
Jiquilpan	47.00	469.06	7,035.90
Jungapeo	21.00	172.20	1,607.20
Juárez	21.00	210.00	2,659.47
Los Reyes	2,780.00	28,760.00	487,303.20
Madero	362.00	1,614.00	19,755.00
Maravatío	6.00	36.00	439.20
Morelia	60.00	270.00	2,700.00
Nuevo Parangaricutiro	5,500.00	55,000.00	778,999.79
Ocampo	28.50	255.65	3,152.27
Parácuaro	18.00	99.00	1,340.10
Peribán	12,378.00	126,975.00	2,142,600.00
Purépero	54.00	432.00	7,344.00
Pátzcuaro	170.00	1,530.00	24,174.00
Queréndaro	3.00	15.00	225.00
Quiroga	55.00	495.00	8,019.00
Salvador Escalante	12,195.00	134,075.50	2,087,898.95
Susupuato	166.50	1,665.00	18,880.98
Tacámbaro	13,000.00	156,000.00	2,311,899.30
Tancítaro	19,254.00	192,540.00	2,766,562.80
Tangamandapio	611.00	6,110.00	97,900.00
Tangancícuaro	646.85	3,881.10	66,754.92
Taretan	700.00	7,000.00	102,250.05
Tarímbaro	15.00	67.50	675.00
Tingambato	2,200.00	22,000.00	311,949.99
Tingüindín	2,120.00	26,272.00	437,660.80
Tocumbo	415.00	4,134.80	70,764.96
Turicato	1,890.00	22,295.20	323,494.93
Tuxpan	312.00	2,485.60	23,327.10
Tzintzuntzan	12.00	96.48	1,595.30
Uruapan	12,459.00	124,590.00	1,768,350.05
Zinapécuaro	53.00	271.00	4,065.00
Ziracuaretiro	2,344.00	23,440.00	340,099.95
Zitácuaro	1,043.00	10,746.00	134,949.89
Morelos			
Cuernavaca	0.00	0.00	0.00
Huitzilac	0.40	3.52	35.59
Ocuituco	1,455.00	12,504.50	136,667.36
Puente de Ixtla	2.00	17.90	146.19
Tepoztlán	34.00	334.56	2,896.21
Tetecala	3.00	22.50	188.93
Tetela del Volcán	753.00	7,071.60	74,428.87
Tlalnepantla	224.00	2,531.20	25,312.00
Tlaltizapán de Zapata	2.00	17.90	144.60
Tlayacapan	1.00	7.00	55.31
Totolapan	70.00	682.30	6,865.25
Yautepec	9.00	75.60	614.02
Yecapixtla	481.00	4,446.95	47,541.46
Nayarit			
Ahuacatlán	4.50	81.00	904.50
Amatlán de Cañas	2.00	12.00	24.00
Bahía de Banderas	1.00	8.22	29.59
Compostela	13.50	98.01	473.81
Ixtlán del Río	10.75	174.75	1,983.50
Jala	4.50	35.10	253.20
Ruíz	6.00	36.00	252.00
San Blas	527.00	5,818.60	16,140.74
San Pedro Lagunillas	0.00	0.00	0.00
Santa María del Oro	44.96	620.24	6,097.40
Santiago Ixcuintla	3.00	18.00	126.00
Tepic	1,136.00	8,437.30	54,361.67
Xalisco	1,166.40	10,368.00	71,075.54
2012			
Jalisco			
Acatic	0.00	0.00	0.00
Acatlán de Juárez	1.50	9.00	144.00
Amacueca	2.00	9.40	79.90
Ameca	36.00	180.00	2,317.50
Arandas	0.00	0.00	0.00
Atengo	0.00	0.00	0.00
Atenguillo	2.00	11.00	154.00
Atotonilco El Alto	39.00	723.00	7,756.25
Atoyac	2.00	9.00	65.70
Autlán de Navarro	61.00	1,436.55	21,612.61
Ayotlán	63.00	486.00	5,466.50
Ayutla	25.00	136.20	2,451.60
Bolaños	2.00	8.00	104.00
Cabo Corrientes	10.00	33.00	369.60
Chimaltitán	1.00	8.00	104.00
Chiquilistlán	65.00	299.00	1,883.70
Concepción de Buenos Aires	780.00	5,284.50	88,210.05
Cuautitlán de García Barragán	32.00	112.00	1,512.00
Degollado	38.00	375.00	4,355.00
El Arenal	24.00	168.00	2,184.00
El Limón	4.00	24.00	240.00
Gómez Farías	302.00	2,847.00	33,700.50
Ixtlahuacán del Río	40.00	400.00	5,671.00
Jesús María	0.00	0.00	0.00
Jilotlán de Los Dolores	0.00	0.00	0.00
Jocotepec	0.00	0.00	0.00
La Barca	0.00	0.00	0.00
La Manzanilla de la Paz	100.00	565.00	10,368.50
Magdalena	9.00	63.00	850.50
Mascota	26.00	169.00	2,450.50
Mazamitla	201.00	1,362.20	19,892.42
Mixtlán	0.00	0.00	0.00
Ocotlán	0.00	0.00	0.00
Pihuamo	0.00	0.00	0.00
Puerto Vallarta	16.00	64.00	760.00
Quitupan	361.50	2,483.63	46,780.80
San Cristóbal de La Barranca	4.00	40.00	640.00
San Gabriel	112.75	154.00	1,451.55
San Pedro Tlaquepaque	8.00	88.00	1,276.00
San Sebastián del Oeste	5.00	30.00	465.00
Santa María de Los Ángeles	10.00	60.00	720.00
Santa María del Oro	0.00	0.00	0.00
Sayula	12.00	120.00	1,440.00
Tala	12.00	76.50	1,224.00
Talpa de Allende	15.00	112.50	1,856.25
Tamazula de Gordiano	185.00	905.50	10,836.75
Tapalpa	110.00	528.00	3,263.04
Tecalitlán	0.00	0.00	0.00
Techaluta de Montenegro	3.00	18.30	164.70
Tecolotlán	12.00	48.00	912.00
Teocuitatlán de Corona	0.00	0.00	0.00
Tepatitlán de Morelos	0.00	0.00	0.00
Tequila	8.00	56.00	739.20
Teuchitlán	3.50	16.70	263.45
Tizapán El Alto	0.00	0.00	0.00
Tlajomulco de Zúñiga	50.25	326.50	4,668.05
Tolimán	2.50	22.50	216.00
Tonila	76.00	608.00	4,636.00
Totatiche	2.00	15.50	206.31
Tototlán	15.00	247.00	2,607.50
Tuxcueca	3.00	49.00	498.50
Tuxpan	205.00	1,493.50	12,765.44
Valle de Juárez	22.60	158.78	2,830.78
Villa Guerrero	2.00	16.20	324.00
Villa Purificación	30.00	105.00	1,120.00
Zacoalco de Torres	0.00	0.00	0.00
Zapopan	25.00	250.00	3,814.00
Zapotiltic	67.00	536.00	5,221.23
Zapotitlán de Vadillo	150.00	1,875.00	13,125.00
Zapotlán el Grande	2,340.00	15,624.00	157,968.00
México			
Almoloya de Alquisiras	122.00	915.00	8,390.00
Amanalco	15.70	141.30	1,554.30
Amatepec	35.50	241.61	3,427.60
Atlautla	96.00	880.75	10,676.66
Coatepec Harinas	635.00	10,072.50	99,305.01
Donato Guerra	200.00	1,960.00	22,220.00
Ecatzingo	20.00	169.75	2,213.22
Ixtapan de La Sal	18.00	198.00	1,840.80
Ixtapan del Oro	77.00	707.00	7,532.00
Joquicingo	70.00	1,540.00	12,320.00
Luvianos	35.00	273.00	2,709.00
Malinalco	92.00	707.00	6,697.50
Ocuilan	98.00	944.00	8,879.16
Otzoloapan	2.00	23.00	207.00
Ozumba	30.00	248.00	3,218.03
San Simón de Guerrero	13.00	90.10	915.85
Santo Tomás	3.50	31.50	378.00
Sultepec	40.00	200.00	1,850.00
Tejupilco	30.00	210.00	2,352.00
Temascaltepec	302.00	2,210.84	25,066.40
Tenancingo	310.00	2,717.20	25,166.84
Tepetlixpa	40.00	399.00	4,658.16
Texcaltitlán	0.00	0.00	0.00
Valle de Bravo	85.00	768.00	8,312.00
Villa Guerrero	196.00	2,388.00	22,988.19
Villa de Allende	45.00	700.00	8,582.00
Zacazonapan	0.00	0.00	0.00
Zacualpan	4.00	30.00	270.00
Michoacán			
Acuitzio	691.50	3,803.25	36,118.50
Aguililla	20.00	173.00	1,928.95
Apatzingán	418.82	2,031.28	22,900.69
Ario	11,408.00	124,984.39	1,644,687.30
Charapan	0.00	0.00	0.00
Charo	5.00	25.00	230.00
Chilchota	107.07	910.09	11,899.37
Copándaro	2.00	11.00	91.30
Cotija	740.00	5,332.00	67,452.50
Erongarícuaro	392.00	4,735.36	60,568.43
Hidalgo	22.00	160.60	1,381.16
Huiramba	62.00	440.63	6,019.34
Irimbo	92.00	690.00	5,865.00
Jiquilpan	47.00	470.00	5,853.64
Jungapeo	23.50	194.75	1,814.40
Juárez	22.00	231.00	2,841.15
Los Reyes	2,780.00	30,054.00	396,144.34
Madero	332.00	1,826.00	17,894.80
Maravatío	6.00	34.20	392.18
Morelia	60.00	336.00	3,091.20
Nuevo Parangaricutiro	5,491.00	55,599.95	755,892.69
Ocampo	37.50	320.95	4,104.76
Parácuaro	18.00	99.54	1,110.28
Peribán	12,378.00	129,666.00	1,707,061.16
Purépero	54.00	448.20	5,899.43
Pátzcuaro	177.00	1,608.05	21,580.95
Queréndaro	3.00	19.50	165.75
Quiroga	57.00	514.77	7,027.34
Salvador Escalante	12,531.00	138,168.93	1,812,722.47
Susupuato	166.50	1,581.75	20,101.62
Tacámbaro	13,142.00	158,696.13	2,045,323.40
Tancítaro	19,254.00	194,889.42	2,669,524.68
Tangamandapio	611.00	6,298.30	88,403.19
Tangancícuaro	646.85	6,468.50	84,802.04
Taretan	735.00	7,497.00	106,810.51
Tarímbaro	20.00	100.00	950.00
Tingambato	2,200.00	21,395.00	288,577.78
Tingüindín	2,120.00	26,170.40	322,990.34
Tocumbo	415.00	4,400.50	54,144.41
Turicato	1,944.00	22,264.88	293,314.43
Tuxpan	312.00	2,563.60	24,164.14
Tzintzuntzan	14.00	168.00	2,293.10
Uruapan	12,459.00	127,075.47	1,752,646.52
Zinapécuaro	53.00	297.50	2,329.50
Ziracuaretiro	2,370.00	23,755.50	338,382.89
Zitácuaro	1,073.00	10,828.10	138,199.87
Morelos			
Cuernavaca	120.00	1,440.00	11,520.00
Huitzilac	0.40	3.60	29.52
Ocuituco	1,455.00	14,840.00	112,437.50
Puente de Ixtla	2.00	16.58	162.48
Tepoztlán	34.00	367.20	2,937.60
Tetecala	2.00	19.40	192.06
Tetela del Volcán	1,082.00	11,180.00	84,890.80
Tlalnepantla	224.00	2,352.00	19,051.20
Tlaltizapán de Zapata	2.00	20.22	201.19
Tlayacapan	1.00	8.90	88.11
Totolapan	80.00	864.00	6,998.40
Yautepec	9.00	87.30	868.64
Yecapixtla	478.00	4,342.50	36,594.20
Nayarit			
Ahuacatlán	4.50	63.00	504.00
Amatlán de Cañas	0.00	0.00	0.00
Bahía de Banderas	1.00	6.30	33.39
Compostela	7.00	53.55	310.59
Ixtlán del Río	10.75	136.64	1,093.12
Jala	5.50	58.00	447.50
Ruíz	6.00	36.00	148.50
San Blas	527.00	7,126.50	15,678.64
San Pedro Lagunillas	0.00	0.00	0.00
Santa María del Oro	44.96	512.02	4,096.16
Tepic	1,301.00	9,447.00	49,045.96
Xalisco	1,677.00	11,739.00	61,033.06
2013			
Jalisco			
Acatic	29.00	493.00	8,834.56
Acatlán de Juárez	1.50	5.50	60.50
Ahualulco de Mercado	0.00	0.00	0.00
Amacueca	2.00	12.00	102.00
Ameca	36.00	360.00	5,340.00
Arandas	150.00	2,704.50	39,933.00
Atengo	46.00	266.80	2,668.00
Atenguillo	2.00	16.00	228.80
Atotonilco El Alto	95.00	2,067.00	19,425.00
Atoyac	2.00	23.00	241.50
Autlán de Navarro	67.00	348.40	3,485.80
