entidad,inegi,año,municipio,tipo,month,count
jalisco,14023,2011,zapotlan el grande,extorsion,enero,0.0
jalisco,14023,2011,zapotlan el grande,homicidio,enero,2.0
jalisco,14023,2012,zapotlan el grande,extorsion,enero,0.0
jalisco,14023,2012,zapotlan el grande,homicidio,enero,0.0
jalisco,14023,2013,zapotlan el grande,extorsion,enero,3.0
jalisco,14023,2013,zapotlan el grande,homicidio,enero,0.0
jalisco,14023,2014,zapotlan el grande,extorsion,enero,0.0
jalisco,14023,2014,zapotlan el grande,homicidio,enero,0.0
jalisco,14039,2011,guadalajara,extorsion,enero,18.0
jalisco,14039,2011,guadalajara,homicidio,enero,15.0
jalisco,14039,2012,guadalajara,extorsion,enero,18.0
jalisco,14039,2012,guadalajara,homicidio,enero,15.0
jalisco,14039,2013,guadalajara,extorsion,enero,3.0
jalisco,14039,2013,guadalajara,homicidio,enero,15.0
jalisco,14039,2014,guadalajara,extorsion,enero,22.0
jalisco,14039,2014,guadalajara,homicidio,enero,11.0
jalisco,14053,2011,lagos de moreno,extorsion,enero,0.0
jalisco,14053,2011,lagos de moreno,homicidio,enero,2.0
jalisco,14053,2012,lagos de moreno,extorsion,enero,0.0
jalisco,14053,2012,lagos de moreno,homicidio,enero,2.0
jalisco,14053,2013,lagos de moreno,extorsion,enero,0.0
jalisco,14053,2013,lagos de moreno,homicidio,enero,0.0
jalisco,14053,2014,lagos de moreno,extorsion,enero,1.0
jalisco,14053,2014,lagos de moreno,homicidio,enero,2.0
jalisco,14063,2011,ocotlan,extorsion,enero,0.0
jalisco,14063,2011,ocotlan,homicidio,enero,1.0
jalisco,14063,2012,ocotlan,extorsion,enero,6.0
jalisco,14063,2012,ocotlan,homicidio,enero,1.0
jalisco,14063,2013,ocotlan,extorsion,enero,0.0
jalisco,14063,2013,ocotlan,homicidio,enero,10.0
jalisco,14063,2014,ocotlan,extorsion,enero,0.0
jalisco,14063,2014,ocotlan,homicidio,enero,1.0
jalisco,14067,2011,puerto vallarta,extorsion,enero,0.0
jalisco,14067,2011,puerto vallarta,homicidio,enero,3.0
jalisco,14067,2012,puerto vallarta,extorsion,enero,2.0
jalisco,14067,2012,puerto vallarta,homicidio,enero,2.0
jalisco,14067,2013,puerto vallarta,extorsion,enero,1.0
jalisco,14067,2013,puerto vallarta,homicidio,enero,3.0
jalisco,14067,2014,puerto vallarta,extorsion,enero,3.0
jalisco,14067,2014,puerto vallarta,homicidio,enero,1.0
jalisco,14070,2011,el salto,extorsion,enero,0.0
jalisco,14070,2011,el salto,homicidio,enero,2.0
jalisco,14070,2012,el salto,extorsion,enero,0.0
jalisco,14070,2012,el salto,homicidio,enero,1.0
jalisco,14070,2013,el salto,extorsion,enero,0.0
jalisco,14070,2013,el salto,homicidio,enero,6.0
jalisco,14070,2014,el salto,extorsion,enero,3.0
jalisco,14070,2014,el salto,homicidio,enero,4.0
